date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-25,37306,38376,37062,37792,366203,0,2.7766,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-26,38035,38522,37354,37744,288076,0,-0.127,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-27,37987,38230,37160,37501,299322,0,-0.6438,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-30,37695,37695,36576,36722,357823,0,-2.0773,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-31,36430,37889,36236,37452,390069,0,1.9879,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-01,37257,37987,37257,37549,308760,0,0.259,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-02,37306,37549,36625,37063,226079,0,-1.2943,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-03,37208,37257,36527,37014,242312,0,-0.1322,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-07,37452,38181,37306,38084,384970,0,2.8908,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-08,38376,39057,37597,39057,380078,0,2.5549,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-09,39057,39105,38424,38765,357847,0,-0.7476,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-10,38813,38862,38084,38668,307796,0,-0.2502,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-13,38376,38376,37062,37306,304197,0,-3.5223,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-14,37306,37500,36576,37014,228636,0,-0.7827,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-15,36673,36819,35603,35652,520604,0,-3.6797,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-16,35846,36138,35020,35263,242247,0,-1.0911,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-17,35652,35895,34874,35263,243660,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-20,35798,36090,35555,35944,159670,0,1.9312,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-21,35846,36187,35068,36139,266046,0,0.5425,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-22,35992,36576,35652,36139,263796,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-23,34095,35749,33901,35409,948610,0,-2.02,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-24,35506,35603,33560,33950,526481,0,-4.1204,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-27,33123,34095,33123,34047,207588,0,0.2857,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-28,33609,34095,33317,33999,195722,0,-0.141,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-29,34290,34533,33950,34242,249653,0,0.7147,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-30,34533,34630,33901,34436,265942,0,0.5666,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-01,34728,35117,33852,33901,311088,0,-1.5536,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-04,34047,34144,33658,33804,293707,0,-0.2861,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-05,33804,34339,33658,34339,213196,0,1.5827,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-06,34339,34679,33560,33755,215753,0,-1.7007,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-07,34047,34728,33998,34193,190705,0,1.2976,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-08,34241,34436,33609,34047,158201,0,-0.427,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-11,34436,35214,34339,35117,282808,0,3.1427,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-12,35506,35603,34485,34777,282102,0,-0.9682,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-13,34922,35263,34679,34826,216831,0,0.1409,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-14,35020,36187,34874,36090,452619,0,3.6295,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-15,36041,36187,35360,35409,232791,0,-1.8869,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-18,35506,36236,35506,35798,141754,0,1.0986,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-19,35701,36138,35020,35944,209516,0,0.4078,0,0,0,0,0,0,0,0,0,0,0,0
