date,open,high,low,close,volume,trading_value,change_rate,foreign_net,institution_net
2016-05-25,61403,62536,61025,62442,192475,0,2.4799,0,0
2016-05-26,62158,62347,61025,61025,125775,0,-2.2693,0,0
2016-05-27,61497,61969,60930,61403,168409,0,0.6194,0,0
2016-05-30,61403,61686,60647,61592,167667,0,0.3078,0,0
2016-05-31,61119,62347,60930,62253,330914,0,1.0732,0,0
2016-06-01,61686,62158,61214,61403,268743,0,-1.3654,0,0
2016-06-02,61119,61686,60647,61120,235503,0,-0.4609,0,0
2016-06-03,61119,62158,60647,61120,164441,0,0.0,0,0
2016-06-07,61214,61403,59419,59703,362157,0,-2.3184,0,0
2016-06-08,59513,61403,59230,61309,552027,0,2.69,0,0
2016-06-09,61214,63198,61214,62442,398794,0,1.848,0,0
2016-06-10,62253,63009,61592,62915,230584,0,0.7575,0,0
2016-06-13,62442,62725,60552,60931,204215,0,-3.1535,0,0
2016-06-14,60836,61403,59702,60270,186800,0,-1.0848,0,0
2016-06-15,59986,60458,59041,59514,210178,0,-1.2544,0,0
2016-06-16,60080,60080,58947,59230,147523,0,-0.4772,0,0
2016-06-17,59608,59986,58947,58947,201199,0,-0.4778,0,0
2016-06-20,60647,60647,59324,60081,92996,0,1.9238,0,0
2016-06-21,59797,59797,58569,59230,175686,0,-1.4164,0,0
2016-06-22,59041,60836,59041,60836,196940,0,2.7115,0,0
2016-06-23,60836,61119,60175,61120,155644,0,0.4668,0,0
2016-06-24,60647,61214,57435,58191,359971,0,-4.7922,0,0
2016-06-27,58569,59608,57057,58475,270014,0,0.488,0,0
2016-06-28,57624,59797,57435,59419,223214,0,1.6144,0,0
2016-06-29,58947,60836,58191,59419,230914,0,0.0,0,0
2016-06-30,59891,61875,59419,60175,194754,0,1.2723,0,0
2016-07-01,59986,61875,59986,61592,192660,0,2.3548,0,0
2016-07-04,61308,62347,60647,61781,167033,0,0.3069,0,0
2016-07-05,61497,62064,60647,61592,136247,0,-0.3059,0,0
2016-07-06,61686,61686,59608,59892,210296,0,-2.7601,0,0
2016-07-07,60269,63103,59702,61403,195715,0,2.5229,0,0
2016-07-08,60741,62064,60741,61309,157162,0,-0.1531,0,0
2016-07-11,62536,62536,60458,61214,178661,0,-0.155,0,0
2016-07-12,61119,61403,60458,61025,247646,0,-0.3088,0,0
2016-07-13,61025,62347,60836,61214,158354,0,0.3097,0,0
2016-07-14,61686,62820,60741,62537,220611,0,2.1613,0,0
2016-07-15,62536,63386,61875,62442,183838,0,-0.1519,0,0
2016-07-18,62064,63670,62064,62820,139490,0,0.6054,0,0
2016-07-19,62820,62914,60364,61687,238970,0,-1.8036,0,0
2016-07-20,61686,62631,61025,61403,178398,0,-0.4604,0,0
2016-07-21,61686,62158,61214,61970,136275,0,0.9234,0,0
2016-07-22,61592,61969,60552,60647,180725,0,-2.1349,0,0
2016-07-25,61025,61686,60836,61592,185527,0,1.5582,0,0
2016-07-26,62064,62253,61025,62253,182837,0,1.0732,0,0
2016-07-27,61875,62725,60741,60836,235252,0,-2.2762,0,0
2016-07-28,60647,60836,60080,60270,182407,0,-0.9304,0,0
2016-07-29,60080,61025,59986,59986,282307,0,-0.4712,0,0
2016-08-01,60080,60364,59324,59325,225151,0,-1.1019,0,0
2016-08-02,59324,59986,59230,59230,132014,0,-0.1601,0,0
2016-08-03,58947,59419,58663,58947,132484,0,-0.4778,0,0
2016-08-04,59419,59608,58758,59608,113745,0,1.1213,0,0
2016-08-05,59419,60458,59230,59608,195831,0,0.0,0,0
2016-08-08,60269,60836,59419,60836,168292,0,2.0601,0,0
2016-08-09,60458,60836,59891,60647,218205,0,-0.3107,0,0
2016-08-10,60364,61025,60269,60270,210999,0,-0.6216,0,0
2016-08-11,60552,61025,60175,61025,204095,0,1.2527,0,0
2016-08-12,60647,61308,60269,61120,177713,0,0.1557,0,0
2016-08-16,61119,61308,60080,60270,162801,0,-1.3907,0,0
2016-08-17,60552,62253,60269,61781,304268,0,2.5071,0,0
2016-08-18,62158,62158,61025,61120,222093,0,-1.0699,0,0
