date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-25,208000,210500,206000,207000,184852,0,0.9756,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-26,209000,210000,206000,207000,160891,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-27,205000,209500,205000,208500,158516,0,0.7246,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-30,209000,209500,205500,208000,162500,0,-0.2398,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-31,207000,209500,206000,208000,373770,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-01,206500,211000,206000,209000,234024,0,0.4808,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-02,208500,209000,203000,205500,311295,0,-1.6746,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-03,207000,208000,202000,203000,298378,0,-1.2165,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-07,209000,217500,208500,217000,569744,0,6.8966,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-08,218500,224500,218500,224500,490261,0,3.4562,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-09,221000,224000,215500,216500,1416562,0,-3.5635,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-10,217500,220000,216000,216500,242979,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-13,214000,217500,211000,211000,257039,0,-2.5404,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-14,210500,212500,204000,206000,402773,0,-2.3697,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-15,205000,209000,203500,206500,355375,0,0.2427,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-16,208500,209500,202500,204000,282818,0,-1.2107,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-17,205000,206500,198000,199000,579584,0,-2.451,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-20,202000,206000,201500,205000,407995,0,3.0151,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-21,207000,207500,204000,206500,229335,0,0.7317,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-22,207000,208000,204500,205000,205716,0,-0.7264,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-23,204000,205000,201000,204500,215669,0,-0.2439,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-24,206000,206500,188000,194000,884589,0,-5.1345,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-27,190000,196500,189500,196500,413465,0,1.2887,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-28,195000,199500,194000,199000,422269,0,1.2723,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-29,201000,204000,200500,202000,475225,0,1.5075,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-30,204500,205000,199000,201500,233206,0,-0.2475,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-01,202500,203000,200500,201000,198962,0,-0.2481,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-04,203500,210000,202000,210000,419090,0,4.4776,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-05,211000,211000,206500,207500,198482,0,-1.1905,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-06,206000,206000,199000,201000,300359,0,-3.1325,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-07,202500,203500,200500,202500,170363,0,0.7463,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-08,200500,202000,197500,200500,303646,0,-0.9877,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-11,203500,208000,202500,207000,285198,0,3.2419,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-12,209500,213000,208500,212500,379373,0,2.657,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-13,221000,227000,220000,227000,806843,0,6.8235,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-14,226000,230000,223000,225500,522176,0,-0.6608,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-15,227000,229000,223500,224500,302977,0,-0.4435,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-18,227500,229500,224500,228000,401378,0,1.559,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-19,227500,228000,218000,220000,384684,0,-3.5088,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-20,217000,219000,215000,218500,349817,0,-0.6818,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-21,219500,219500,214000,215500,200283,0,-1.373,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-22,216500,222500,215500,219500,328243,0,1.8561,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-25,218500,222500,215500,222500,335566,0,1.3667,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-26,220500,227000,218500,227000,403897,0,2.0225,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-27,227000,230500,225500,227500,284890,0,0.2203,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-28,229000,231000,227500,228500,199369,0,0.4396,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-29,226500,229000,223000,226500,224076,0,-0.8753,0,0,0,0,0,0,0,0,0,0,0,0
2016-08-01,225500,229500,224500,228000,182457,0,0.6623,0,0,0,0,0,0,0,0,0,0,0,0
2016-08-02,223500,228500,221500,227500,234708,0,-0.2193,0,0,0,0,0,0,0,0,0,0,0,0
