date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-25,25660,25960,25480,25900,237255,0,1.8883,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-26,25980,26060,25900,25920,253073,0,0.0772,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-27,26000,26020,25460,25640,274891,0,-1.0802,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-30,25940,25940,25480,25600,206307,0,-0.156,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-31,25600,26000,25360,25840,1250554,0,0.9375,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-01,25960,26820,25900,26660,470080,0,3.1734,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-02,27000,27440,26920,27300,476139,0,2.4006,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-03,27400,27580,27280,27540,341324,0,0.8791,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-07,27720,28040,27600,27960,462843,0,1.5251,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-08,28380,28380,27780,28120,376162,0,0.5722,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-09,28160,28600,28120,28600,515375,0,1.707,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-10,28480,28500,28080,28120,289681,0,-1.6783,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-13,27920,27920,27240,27420,304966,0,-2.4893,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-14,27420,27720,27380,27600,245461,0,0.6565,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-15,27699,28320,27660,28260,306689,0,2.3913,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-16,28259,28340,27900,28180,292431,0,-0.2831,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-17,28200,28700,28200,28520,328394,0,1.2065,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-20,28540,28960,28519,28620,270316,0,0.3506,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-21,28640,28980,28520,28960,200411,0,1.188,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-22,28920,29000,28620,28900,178965,0,-0.2072,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-23,28880,28900,28540,28600,225126,0,-1.0381,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-24,28900,28900,27200,28000,411052,0,-2.0979,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-27,28000,28099,27700,27960,236780,0,-0.1429,0,0,0,0,0,0,0,0,0,0,0,0
