date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-25,53500,55200,53200,55100,193785,0,3.5714,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-26,55100,55700,54400,55500,145110,0,0.726,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-27,55700,57400,55300,56700,166062,0,2.1622,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-30,56200,56900,55700,56300,111271,0,-0.7055,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-31,56100,57300,55500,56800,135607,0,0.8881,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-01,56200,57800,56200,57500,103511,0,1.2324,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-02,57300,58600,56800,57400,158282,0,-0.1739,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-03,57400,58300,56900,58100,114105,0,1.2195,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-07,57900,58500,57200,58100,134687,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-08,58000,59200,57600,59100,140529,0,1.7212,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-09,59000,59600,57200,57600,237900,0,-2.5381,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-10,58100,59000,57100,57900,113973,0,0.5208,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-13,57200,57900,56000,56800,88015,0,-1.8998,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-14,56300,58400,56300,56800,146624,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-15,56800,58400,56700,58000,105566,0,2.1127,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-16,57900,58900,56300,56500,92487,0,-2.5862,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-17,57300,57500,55100,55900,101181,0,-1.0619,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-20,56400,58700,56000,56700,155349,0,1.4311,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-21,57300,57500,56200,57400,88220,0,1.2346,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-22,57400,57900,57000,57200,78144,0,-0.3484,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-23,56900,57200,56100,56700,75995,0,-0.8741,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-24,57200,58000,53900,55000,238036,0,-2.9982,0,0,0,0,0,0,0,0,0,0,0,0
