date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-25,106224,106714,104755,105735,209914,0,0.9346,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-26,106225,107204,105245,106225,103166,0,0.4634,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-27,106224,106224,105245,105735,74433,0,-0.4613,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-30,104756,105245,104266,104756,91584,0,-0.9259,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-31,104756,112099,104756,110141,565372,0,5.1405,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-01,110140,115525,109650,114546,545751,0,3.9994,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-02,114545,116993,114056,115525,411348,0,0.8547,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-03,116015,116504,108672,109162,609309,0,-5.5079,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-07,116015,117973,113567,116015,699564,0,6.2778,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-08,116014,116014,104755,106714,1251575,0,-8.0171,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-09,108671,111119,106224,109651,612808,0,2.7522,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-10,110141,110141,107693,108183,194869,0,-1.3388,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-13,106713,111609,106224,110630,290360,0,2.2619,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-14,110630,111120,108182,108183,196212,0,-2.2119,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-15,107203,109651,106714,106714,157764,0,-1.3579,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-16,108182,108672,106714,106714,145828,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-17,107203,108672,105734,106714,173441,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-20,108182,110630,107693,110141,170036,0,3.2114,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-21,105245,108672,102798,108183,417368,0,-1.7777,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-22,108182,108182,105735,105735,312334,0,-2.2628,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-23,106224,108182,105734,107693,159341,0,1.8518,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-24,109162,109162,101819,103288,494489,0,-4.0903,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-27,99860,102798,99371,100840,293563,0,-2.3701,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-28,99371,100350,97902,99371,240894,0,-1.4568,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-29,101818,105245,100350,103777,287548,0,4.4339,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-30,105245,107203,104266,105735,257909,0,1.8867,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-01,105245,106225,104756,106225,130595,0,0.4634,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-04,105734,108672,105734,108672,142494,0,2.3036,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-05,108182,109162,107203,108183,145225,0,-0.45,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-06,108183,108183,103777,105246,212338,0,-2.7148,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-07,106714,106714,105245,106714,79026,0,1.3948,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-08,106713,107692,101328,102308,300732,0,-4.1288,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-11,102308,104756,101329,103777,314293,0,1.4359,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-12,101329,103287,100350,102798,347905,0,-0.9434,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-13,103777,104267,102798,103288,146623,0,0.4767,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-14,102797,106224,102797,105735,239179,0,2.3691,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-15,114057,114546,105245,106225,871692,0,0.4634,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-18,106714,108672,105245,105735,190943,0,-0.4613,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-19,106714,107204,104756,105246,158228,0,-0.4625,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-20,104756,104756,102798,102798,183174,0,-2.326,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-21,102798,105735,102798,105246,178754,0,2.3814,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-22,105245,106224,104756,104756,96127,0,-0.4656,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-25,105245,105735,104266,104756,113028,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-26,104266,105735,104266,104756,103372,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-27,104756,105735,104756,105246,92754,0,0.4678,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-28,105245,107204,104266,107204,155362,0,1.8604,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-29,106225,106714,102798,103288,324579,0,-3.6528,0,0,0,0,0,0,0,0,0,0,0,0
2016-08-01,103776,105735,103287,105735,181516,0,2.3691,0,0,0,0,0,0,0,0,0,0,0,0
2016-08-02,105735,105735,103776,104756,136819,0,-0.9259,0,0,0,0,0,0,0,0,0,0,0,0
2016-08-03,103776,110630,103776,109651,478225,0,4.6728,0,0,0,0,0,0,0,0,0,0,0,0
2016-08-04,110629,113567,110629,112588,460590,0,2.6785,0,0,0,0,0,0,0,0,0,0,0,0
2016-08-05,112098,114546,111609,114057,302169,0,1.3048,0,0,0,0,0,0,0,0,0,0,0,0
2016-08-08,113566,115525,112587,114546,230533,0,0.4287,0,0,0,0,0,0,0,0,0,0,0,0
2016-08-09,114056,116015,113567,115036,300072,0,0.4278,0,0,0,0,0,0,0,0,0,0,0,0
2016-08-10,115035,117483,114056,116994,320906,0,1.7021,0,0,0,0,0,0,0,0,0,0,0,0
2016-08-11,116993,117483,116014,117483,182628,0,0.418,0,0,0,0,0,0,0,0,0,0,0,0
2016-08-12,117973,117973,115035,116994,206672,0,-0.4162,0,0,0,0,0,0,0,0,0,0,0,0
2016-08-16,116504,116504,113078,113078,236528,0,-3.3472,0,0,0,0,0,0,0,0,0,0,0,0
2016-08-17,113566,116993,113077,115525,221611,0,2.164,0,0,0,0,0,0,0,0,0,0,0,0
2016-08-18,115035,117483,113566,116504,235036,0,0.8474,0,0,0,0,0,0,0,0,0,0,0,0
