date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-25,4333,4532,4333,4524,427677,0,4.6253,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-26,4541,4549,4454,4541,251853,0,0.3758,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-27,4557,4592,4496,4593,178734,0,1.1451,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-30,4608,4617,4513,4566,239196,0,-0.5879,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-31,4601,4636,4558,4619,173969,0,1.1608,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-01,4619,4628,4515,4559,145114,0,-1.299,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-02,4550,4558,4481,4481,142242,0,-1.7109,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-03,4504,4531,4393,4428,200806,0,-1.1828,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-07,4427,4505,4410,4463,185034,0,0.7904,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-08,4461,4591,4461,4566,247974,0,2.3079,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-09,4575,4810,4541,4810,1078583,0,5.3438,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-10,4859,4868,4713,4748,566773,0,-1.289,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-13,4669,4782,4618,4766,372810,0,0.3791,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-14,4687,4774,4609,4636,162346,0,-2.7277,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-15,4635,4695,4574,4575,133906,0,-1.3158,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-16,4573,4704,4557,4566,293694,0,-0.1967,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-17,4600,4652,4522,4584,125299,0,0.3942,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-20,4582,4686,4565,4679,175030,0,2.0724,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-21,4644,4696,4609,4662,161982,0,-0.3633,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-22,4618,4729,4583,4584,210902,0,-1.6731,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-23,4619,4628,4437,4559,280354,0,-0.5454,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-24,4592,4627,4220,4251,602921,0,-6.7559,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-27,4069,4359,4069,4359,321924,0,2.5406,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-28,4290,4402,4272,4368,144964,0,0.2065,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-29,4410,4471,4367,4420,172233,0,1.1905,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-30,4427,4470,4418,4428,91113,0,0.181,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-01,4445,4523,4445,4489,184732,0,1.3776,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-04,4496,4514,4384,4420,243278,0,-1.5371,0,0,0,0,0,0,0,0,0,0,0,0
