date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-25,183000,185000,182000,183000,86038,0,0.8264,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-26,184000,184500,182000,182500,61487,0,-0.2732,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-27,182500,183500,180500,181500,97301,0,-0.5479,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-30,181500,184000,179500,183500,86940,0,1.1019,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-31,182000,185000,182000,183000,345463,0,-0.2725,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-01,181500,182500,174000,174000,275313,0,-4.918,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-02,172000,172500,164000,167000,376442,0,-4.023,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-03,148000,161500,142500,149000,1220701,0,-10.7784,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-07,150000,151500,142500,150500,863541,0,1.0067,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-08,152500,157000,150500,152500,487302,0,1.3289,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-09,151500,153500,145000,146000,528901,0,-4.2623,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-10,147000,150500,145000,149500,384361,0,2.3973,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-13,151500,155000,150000,151000,341674,0,1.0033,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-14,151000,156000,150500,155500,278535,0,2.9801,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-15,159500,161000,156500,158000,281619,0,1.6077,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-16,158000,158000,151000,152000,231089,0,-3.7975,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-17,151000,153000,147000,149000,217696,0,-1.9737,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-20,150500,154000,150000,152500,129038,0,2.349,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-21,148500,150500,147000,150500,220235,0,-1.3115,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-22,150500,150500,146500,147500,145480,0,-1.9934,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-23,148000,149500,147000,147000,107467,0,-0.339,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-24,148500,148500,137000,138500,435046,0,-5.7823,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-27,133500,136500,132000,135500,288345,0,-2.1661,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-28,134500,138000,134500,137500,203583,0,1.476,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-29,138500,139500,137000,138000,177451,0,0.3636,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-30,139500,148500,139500,143500,425391,0,3.9855,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-01,143500,144500,142000,143000,107268,0,-0.3484,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-04,142000,144000,141500,142000,112548,0,-0.6993,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-05,141500,142000,137500,140000,201996,0,-1.4085,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-06,140000,141500,135500,136500,150276,0,-2.5,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-07,137500,139500,137000,137000,108503,0,0.3663,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-08,138500,141500,138000,140500,175321,0,2.5547,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-11,142500,144500,141000,143000,124152,0,1.7794,0,0,0,0,0,0,0,0,0,0,0,0
