date,open,high,low,close,volume,trading_value,change_rate,foreign_net,institution_net
2016-05-25,18016,18245,17862,17979,306490,0,1.5189,0,0
2016-05-26,17977,18283,17862,18131,243366,0,0.8454,0,0
2016-05-27,18245,18245,17786,18055,260592,0,-0.4192,0,0
2016-05-30,18054,18130,17748,18016,357469,0,-0.216,0,0
2016-05-31,17940,19010,17901,18552,913296,0,2.9751,0,0
2016-06-01,18665,18665,17710,17749,1059433,0,-4.3284,0,0
2016-06-02,17174,17212,16179,16295,13473525,0,-8.192,0,0
2016-06-03,16676,16906,16524,16639,1976404,0,2.1111,0,0
2016-06-07,16791,16791,16524,16639,1206475,0,0.0,0,0
2016-06-08,16676,16906,16600,16755,2136373,0,0.6972,0,0
2016-06-09,16868,17442,16715,16945,1792800,0,1.134,0,0
2016-06-10,17058,17136,16868,16869,920052,0,-0.4485,0,0
2016-06-13,16752,16791,16371,16449,771304,0,-2.4898,0,0
2016-06-14,16333,16600,15873,15875,1314853,0,-3.4896,0,0
2016-06-15,15682,15988,15337,15683,933612,0,-1.2094,0,0
2016-06-16,15835,16179,15643,15760,631623,0,0.491,0,0
2016-06-17,15835,16333,15759,15913,576627,0,0.9708,0,0
2016-06-20,16103,16255,15873,15875,454466,0,-0.2388,0,0
2016-06-21,16027,16141,15797,16066,697895,0,1.2031,0,0
2016-06-22,16027,16524,16027,16525,553911,0,2.857,0,0
2016-06-23,16447,16485,16141,16410,449045,0,-0.6959,0,0
2016-06-24,16830,17058,15414,15492,2651130,0,-5.5941,0,0
2016-06-27,15031,15567,14803,15263,1155668,0,-1.4782,0,0
2016-06-28,15261,16141,15184,15952,921026,0,4.5142,0,0
2016-06-29,16255,16600,15988,16295,627356,0,2.1502,0,0
2016-06-30,16447,16600,16141,16219,440961,0,-0.4664,0,0
2016-07-01,16255,16485,16255,16372,315231,0,0.9433,0,0
2016-07-04,16524,17136,16371,16985,797555,0,3.7442,0,0
2016-07-05,17136,17250,16600,16716,760118,0,-1.5838,0,0
2016-07-06,16600,16945,16179,16372,702002,0,-2.0579,0,0
2016-07-07,16639,17098,16524,16907,642556,0,3.2678,0,0
2016-07-08,16868,16906,16447,16525,445682,0,-2.2594,0,0
2016-07-11,16752,17824,16639,17749,1420556,0,7.407,0,0
2016-07-12,17977,18589,17786,18284,1643947,0,3.0143,0,0
2016-07-13,18627,18743,18092,18552,890491,0,1.4658,0,0
2016-07-14,18397,18551,18054,18131,756330,0,-2.2693,0,0
2016-07-15,18321,18704,18207,18361,745790,0,1.2685,0,0
2016-07-18,18589,19201,18513,19088,1246234,0,3.9595,0,0
2016-07-19,18895,18895,18321,18667,1183830,0,-2.2056,0,0
2016-07-20,18589,19125,18513,19049,708392,0,2.0464,0,0
2016-07-21,19125,19163,18780,19011,533980,0,-0.1995,0,0
