date,open,high,low,close,volume,trading_value,change_rate,foreign_net,institution_net
2025-02-05,60500,61900,54900,55800,11928487,0,0.0,0,0
2025-02-06,56400,58000,55000,57700,4504009,0,3.405,0,0
2025-02-07,57700,58300,56200,57200,2240564,0,-0.8666,0,0
2025-02-10,56400,57700,55700,55700,1547194,0,-2.6224,0,0
2025-02-11,56100,56300,54200,54400,1517341,0,-2.3339,0,0
2025-02-12,54200,55700,53800,54300,987535,0,-0.1838,0,0
2025-02-13,55200,56800,54700,55700,1574873,0,2.5783,0,0
2025-02-14,55400,55500,54300,54500,929423,0,-2.1544,0,0
2025-02-17,54600,54600,53100,53200,965351,0,-2.3853,0,0
2025-02-18,53300,53600,52000,52100,1021817,0,-2.0677,0,0
2025-02-19,52800,53200,52200,52300,803215,0,0.3839,0,0
2025-02-20,52200,52700,51200,51300,735273,0,-1.912,0,0
2025-02-21,51500,52200,51200,51700,526764,0,0.7797,0,0
2025-02-24,50900,51400,50100,50300,666499,0,-2.7079,0,0
2025-02-25,50200,51100,49750,50700,622991,0,0.7952,0,0
2025-02-26,50400,50700,49950,50100,387046,0,-1.1834,0,0
2025-02-27,50200,50200,49400,49950,584305,0,-0.2994,0,0
2025-02-28,49300,49400,48350,48350,719821,0,-3.2032,0,0
2025-03-04,47850,47900,46550,46550,743054,0,-3.7229,0,0
2025-03-05,47000,47800,46500,47400,672430,0,1.826,0,0
2025-03-06,47700,51300,47400,51000,2214248,0,7.5949,0,0
2025-03-07,50300,51700,50300,51200,865391,0,0.3922,0,0
2025-03-10,51000,51100,49800,50500,441922,0,-1.3672,0,0
2025-03-11,48950,51500,48800,50700,526969,0,0.396,0,0
2025-03-12,51200,52900,51000,52200,982245,0,2.9586,0,0
2025-03-13,52600,52700,51000,51700,462240,0,-0.9579,0,0
2025-03-14,51700,52600,51300,51700,320626,0,0.0,0,0
2025-03-17,51700,52300,51200,51200,380336,0,-0.9671,0,0
2025-03-18,51600,52400,51400,51700,346065,0,0.9766,0,0
2025-03-19,52000,53400,51800,52800,851039,0,2.1277,0,0
2025-03-20,53300,53300,52300,52400,386265,0,-0.7576,0,0
2025-03-21,52300,52900,52100,52200,265520,0,-0.3817,0,0
2025-03-24,51800,52400,51600,52000,191469,0,-0.3831,0,0
2025-03-25,51900,52200,51600,51600,209816,0,-0.7692,0,0
2025-03-26,51700,52600,51100,52000,281388,0,0.7752,0,0
2025-03-27,51500,51900,51100,51100,178120,0,-1.7308,0,0
2025-03-28,51100,51500,49800,49800,309677,0,-2.544,0,0
2025-03-31,48750,49750,48750,49000,220463,0,-1.6064,0,0
2025-04-01,49300,49850,48850,48900,213936,0,-0.2041,0,0
2025-04-02,49100,49200,47850,48300,257418,0,-1.227,0,0
2025-04-03,47400,49450,47400,48850,233579,0,1.1387,0,0
2025-04-04,48300,50100,47900,50000,223526,0,2.3541,0,0
2025-04-07,48850,49450,48350,48350,322021,0,-3.3,0,0
2025-04-08,49200,50200,48350,48400,229463,0,0.1034,0,0
2025-04-09,48000,48650,47000,47450,231484,0,-1.9628,0,0
2025-04-10,49300,49500,48100,48350,215583,0,1.8967,0,0
2025-04-11,47950,49250,47825,48800,250572,0,0.9307,0,0
2025-04-14,48900,49650,48600,49400,239579,0,1.2295,0,0
