date,open,high,low,close,volume,trading_value,change_rate,foreign_net,institution_net
2017-05-10,61350,68267,54333,56138,543239,0,0.0,0,0
2017-05-11,56137,58544,55235,55637,165670,0,-0.8924,0,0
2017-05-12,56338,56839,53631,53633,115797,0,-3.6019,0,0
2017-05-15,53030,53030,50424,50624,117696,0,-5.6104,0,0
2017-05-16,49922,50924,47716,49121,191568,0,-2.9689,0,0
2017-05-17,50824,55736,50824,54133,221770,0,10.2034,0,0
2017-05-18,54133,58142,53531,57041,158513,0,5.372,0,0
2017-05-19,56438,57941,55937,57843,64424,0,1.406,0,0
2017-05-22,57140,58844,56638,57843,46891,0,0.0,0,0
2017-05-23,58243,59446,57140,58244,70118,0,0.6933,0,0
2017-05-24,58644,59446,57741,59347,40340,0,1.8938,0,0
2017-05-25,60147,64458,60047,63657,124733,0,7.2624,0,0
2017-05-26,62754,64257,62553,62955,36934,0,-1.1028,0,0
2017-05-29,62954,63355,61550,62153,34025,0,-1.2739,0,0
2017-05-30,61752,61952,59144,60149,60997,0,-3.2243,0,0
2017-05-31,59546,60347,58243,58745,53253,0,-2.3342,0,0
2017-06-01,58744,63255,58544,62454,44739,0,6.3137,0,0
2017-06-02,62854,62854,60949,61552,30714,0,-1.4443,0,0
2017-06-05,61551,62754,60448,61852,20213,0,0.4874,0,0
2017-06-07,61551,63556,61350,63256,34730,0,2.2699,0,0
2017-06-08,63255,67164,62553,66966,66817,0,5.8651,0,0
2017-06-09,66463,68367,64959,66664,49857,0,-0.451,0,0
2017-06-12,66764,66764,64057,65060,39903,0,-2.4061,0,0
2017-06-13,63455,65360,62954,63858,85036,0,-1.8475,0,0
2017-06-14,63856,65761,63756,64860,40726,0,1.5691,0,0
2017-06-15,64859,64859,63155,63958,29348,0,-1.3907,0,0
2017-06-16,63756,63856,62152,62555,41163,0,-2.1936,0,0
2017-06-19,62653,63756,61851,63657,26738,0,1.7616,0,0
2017-06-20,63255,63455,61651,62555,30890,0,-1.7312,0,0
2017-06-21,62754,62754,60949,61652,25799,0,-1.4435,0,0
2017-06-22,61150,62253,59746,61753,43097,0,0.1638,0,0
2017-06-23,61752,62653,61250,62655,22168,0,1.4607,0,0
2017-06-26,62653,62854,61350,62153,22408,0,-0.8012,0,0
2017-06-27,61651,62854,61450,61552,20793,0,-0.967,0,0
2017-06-28,61150,62152,61150,61753,23160,0,0.3266,0,0
2017-06-29,61752,62352,61551,61953,23162,0,0.3239,0,0
2017-06-30,61651,62553,61651,62454,22156,0,0.8087,0,0
2017-07-03,62453,63756,61952,62755,18812,0,0.482,0,0
2017-07-04,62553,63355,62453,62955,13764,0,0.3187,0,0
2017-07-05,62553,63355,62453,62955,10004,0,0.0,0,0
2017-07-06,62553,63455,62453,63356,14302,0,0.637,0,0
2017-07-07,63455,63856,62754,62955,20872,0,-0.6329,0,0
2017-07-10,63655,63655,61049,61652,21937,0,-2.0697,0,0
2017-07-11,61651,61752,60147,60450,21790,0,-1.9497,0,0
2017-07-12,60548,61150,58544,59447,19462,0,-1.6592,0,0
2017-07-13,59546,60448,59546,60048,16745,0,1.011,0,0
2017-07-14,59446,61150,58944,61050,9553,0,1.6687,0,0
2017-07-17,61350,61752,60649,61552,15854,0,0.8223,0,0
2017-07-18,61651,61651,60548,61352,10582,0,-0.3249,0,0
2017-07-19,61250,61952,60849,61953,13832,0,0.9796,0,0
