date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2021-11-29,82000,85000,73900,76000,8764092,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-30,77900,80500,68000,68000,6863151,0,-10.5263,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-01,68400,69400,61900,62700,4481654,0,-7.7941,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-02,61900,72100,61500,68700,7312303,0,9.5694,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-03,67400,70200,65500,66000,3301896,0,-3.9301,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-06,64000,69300,63700,66000,11832989,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-07,66800,68200,65500,65600,2244270,0,-0.6061,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-08,66700,67800,64600,64600,2294736,0,-1.5244,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-09,64500,65100,62800,65100,3184427,0,0.774,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-10,64100,64900,63200,63300,1443615,0,-2.765,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-13,63300,64400,63000,63000,1178159,0,-0.4739,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-14,62600,62800,60600,60600,1917405,0,-3.8095,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-15,59500,60900,58000,58200,2260768,0,-3.9604,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-16,59000,59400,56100,56400,2564560,0,-3.0928,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-17,55800,59300,54700,57000,3344436,0,1.0638,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-20,56600,60100,55900,58400,2704260,0,2.4561,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-21,58800,61600,58200,60900,2579600,0,4.2808,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-22,61700,65900,61200,65700,4156492,0,7.8818,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-23,65400,65700,63700,64900,2251218,0,-1.2177,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-24,65100,67200,65100,65800,1920024,0,1.3867,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-27,66300,66600,64000,65200,1205094,0,-0.9119,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-28,65400,65400,63900,64800,1100056,0,-0.6135,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-29,65300,65800,64500,64500,986784,0,-0.463,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-30,64800,68500,64800,66400,2543077,0,2.9457,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-03,66900,67300,65200,66500,1123222,0,0.1506,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-04,66800,70300,65900,70000,3183183,0,5.2632,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-05,69700,70500,67400,67600,2733991,0,-3.4286,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-06,65900,66300,61300,61700,3617004,0,-8.7278,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-07,62600,62600,59700,61000,2312174,0,-1.1345,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-10,60400,60800,57400,57500,2262799,0,-5.7377,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-11,58000,59500,56700,57200,1645760,0,-0.5217,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-12,57800,60900,57800,59400,2164247,0,3.8462,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-13,59500,59700,57800,58000,1094076,0,-2.3569,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-14,57000,59800,57000,59000,1422881,0,1.7241,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-17,58700,59700,58200,59300,915485,0,0.5085,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-18,59900,63900,59800,62900,2986345,0,6.0708,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-19,62200,63700,61000,62300,1539452,0,-0.9539,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-20,62600,63500,61500,62500,1170461,0,0.321,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-21,61800,62800,59900,60800,1728551,0,-2.72,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-24,60100,60700,59100,59200,1084225,0,-2.6316,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-25,59500,59700,56600,56700,1874355,0,-4.223,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-26,57300,58500,56700,57200,1164928,0,0.8818,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-27,57400,57700,54800,54800,1770666,0,-4.1958,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-28,55100,55300,51500,55000,2728488,0,0.365,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-03,56100,57000,55600,56200,1411048,0,2.1818,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-04,55600,57800,55300,56900,1314467,0,1.2456,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-07,57200,59000,55500,58200,1446356,0,2.2847,0,0,0,0,0,0,0,0,0,0,0,0
