date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,25300,25500,24700,24750,301484,7461729000,-2.1739,72351,-80923,8446,-1139,-7594,-2892,-2649,1156,21564,249,-123,0
2016-05-27,24950,25300,24850,25250,223612,5646203000,2.0202,2522,24906,-27432,-30242,-9799,23736,517,0,-11644,44,-40,0
2016-05-30,25300,25400,24750,25000,171202,4280050000,-0.9901,40438,-19875,-20563,10661,-4868,-11160,6789,0,-21985,-1,1,0
2016-05-31,25000,25250,24850,25100,203538,5108803800,0.4,41711,-52329,10539,17371,-4889,-17580,17899,0,-2262,-2,81,0
2016-06-01,25200,25300,24950,25150,142124,3574418600,0.1992,25589,-55132,29910,15093,13706,-110,13575,0,-12517,-377,10,163
2016-06-02,25300,25350,24700,24700,255292,6305712400,-1.7893,105400,-57657,-48034,-26794,-4287,-20587,-3098,0,6732,249,42,0
2016-06-03,24700,24800,24200,24350,237766,5789602100,-1.417,27845,-18593,-7824,-30193,-8002,-22037,-5579,40522,17465,-1428,0,0
2016-06-07,24350,24600,24300,24600,327248,8050300800,1.0267,20952,5709,-26595,-14127,-9064,-569,-12154,16,9303,-1,-65,0
2016-06-08,24550,24800,24000,24550,414586,10178086300,-0.2033,54749,-96849,41753,-57817,-10668,58493,17336,22,34387,188,159,0
2016-06-09,24550,25350,24500,25150,483726,12165708900,2.444,-85240,18073,67798,-29722,6761,47854,-5694,0,50291,-612,-19,-1692
2016-06-10,25150,25500,25050,25300,272657,6898222100,0.5964,-22659,-108274,129636,12026,19837,26853,5545,0,65375,799,498,0
2016-06-13,25300,25350,24400,24750,341280,8446680000,-2.1739,99545,-228897,128641,32354,53326,-1551,12786,0,21355,301,410,10371
2016-06-14,24550,24950,24500,24700,207843,5133722100,-0.202,-3752,-76375,80354,44806,-11400,29517,17048,8,375,-131,-96,0
2016-06-15,24850,25000,24600,24900,204242,5085625800,0.8097,4087,-110578,106446,26961,5306,57662,12351,15,4151,-50,95,0
