date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,42578,42790,41873,42368,181613,7694579584,0.3339,1619,-4301,2168,791,-66,933,-719,0,1291,963,-449,-62
2016-05-27,42576,42999,41589,42931,189688,8143495528,1.3288,-12388,10090,2281,4689,-2046,2291,-2401,0,-128,40,-23,-124
2016-05-30,43212,44834,42506,44483,313605,13950091215,3.6151,-14986,7401,7141,6609,1026,1906,-847,-50,-1152,421,23,-351
2016-05-31,44270,45045,43705,44694,674044,30125722536,0.4743,-1780,-8607,10409,6933,1695,4505,-185,0,-2378,-10,-12,-161
2016-06-01,44268,44972,43915,44905,184684,8293235020,0.4721,-4889,4102,794,7008,-173,-64,-1248,0,-4269,0,-7,-460
2016-06-02,44410,44903,44058,44130,184003,8120052390,-1.7259,-449,4453,-4011,1499,-1514,-87,-2094,-300,-1515,10,-3,0
2016-06-03,44409,44973,44127,44553,141699,6313115547,0.9585,-2936,272,2677,2399,-1834,95,-651,0,2641,-1,-12,27
2016-06-07,44409,45113,44268,44905,259243,11641306915,0.7901,-3250,13388,-7175,-5762,-2275,1654,639,-100,-1331,-2963,0,0
2016-06-08,44831,46735,44620,46385,385640,17887911400,3.2958,-18154,14890,2413,11504,-4102,-995,-799,-3023,-143,850,1,-29
2016-06-09,46382,46523,45677,46032,329097,15148993104,-0.761,1667,4734,-6229,9792,-12562,-1249,-2148,-3337,4096,-56,-116,-821
2016-06-10,46312,46452,45113,46385,171527,7956279895,0.7669,-3528,5975,-2526,3546,-7785,-1178,-1588,-300,4779,12,67,0
2016-06-13,45820,46595,45115,45258,169464,7669601712,-2.4297,1701,2438,-3609,4368,-5134,-1008,-1582,-1305,1052,-240,-290,0
2016-06-14,45538,45538,44128,44694,219822,9824724468,-1.2462,-20,6946,-7029,6184,-4675,-2818,-978,-500,-4242,90,13,0
2016-06-15,44479,45747,44126,44764,185579,8307258356,0.1566,630,344,-847,4261,570,-1588,452,0,-4542,-150,23,0
2016-06-16,44479,44901,42716,43424,194261,8435589664,-2.9935,5769,1051,-6756,-1499,-872,262,-516,-2000,-2131,-48,-16,0
2016-06-17,43704,43987,42365,42720,245834,10502028480,-1.6212,8618,7703,-16314,-2664,-4041,-956,-9044,-354,777,-5,-2,-32
2016-06-20,43423,43776,42859,43566,134111,5842679826,1.9803,-1092,-928,2090,-289,2321,590,-1459,0,927,-70,0,0
2016-06-21,43352,43775,42717,43777,195269,8548291013,0.4843,5231,10031,-16214,-12668,-2095,-259,-1010,-328,-437,952,0,583
2016-06-22,43986,43986,43351,43707,99954,4368689478,-0.1599,1221,-6613,5393,39,3052,-13,1107,-520,1728,-1,0,0
2016-06-23,43211,43704,42505,42720,133210,5690731200,-2.2582,7115,-2318,-4325,-808,-45,-3131,-3015,0,2674,0,-472,0
2016-06-24,43213,43636,40886,42791,377345,16146969895,0.1662,-3966,4447,-593,2604,3152,-4347,1607,25,-3699,104,8,65
2016-06-27,42644,43067,42011,43071,192515,8291813565,0.6543,-848,-1335,2131,298,465,-973,-967,-324,3632,52,0,0
2016-06-28,42999,42999,42294,42860,221541,9495247260,-0.4899,8445,4046,-12601,132,-7716,-596,-5507,0,1086,107,3,0
2016-06-29,42859,43069,42436,42579,237624,10117792296,-0.6556,14652,4264,-19116,-776,-12540,-1,2080,52,-6982,200,0,-949
2016-06-30,42788,43211,42435,43143,209120,9022064160,1.3246,-6104,4646,1319,-184,3399,-5,2080,0,-3558,139,0,-413
2016-07-01,42858,43775,42858,43143,174968,7548644424,0.0,3637,-1048,-2632,870,-10053,-106,5309,164,1184,31,12,0
2016-07-04,43281,43705,43212,43354,205614,8914189356,0.4891,4336,4649,-9026,2940,-15974,-1560,4713,1000,-81,36,5,-64
2016-07-05,43211,43563,42505,43495,190518,8286580410,0.3252,2982,4378,-7376,-4578,100,-1453,-59,0,-1386,16,0,0
2016-07-06,43491,43561,42363,43071,215302,9273272442,-0.9748,5662,-7378,1402,-8438,4994,1591,2101,32,1122,313,1,0
2016-07-07,43350,44336,43067,44340,279051,12373121340,2.9463,-9809,7402,2253,2088,-14024,3862,430,2700,4974,156,-2,2223
2016-07-08,43988,44482,43494,44483,149345,6643313635,0.3225,-2880,-8347,10943,1287,401,3255,407,3300,2025,249,35,268
2016-07-11,45043,45536,44480,44905,161117,7234958885,0.9487,-1454,3194,-1862,1596,-6056,-357,-228,1057,2287,122,0,-161
2016-07-12,44549,45113,44337,44905,180712,8114872360,0.0,-5182,4445,617,2491,-1167,-2246,2248,2498,-1815,99,21,-1392
2016-07-13,44903,45749,43917,44412,288598,12817214376,-1.0979,1647,5851,-7251,-1589,-2885,-772,-1740,1967,-2288,-121,-126,56
2016-07-14,44620,45396,44480,45399,260586,11830343814,2.2224,-11921,5091,8433,566,-5956,-300,14991,0,-868,-1603,0,0
2016-07-15,45395,45395,44268,44905,272528,12237869840,-1.0881,6407,2501,-8379,7338,-5457,-815,-4932,-500,-3780,-100,-429,-233
2016-07-18,44481,44833,43987,44130,149111,6580268430,-1.7259,1741,-276,-97,4290,-1614,-2882,55,300,-242,-760,-608,-4
2016-07-19,44197,44338,43916,44130,113583,5012417790,0.0,-277,7677,-7088,2669,-5927,-403,-1321,0,-2106,-52,-260,0
2016-07-20,44058,44481,43846,44271,131354,5815172934,0.3195,-483,2475,-1590,9191,-4446,-1828,-642,-100,-3765,-402,0,0
2016-07-21,43986,44550,43634,44553,167472,7461380016,0.637,-4361,3064,1181,10714,-6787,7,-2474,-215,1936,116,0,-2000
2016-07-22,44270,44270,43001,43002,254388,10939192776,-3.4812,14268,-11494,-2815,-4190,-3211,-1725,5610,-1,702,41,0,0
2016-07-25,42577,42929,41730,41874,260398,10903905852,-2.6231,12414,-1416,-10353,-1602,-6402,331,-1939,-77,-664,43,-688,0
2016-07-26,41803,42436,41731,42368,318473,13493064064,1.1797,5879,-12734,6634,6000,-2057,2787,-701,-1,1397,216,5,-791
2016-07-27,42576,42645,40600,41380,507362,20994639560,-2.3319,7702,8591,-15906,1868,-3716,-4353,-1127,48,-7807,-184,-203,-819
2016-07-28,42013,43000,40886,41451,582234,24134181534,0.1716,11029,7918,-19020,-14113,-9473,2925,-1240,1000,2101,60,13,-220
2016-07-29,42012,44338,41871,43143,717581,30958597083,4.0819,-20547,43963,-22806,-4795,-11708,-383,-649,0,-5322,-600,-10,51
2016-08-01,43353,43565,42014,42368,337152,14284455936,-1.7964,4648,5836,-10324,1110,-3297,-4512,-2943,0,-682,30,-190,0
2016-08-02,42435,42999,42224,42437,330732,14035273884,0.1629,346,14011,-14457,14865,-23084,-62,-1535,0,-4641,100,0,0
2016-08-03,42154,43070,42154,42791,249930,10694754630,0.8342,-5061,5104,-63,5517,-2191,-359,-1737,0,-1293,20,0,0
2016-08-04,42858,42999,42435,42860,133048,5702437280,0.1612,-529,-3038,3567,6572,-2500,-505,1023,0,-1023,0,0,0
2016-08-05,42719,43001,42578,42791,123377,5279425207,-0.161,-2458,4855,-2397,654,-766,-58,-2255,0,111,0,0,-83
2016-08-08,42789,43353,42646,43354,158211,6859079694,1.3157,-5422,6427,-1044,1170,-1845,-69,-431,0,131,39,0,0
2016-08-09,43140,43844,42858,42860,247918,10625765480,-1.1395,3992,9703,-13505,-1120,-6599,-222,-3870,0,-1065,0,-190,-629
2016-08-10,42857,44196,42857,43847,283970,12451232590,2.3028,-8683,21669,-12976,0,-12519,-728,-74,-1,799,-10,0,-453
2016-08-11,43845,43986,43280,43918,173274,7609847532,0.1619,86,-641,555,2272,-2274,-680,-826,0,2063,-3,3,0
2016-08-12,43494,44551,43494,44412,170094,7554214728,1.1248,-6563,5085,1542,-1459,-538,-715,526,0,4090,-64,0,-362
2016-08-16,44832,44832,43634,43918,147573,6481111014,-1.1123,996,-1522,504,42,-868,27,-421,-23,1747,22,0,0
2016-08-17,43564,43987,43000,43354,143659,6228192286,-1.2842,1729,-112,-1546,-1572,-517,-77,-343,0,1537,-71,0,-574
2016-08-18,43138,43278,42363,42507,166547,7079413329,-1.9537,11500,-483,-10636,-5079,-1456,-57,-118,0,-3366,-381,0,-560
2016-08-19,42365,42646,41730,41874,219192,9178445808,-1.4892,20335,-2019,-17822,-5879,-3720,-124,-3456,0,-4643,-494,0,0
2016-08-22,41871,41871,40885,41028,151597,6219721716,-2.0203,10584,-2116,-8482,-4521,-287,-2487,321,0,-1508,14,0,0
2016-08-23,41378,42225,41308,41874,125350,5248905900,2.062,841,330,-1171,-624,-482,-398,2018,119,-1804,0,0,0
2016-08-24,41520,42013,41449,41945,88888,3728407160,0.1696,1674,-2158,484,917,-1807,44,1987,613,-1270,0,0,0
2016-08-25,42294,42294,41801,42015,120834,5076840510,0.1669,32,-1507,1460,1153,-2080,-495,-59,-3,2944,15,0,0
2016-08-26,42296,42436,41873,42368,124785,5286890880,0.8402,-1067,765,283,338,-784,-182,-600,0,1637,25,-6,-126
2016-08-29,42153,42225,41730,41874,130964,5483986536,-1.166,359,1121,-1438,1046,-1859,-1389,-1511,-6,2281,-32,-10,0
2016-08-30,41873,42154,41098,41522,103634,4303090948,-0.8406,1809,-1196,-622,-301,-1760,-381,-161,0,1981,0,9,0
2016-08-31,41520,42013,40461,40675,204113,8302296275,-2.0399,10343,868,-11223,-6811,-304,-2491,-1165,25,-311,11,1,-166
2016-09-01,40672,40672,39756,40252,311016,12519016032,-1.04,15511,4319,-19891,-13725,-1897,-1446,-1946,900,-1777,63,-2,0
2016-09-02,40460,40460,39969,40393,146080,5900609440,0.3503,2916,1534,-4450,3007,-826,-196,-2405,-907,-3123,0,0,0
2016-09-05,40601,40601,40038,40323,129322,5214651006,-0.1733,3439,599,-4047,-3551,-2126,-772,-885,0,3414,0,9,-127
2016-09-06,40532,40885,40109,40323,171300,6907329900,0.0,3976,5157,-9320,-3048,-4423,-9,-539,-6,-247,121,66,-1048
2016-09-07,40178,40391,39475,39618,198709,7872453162,-1.7484,12126,-1772,-10439,-4630,-2929,-403,-403,27,-1611,13,72,-490
2016-09-08,39755,40037,38767,39828,293927,11706524556,0.5301,4001,16262,-20263,-3934,-13169,-2871,207,0,-344,23,-23,-152
2016-09-09,39404,39686,38980,39337,120022,4721305414,-1.2328,3707,5444,-9241,-1391,-2804,-2785,-169,0,-2092,90,0,0
2016-09-12,39333,39895,39261,39406,107723,4244932538,0.1754,-2647,1016,1704,-211,64,-5,-1072,0,2928,-21,-52,0
2016-09-13,39403,39615,38345,38490,183645,7068496050,-2.3245,14923,-756,-14298,-2895,-1568,-19,-1286,-973,-7557,74,57,0
2016-09-19,37783,38417,37712,38207,256757,9809914699,-0.7353,2021,4238,-6311,-1522,-1193,-955,-37,500,-4129,49,3,1025
2016-09-20,37853,39898,37853,39477,414911,16379441547,3.324,-6283,-13883,15849,12496,1995,578,270,148,10,4370,-53,352
2016-09-21,39334,40391,39193,40393,184625,7457557625,2.3203,-7194,4134,3160,-66,945,37,3843,0,-1599,-100,0,0
2016-09-22,40460,40532,39826,40393,99551,4021163543,0.0,-1536,498,941,0,81,-28,-430,-294,1612,0,97,0
2016-09-23,40883,41234,40459,41238,128474,5298010812,2.0919,-10119,4161,6074,249,633,2043,1103,15,1031,0,-116,1000
2016-09-26,41166,41588,40812,41380,129968,5378075840,0.3443,-5971,365,5616,2711,-90,1312,244,0,939,-5,-5,500
2016-09-27,41659,41729,40671,41732,109212,4557635184,0.8507,-6376,1390,4991,4345,-944,-294,568,-506,1822,0,-5,0
2016-09-28,41731,41731,41168,41310,61052,2522058120,-1.0112,368,-22,-348,1058,-368,210,-1890,-13,355,0,2,300
2016-09-29,41309,41590,40392,40535,125694,5095006290,-1.8761,4065,3683,-7768,31,-2224,-4387,-2008,0,860,20,0,-40
2016-09-30,40813,40885,38487,39124,386668,15127998832,-3.4809,17976,7814,-25822,-5909,-7208,-5736,-9116,-2,1997,31,1,152
2016-10-04,38767,39967,38767,39828,164029,6532947012,1.7994,-4663,6257,-1594,-3054,3918,-1225,-457,0,-776,0,0,0
2016-10-05,39263,39826,39052,39265,160123,6287229595,-1.4136,2077,609,-2703,-662,25,486,-1554,-17,-981,17,0,0
2016-10-06,39051,39192,38063,38348,257276,9866020048,-2.3354,9237,5120,-14147,-5509,-4043,-1197,1138,103,-4640,-210,0,1
2016-10-07,38204,38345,37007,37080,338017,12533670360,-3.3066,13946,6072,-19562,-9615,-6016,-3218,1140,237,-2090,-461,5,0
2016-10-10,37853,37853,37008,37151,205445,7632487195,0.1915,6588,1910,-8534,-3953,-9767,-343,-242,108,5555,28,8,108
2016-10-11,37643,38206,36585,37010,239877,8877847770,-0.3795,5697,-647,-4581,-3647,-2198,-4888,-410,241,6321,-471,2,0
2016-10-12,36655,37500,36583,37080,189004,7008268320,0.1891,1269,5385,-6654,-6439,-2938,-43,-4057,498,6708,0,0,-383
2016-10-13,37075,37287,36299,36938,211707,7820033166,-0.383,11162,5741,-16901,-4459,-493,-182,211,-555,-11423,1,-3,0
2016-10-14,37077,37077,35385,35458,338871,12015687918,-4.0067,23010,7510,-30323,-13753,-2237,-266,-6089,-5169,-2358,-264,67,-451
2016-10-17,35667,36091,34963,36093,212040,7653159720,1.7909,2850,4652,-7514,-6747,2959,1120,-896,13,-3963,1,11,0
2016-10-18,36020,36935,36020,36515,197865,7225040475,1.1692,934,2897,-3999,-2770,-2529,-14,664,0,650,125,43,0
2016-10-19,36796,36936,36372,36586,144072,5271018192,0.1944,-1154,4988,-3834,1226,-4024,310,769,0,-2115,0,0,0
2016-10-20,36655,36866,35666,35952,141654,5092744608,-1.7329,5090,-6223,1123,-3221,582,-62,3110,-2,716,0,10,0
2016-10-21,36441,36441,35736,36304,75430,2738410720,0.9791,-1452,-423,1867,407,-674,-483,3346,0,-729,8,0,0
2016-10-24,36300,36512,36090,36515,90481,3303913715,0.5812,-1838,-603,2441,-545,-136,319,119,0,2684,0,0,0
2016-10-25,35808,36091,35526,35740,149777,5353029980,-2.1224,4568,-7517,2949,-640,-1057,-284,2818,-4,2116,0,0,0
2016-10-26,35737,36021,35315,35599,122005,4343255995,-0.3945,2097,-976,-956,-786,-540,110,304,0,-44,-175,10,0
2016-10-27,35737,35737,35315,35599,147744,5259538656,0.0,4954,-2868,-1998,-1640,-1187,280,69,1500,-1020,-88,0,0
2016-10-28,32708,34328,29463,30171,1802343,54378490653,-15.2476,109019,-54817,-50744,-40835,-13596,2578,-3052,4685,1846,-3458,0,-2370
2016-10-31,30098,30380,29323,29607,561878,16635521946,-1.8693,-837,25006,-24758,-9889,-17201,2555,-3490,1318,1949,272,317,0
2016-11-01,29182,30451,29182,30101,341409,10276752309,1.6685,-9867,18037,-7200,-6829,-1029,4951,-655,-1000,-2638,-980,10,0
2016-11-02,30308,30308,28687,29325,358661,10517733825,-2.578,1131,-2283,1902,-1936,2648,1314,-37,-1459,1352,-333,-417,20
2016-11-03,29042,30028,29042,29889,233212,6970473468,1.9233,-869,-323,2128,52,529,-267,-304,-450,2568,-630,-306,0
2016-11-04,30099,30451,29605,30171,167866,5064685086,0.9435,-3521,-853,4374,-1040,1094,244,3562,-340,733,0,0,121
2016-11-07,30592,30732,30028,30594,164271,5025706974,1.402,-5423,-2248,8129,3448,158,972,-60,0,3611,-458,0,0
2016-11-08,30804,30804,30169,30242,139440,4216944480,-1.1506,6849,-7552,698,453,-1956,707,78,250,1166,5,0,0
2016-11-09,30167,30449,28687,29536,292462,8638157632,-2.3345,-3889,6309,-2412,-2044,-2180,83,1489,0,240,52,-60,0
2016-11-10,30310,32636,30241,31581,626025,19770495525,6.9238,-22419,1861,20567,8440,4006,-837,6180,-4773,7073,-9,0,478
2016-11-11,31721,31792,30522,31018,254596,7897058728,-1.7827,6733,-17507,10774,4379,281,2127,501,200,3286,0,0,0
2016-11-14,30944,31367,30309,30594,169319,5180145486,-1.3669,6705,-3135,-3602,-7974,-123,1207,-263,1300,1951,32,0,300
2016-11-15,30591,30874,29887,30101,205648,6190210448,-1.6114,14084,-3829,-10305,-6760,550,-523,-5646,1000,1585,40,10,-511
2016-11-16,30240,30663,30027,30382,175545,5333408190,0.9335,444,6623,-7047,-4028,-186,1060,-54,0,-3839,-50,30,0
2016-11-17,30451,30520,30028,30030,87813,2637024390,-1.1586,6043,-3171,-2873,-682,503,682,265,0,-3641,1,0,0
2016-11-18,30028,30240,29323,29607,204096,6042670272,-1.4086,11415,18,-11347,-2095,-2283,-4307,-1460,1509,-2927,-91,5,216
2016-11-21,29605,29605,28124,28409,482334,13702626606,-4.0463,11534,-14991,3423,-689,1149,-1661,131,3798,866,17,17,-171
2016-11-22,28476,28831,27913,27986,277100,7754920600,-1.489,8881,-13364,4434,2321,-313,-872,1963,250,990,26,23,95
2016-11-23,27983,28053,26925,27562,356640,9829711680,-1.515,15962,-4279,-11711,-5705,-3575,-798,3161,1044,-5883,18,10,45
2016-11-24,27279,27842,27207,27351,178868,4892218668,-0.7655,-306,34,282,1136,-1032,89,-1178,116,1151,-10,0,0
2016-11-25,27348,28123,27348,27562,205491,5663742942,0.7715,916,-9303,8387,4990,-544,-732,-329,0,5002,0,0,0
