date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,210000,210500,207000,209000,16703,3490927000,-0.2387,-590,4974,-3908,-4032,203,283,147,0,-509,-460,-16,0
2016-05-27,210500,210500,206500,210500,17686,3722903000,0.7177,-682,5690,-3979,-2492,-184,-35,-199,0,-1069,-1012,-17,0
2016-05-30,210500,211500,208500,210000,24785,5204850000,-0.2375,673,9400,-9067,-6085,-1795,-472,-246,0,-469,-1006,0,0
2016-05-31,208500,218500,208500,214000,107832,23076048000,1.9048,-10981,21067,-8059,-4485,-1384,1530,-861,-30,-2829,-2027,0,0
2016-06-01,212500,214000,209000,210500,27968,5887264000,-1.6355,3581,-162,-1429,1077,1949,-295,-109,-124,-3927,-2016,26,0
2016-06-02,209500,211000,207000,207000,30713,6357591000,-1.6627,6508,3986,-8433,1154,-1808,-1731,-4050,500,-2498,-1917,-144,0
2016-06-03,207000,216500,207000,215000,42227,9078805000,3.8647,-11930,7483,6853,-3903,1876,4197,2911,-1385,3157,-2406,0,0
2016-06-07,215000,222500,215000,220000,30331,6672820000,2.3256,-6114,11286,-3141,-1305,-2070,-148,-3985,-33,4794,-2000,-31,-394
2016-06-08,217000,227000,213500,224500,57539,12917505500,2.0455,-1081,17332,-13258,-3688,-14225,886,-4660,-416,8845,-2443,-550,0
2016-06-09,225500,225500,219000,219000,47386,10377534000,-2.4499,1626,10812,-10389,594,-12224,-451,-6278,302,7668,-2049,0,0
2016-06-10,222000,234000,220000,228500,75643,17284425500,4.3379,-8797,9050,1502,159,-4881,-914,-1005,-39,8210,-1755,0,-28
2016-06-13,232500,232500,224000,226000,40516,9156616000,-1.0941,-2227,9935,-5280,1813,-4220,-979,-2500,-59,665,-2423,-5,0
2016-06-14,224000,226500,222000,223500,32226,7202511000,-1.1062,2467,8824,-9144,-2686,-2663,-71,-2265,-427,-1032,-2152,5,0
2016-06-15,220500,222500,216500,219500,46930,10301135000,-1.7897,5831,3389,-9103,1022,-3366,252,-4219,0,-2792,-129,12,0
2016-06-16,218500,220000,215000,217000,30108,6533436000,-1.139,1961,4823,-5498,-2013,-1176,85,534,-302,-2626,-1286,0,0
2016-06-17,218000,222500,216000,221000,23996,5303116000,1.8433,-3190,-6053,11393,6308,4828,-37,84,-931,1141,-2150,0,0
2016-06-20,225000,225500,219000,222500,18345,4081762500,0.6787,1607,654,-55,-708,245,131,-256,0,533,-2191,-15,0
2016-06-21,219000,221000,217000,218000,22474,4899332000,-2.0225,-279,3858,-2540,-3574,-246,120,-563,0,2438,-1039,0,-715
2016-06-22,217000,218000,214000,218000,20374,4441532000,0.0,331,8562,-7873,-2662,-4720,-163,-2644,315,2001,-1020,0,0
2016-06-23,215500,218000,214500,217500,15190,3303825000,-0.2294,-29,2171,820,2749,-1991,639,-1351,105,669,-2966,4,0
2016-06-24,215000,216500,205000,210000,44498,9344580000,-3.4483,678,5491,-2956,-87,-4626,-781,596,607,1298,-3229,16,37
2016-06-27,204000,213500,204000,213000,26288,5599344000,1.4286,-2420,-5148,8839,-1764,4751,238,2194,2,3299,-1276,5,119
2016-06-28,210000,214000,206500,211000,21331,4500841000,-0.939,524,455,-310,1380,-337,1376,917,0,-3294,-669,0,-352
2016-06-29,210000,214500,209000,211500,23954,5066271000,0.237,993,-5013,1902,3979,-33,434,-199,250,-2529,2118,0,0
2016-06-30,212500,217500,211500,217000,28051,6087067000,2.6005,-385,3417,-1387,94,1658,390,275,114,-3918,-1652,7,0
2016-07-01,215000,220000,215000,218000,22075,4812350000,0.4608,-1009,3617,-1034,-1776,-1210,-618,962,345,1263,-1587,13,0
2016-07-04,216000,216000,214000,215000,14047,3020105000,-1.3761,1779,976,-1755,-2803,1513,-1052,1428,200,-1041,-1000,0,0
2016-07-05,214000,217500,211500,216500,19102,4135583000,0.6977,54,2789,-767,-4054,4617,-1985,743,0,-15,-2076,0,-73
2016-07-06,218000,218000,207500,209000,53776,11239184000,-3.4642,9684,-17406,6630,-547,4673,-4532,1990,0,5046,991,101,0
2016-07-07,208500,215500,208500,213500,19896,4247796000,2.1531,-5022,1696,4526,-1979,426,174,5162,0,743,-1100,-100,0
2016-07-08,211500,219500,211500,219000,35341,7739679000,2.5761,-9602,9648,2120,-1926,7134,-3063,-358,0,333,-2066,-100,0
2016-07-11,221000,229500,220000,228500,39983,9136115500,4.3379,-11336,5701,7539,-473,2031,1068,-1619,-30,6715,-3296,1392,-153
