date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,73574,74756,73259,73968,91194,6745437792,1.6225,-8626,2507,6109,2652,524,2617,496,0,-180,0,10,0
2016-05-27,74834,75543,74047,75229,50511,3799892019,1.7048,-5959,6472,-530,1591,-2404,218,3718,286,-3939,0,17,0
2016-05-30,75228,75228,73023,74441,74641,5556350681,-1.0475,-5702,-12214,18028,11149,-874,3931,-1128,0,4950,-100,-12,0
2016-05-31,74441,78616,74283,76410,784640,59954342400,2.645,25393,-96159,71609,8496,15482,14730,12557,2000,18319,-864,21,25
2016-06-01,76410,76804,73338,75071,182865,13727858415,-1.7524,-3791,-45000,48967,17750,8979,2057,4263,5239,10679,-177,1,0
2016-06-02,75071,75780,73574,74047,82864,6135830608,-1.364,-4428,12715,-8365,-7137,2661,-6808,4322,0,-1403,88,-10,0
2016-06-03,74362,76646,74047,76253,74945,5714781085,2.9792,-9583,-4847,14920,8655,5754,-2948,1678,-37,1818,-382,-108,0
2016-06-07,75465,76252,73732,75386,105491,7952544526,-1.137,3076,-15562,12309,20732,2495,-10000,153,0,-1071,240,-63,0
2016-06-08,75386,76883,74913,75701,56243,4257651343,0.4178,-3006,3373,-659,-2665,1354,-232,-33,-936,1853,292,0,0
2016-06-09,75937,79561,75780,77356,134327,10390999412,2.1862,-23533,14908,8556,-14081,4699,19353,-48,0,-1367,94,-25,0
2016-06-10,77434,78379,76410,76410,58668,4482821880,-1.2229,3953,3196,-7180,125,-17972,2134,765,0,7768,82,-51,0
2016-06-13,76331,76331,73810,73811,57287,4228410757,-3.4014,5343,13662,-19135,-3092,-13760,-3536,846,0,407,-12,142,0
2016-06-14,74204,76016,73968,75465,69627,5254401555,2.2409,-19522,-8068,27694,20599,6639,853,-1479,0,1082,12,-116,0
2016-06-15,74677,75780,73732,75308,57581,4336309948,-0.208,-1487,-5752,7246,16717,-7672,492,-3208,0,917,6,-13,0
2016-06-16,74992,75228,73338,73496,53353,3921232088,-2.4061,11186,-15997,4777,6781,1650,1891,3763,0,-8883,0,34,-425
2016-06-17,74125,74677,73574,73575,42946,3159751950,0.1075,-3300,-6679,9978,1990,-1888,1013,7990,0,873,1,0,0
2016-06-20,74519,74992,73889,74599,22156,1652815444,1.3918,-1614,3773,-2124,104,-3705,907,724,0,-154,0,-35,0
2016-06-21,74204,74677,73416,73968,24019,1776637392,-0.8459,5415,-4158,-942,0,-1297,-295,207,1000,-557,-321,6,0
2016-06-22,73968,74834,73180,73811,37153,2742300083,-0.2123,992,9364,-10301,-6619,15,-5146,360,0,1089,14,-69,0
2016-06-23,73495,73889,71526,72078,67763,4884221514,-2.3479,24077,1209,-25246,-7625,-4822,-11105,-2457,0,763,6,-46,0
2016-06-24,73023,74834,69241,70817,145175,10280857975,-1.7495,-15060,30185,-15242,3029,-479,-16480,-298,0,-1014,106,11,0
2016-06-27,69320,71211,69320,70817,41244,2920776348,0.0,-7583,-6770,14464,10151,3511,109,334,0,359,26,-137,0
2016-06-28,69872,71762,69872,71290,40665,2899007850,0.6679,5142,2720,-8605,1747,-10310,-2503,1478,0,793,742,1,190
2016-06-29,71762,74125,71526,72708,68120,4952868960,1.9891,-10220,-2598,12843,6203,-6188,829,512,0,10730,0,-25,757
2016-06-30,73023,73889,71211,73417,65199,4786714983,0.9751,-6252,-12936,15801,10488,11172,-7003,10755,0,-9611,3387,0,0
2016-07-01,73732,74598,73259,74362,35626,2649220612,1.2872,-18020,10506,7521,886,1100,2214,-217,0,3538,0,-7,0
2016-07-04,74047,75150,73968,74756,40618,3036439208,0.5298,-2731,-9370,11372,4014,10704,-4554,182,0,336,727,2,690
2016-07-05,74756,75386,73732,74126,23854,1768201604,-0.8427,-351,-4955,4877,5346,-383,-67,-830,1441,-630,489,-60,0
2016-07-06,74441,75071,72077,73023,53985,3942146655,-1.488,9141,7789,-17481,3910,-5819,-9384,-1862,0,-4326,551,0,0
2016-07-07,73968,74913,73495,74126,39993,2964521118,1.5105,-4577,3958,-3869,6943,-7982,0,1067,383,-4280,4488,0,0
2016-07-08,73495,75071,73495,73968,31207,2308319376,-0.2132,-7130,-1607,9070,6279,809,117,500,67,1298,-333,0,0
2016-07-11,74834,77985,74677,77198,80428,6208880744,4.3668,-30390,9839,20553,8518,2919,2720,5360,0,-1113,0,-2,2149
2016-07-12,77276,78773,76804,78537,84582,6642816534,1.7345,-16092,-13754,29887,30401,-1478,520,-122,-137,-207,-41,0,910
2016-07-13,79167,79561,77749,78774,68318,5381682132,0.3018,-21017,2389,19809,20667,1143,32,232,0,-2265,-1181,0,0
2016-07-14,78773,78773,77355,77828,28144,2190391232,-1.2009,-1951,736,1215,7133,-6425,1096,-518,0,-71,0,0,0
2016-07-15,78143,81924,77907,81137,90453,7339085061,4.2517,-21393,17608,4927,20141,-13182,-342,-2866,954,-251,-1159,17,473
2016-07-18,81136,83500,80742,82712,90113,7453426456,1.9412,-13553,3337,10306,24864,-11320,-3315,1724,0,-1666,-91,1,19
2016-07-19,82712,83893,80742,81925,75223,6162644275,-0.9515,-16842,8952,6812,14288,-6089,-2282,2330,0,-1435,1058,20,0
2016-07-20,81924,84681,81530,83894,51263,4300658122,2.4034,-21835,-1725,23913,20194,2778,0,1392,0,-451,-338,-15,0
2016-07-21,83893,85075,83106,83500,39533,3301005500,-0.4696,-11357,-7278,17601,11627,3239,-596,1252,0,2079,157,877,0
2016-07-22,82712,83893,82318,82712,35002,2895085424,-0.9437,-8832,6783,2087,4241,-2987,-901,560,0,1174,-23,-15,0
2016-07-25,83500,84681,83106,83500,50658,4229943000,0.9527,-13958,5870,8123,-7103,3145,308,12792,-1172,153,1,-36,0
2016-07-26,84287,90195,83499,89014,190037,16915953518,6.6036,-24252,32480,-12323,-17590,-6654,116,9284,0,2521,4112,-17,0
2016-07-27,88226,89801,87044,89408,63269,5656754752,0.4426,-12148,3378,7585,9471,-4756,4108,2302,-1828,-1712,1185,0,0
2016-07-28,89801,91377,88620,89408,71105,6357355840,0.0,-26510,10793,16452,8894,-9494,29,19253,0,-2230,-735,0,0
2016-07-29,89408,90195,87832,88620,35683,3162227460,-0.8814,-311,11951,-11957,2366,-4109,-2,-9548,0,-664,317,0,0
2016-08-01,89014,89801,87832,88620,31108,2756790960,0.0,-3914,4257,359,-568,-308,110,880,0,245,-703,1,0
2016-08-02,87832,88620,85863,86257,50187,4328980059,-2.6664,-839,13124,-12432,-741,484,-7561,-2087,0,-1275,-3,150,-1252
2016-08-03,85469,86257,84287,84288,77266,6512596608,-2.2827,9583,30814,-39933,-24863,-13987,-473,-1935,0,1325,-464,0,0
2016-08-04,85075,85469,82318,84288,72085,6075900480,0.0,11025,7482,-16775,-12027,-3929,-1982,4065,0,-2902,-1582,-150,0
2016-08-05,83893,90195,83893,89014,129277,11507462878,5.607,-39725,15332,22573,21348,-11357,-699,13279,0,2,1876,-56,0
2016-08-08,90195,90983,86650,87045,61620,5363712900,-2.212,11050,-4712,-5565,9256,-7006,-3777,-1546,0,-2492,-773,0,0
