date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,69939,71295,69397,70663,147426,10417563438,1.5594,-30708,-15820,46533,43832,1003,6082,2453,1620,-8457,0,-5,0
2016-05-27,70481,73012,70210,72289,176578,12764647042,2.3011,-33621,-40919,69947,23782,19034,20698,6047,470,-84,4627,-34,0
2016-05-30,72289,74367,72289,73825,199491,14727423075,2.1248,-42496,-78047,115383,42321,12248,18569,30116,2130,7372,133,5027,2627
2016-05-31,73644,73644,72740,73464,203416,14943753024,-0.489,8269,-46955,38536,9371,10197,7093,7132,0,4743,150,0,0
2016-06-01,73192,74096,72921,73102,97704,7142357808,-0.4928,849,5097,-5975,-8476,6945,4752,1856,-204,-10848,-23,52,0
2016-06-02,73102,73554,71204,72831,142033,10344405423,-0.3707,597,-15856,14074,11539,5039,-1836,2762,-423,-3007,1039,146,0
2016-06-03,72650,73283,71656,71837,88238,6338753206,-1.3648,14103,-11567,-2224,505,-10279,-1921,1520,-16,10467,-365,53,-2500
2016-06-07,72289,75451,71927,75181,192353,14461290893,4.655,-90203,42200,48333,-5470,29947,15129,1737,0,6586,-230,-100,404
2016-06-08,75180,75903,74548,75904,186936,14189190144,0.9617,-50831,27052,24119,20221,3101,1061,-1895,-53,1545,-113,-227,139
2016-06-09,75451,77168,75000,76084,245270,18661122680,0.2371,-55168,2705,52574,42198,-10696,13728,-8720,0,14234,-111,0,1830
2016-06-10,76174,76807,75451,75723,88410,6694670430,-0.4745,-739,-163,-3774,-1333,-13695,-2921,-3591,-1400,19166,4676,0,0
2016-06-13,75271,75451,73192,73464,67841,4983871224,-2.9832,14888,-17338,2411,4643,-1418,-206,-153,0,-1380,38,1,925
2016-06-14,73192,75000,73102,73825,75822,5597559150,0.4914,-9863,13018,-3091,-1674,78,-512,1596,476,-3791,-14,-50,736
2016-06-15,73644,73734,70933,71114,167794,11932502516,-3.6722,98485,-34895,-63647,-15241,-16610,4337,-18384,0,-17749,20,37,0
2016-06-16,70933,72469,70933,71657,112562,8065855234,0.7636,-27886,32139,-4166,21242,-1591,836,-2331,-9056,-13266,-13,-74,0
2016-06-17,72018,72650,70301,70482,113568,8004499776,-1.6398,35082,-21581,-14015,-5378,-6632,379,-1989,1050,-1445,558,-44,0
2016-06-20,71295,73554,71114,73102,110175,8054012850,3.7173,-37136,21641,15151,-7003,11886,9294,2286,-1471,-1408,345,-1,1567
2016-06-21,72560,72921,72198,72289,43735,3161559415,-1.1121,3661,7649,-308,0,559,-374,2017,0,-2510,-11002,0,0
2016-06-22,72379,74548,72379,73825,108101,7980556325,2.1248,-24386,19965,27650,-10024,2235,16243,559,730,17907,-23200,-29,0
2016-06-23,73644,73915,71837,73554,137013,10077854202,-0.3671,21873,11169,-22145,-28869,-759,2362,8889,-55,5104,-10946,49,-8817
