date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,22800,23400,22700,23350,147998,3455753300,2.6374,-31528,25191,50570,12460,11924,20833,-925,813,5465,-44267,34,0
2016-05-27,23150,23850,23000,23700,101898,2414982600,1.4989,-56051,3573,52416,0,38662,744,630,402,11978,-183,245,0
2016-05-30,23500,23800,23150,23300,82111,1913186300,-1.6878,10321,4110,-14144,1182,-9756,645,-894,-61,-2335,-8,-279,-2925
2016-05-31,23450,23750,23200,23350,75743,1768599050,0.2146,-3777,-3636,7413,422,2121,212,-591,242,5007,0,0,0
2016-06-01,23250,23700,23100,23350,98476,2299414600,0.0,-21775,37870,-16277,6034,1420,-1307,-5588,135,-16971,178,4,0
2016-06-02,23300,23400,22850,22850,71646,1637111100,-2.1413,6487,7623,-9267,3460,-1088,-1554,1420,0,-11505,-136,-4707,0
2016-06-03,22850,23550,22600,23300,68670,1600011000,1.9694,-3068,-5699,9208,875,1083,711,862,291,5386,-441,0,0
2016-06-07,23300,24150,23200,23750,166929,3964563750,1.9313,-75745,39912,37402,8076,21984,18223,-11854,0,973,-1302,-267,0
2016-06-08,23800,24200,23400,23750,114617,2722153750,0.0,-10197,10963,-772,-5624,-1679,15593,-3420,0,4930,74,-68,-10572
2016-06-09,23650,23950,23100,23100,156057,3604916700,-2.7368,20030,37773,-57460,-21341,-45783,3165,-10386,0,19720,857,-1200,-2835
2016-06-10,23150,24200,23150,24150,126567,3056593050,4.5455,-56766,19013,38756,-6547,15833,17612,-2061,275,13644,335,-1338,0
2016-06-13,24150,24500,23650,24000,74941,1798584000,-0.6211,2541,6916,-9340,-483,6966,-11395,-4371,0,-57,-117,0,0
2016-06-14,23800,23800,23200,23650,133966,3168295900,-1.4583,15754,14369,-30121,-4204,-13966,3229,-2987,267,-12460,1,-3,0
2016-06-15,23350,24200,23100,23250,112630,2618647500,-1.6913,-4165,8933,-4646,-6013,-4312,-88,-1817,0,-8656,-122,0,16240
2016-06-16,23350,23750,22900,23050,63386,1461047300,-0.8602,3274,10990,-15265,-12658,1918,7475,-1456,0,-10544,1001,0,0
2016-06-17,23350,23350,22000,23000,186970,4300310000,-0.2169,22589,8293,-30735,-43406,19626,17435,-25724,418,1534,-152,5,-618
2016-06-20,23300,23450,22550,23000,76304,1754992000,0.0,-4055,17764,-13705,-8780,-1115,10356,-12579,0,-1587,1,-5,0
2016-06-21,22850,22950,22250,22700,110142,2500223400,-1.3043,16947,21298,-38421,-12392,-6965,46,-18490,0,-1132,186,-10,512
2016-06-22,22550,23150,22550,22850,87275,1994233750,0.6608,20230,33607,-54011,-28219,-22783,3449,-10334,0,3876,174,0,0
2016-06-23,22650,22950,22350,22900,59841,1370358900,0.2188,-7583,9056,-1470,9333,-4564,-927,-9064,0,3752,-3,0,0
2016-06-24,22700,23000,21550,21750,111190,2418382500,-5.0218,-4864,31069,-26335,2386,-4603,-9870,-627,0,-5481,130,0,-8140
2016-06-27,22000,22550,21350,21950,117434,2577676300,0.9195,356,14340,-14644,729,-6543,-6464,-5653,0,3287,-52,0,0
2016-06-28,21500,21850,21250,21450,141744,3040408800,-2.2779,14583,8100,-22810,-7154,-3752,-2874,431,-1930,-7531,127,0,0
2016-06-29,21400,22450,21400,22100,131297,2901663700,3.0303,-17559,83861,-66115,-6114,-10542,-922,-15093,-1620,-31824,-133,-54,0
2016-06-30,22200,22450,22000,22250,44289,985430250,0.6787,-512,14313,-13602,2108,-7482,-1772,-3049,0,-3407,-199,0,0
2016-07-01,22400,22500,22000,22150,48933,1083865950,-0.4494,3498,16367,-20608,-6254,-6937,-934,-920,0,-3332,743,0,-2231
2016-07-04,22150,22350,22000,22250,75876,1688241000,0.4515,-4843,11562,-6955,-9110,-969,-1049,25790,0,-19064,236,0,-2553
2016-07-05,22350,22500,21300,21400,157385,3368039000,-3.8202,79820,19261,-96376,-67657,-2120,-18176,-4751,0,-3672,-2560,-145,0
2016-07-06,21550,21750,21050,21400,141343,3024740200,0.0,-18535,65414,-46086,-855,-33964,-3498,-9868,0,2099,-541,-252,0
2016-07-07,21700,21750,21100,21250,119444,2538185000,-0.7009,7653,69774,-77440,-26082,-33972,-5406,-5876,0,-6104,0,13,0
2016-07-08,21250,21450,20900,21050,65934,1387910700,-0.9412,5867,31841,-37605,-18142,-6739,624,-1024,0,-9654,-103,0,-2670
2016-07-11,21350,21700,21200,21300,82231,1751520300,1.1876,-10660,27835,-17981,-16461,-10650,7669,-7576,0,10931,801,5,-1894
2016-07-12,21350,21850,21250,21650,115174,2493517100,1.6432,-12254,50244,-37990,-9644,-36804,-1851,-2666,0,18416,0,0,-5441
