date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,46850,46850,46000,46400,714761,33164910400,-0.4292,41933,23255,-70820,-59565,-46995,16314,17337,-2,2091,5608,24,0
2016-05-27,46350,46400,45800,46350,721369,33435453150,-0.1078,87563,65045,-155201,-68345,-36217,7459,-12772,-1500,-29826,2474,119,-14000
2016-05-30,46150,46300,45500,45750,734832,33618564000,-1.2945,228279,-56497,-168896,-73615,-62856,-2330,-70037,-1,39955,39,-2925,-12
2016-05-31,45700,46650,45600,46650,1351171,63032127150,1.9672,-171391,252972,-69539,-48841,-19335,56469,17539,2165,-89230,-11270,-772,11694
2016-06-01,46150,46800,46100,46500,627538,29180517000,-0.3215,-17389,94811,-83356,27972,-14876,4774,25999,-2,-127223,5253,681,0
2016-06-02,46500,46750,45650,46050,937490,43171414500,-0.9677,216107,125312,-345058,-59778,-108466,-52562,-51190,-533,-72529,2287,1352,0
2016-06-03,45500,46250,45500,46050,544198,25060317900,0.0,-47728,-106099,152713,-2331,25761,15041,4150,0,112054,1736,-622,-1962
2016-06-07,46150,46300,45800,46150,773937,35717192550,0.2172,65015,56965,-100536,-39634,-39985,-112417,4990,-2,86767,-20892,-552,-255
2016-06-08,46350,46800,46150,46500,938382,43634763000,0.7584,-89442,368074,-261829,-122285,-210042,-642,-23044,2567,93574,-15528,-1275,-1957
2016-06-09,46600,46750,45900,46200,1142091,52764604200,-0.6452,99738,273416,-375224,-124288,-210052,-105099,-62111,2744,134806,1475,595,-11224
2016-06-10,46000,46500,45950,46300,560937,25971383100,0.2165,-37376,124740,-86975,-34020,-161261,-20518,-27588,4213,152199,134,-523,0
2016-06-13,46100,46300,45000,45200,1061260,47968952000,-2.3758,437154,84324,-506445,-137074,-140699,-178747,-108456,0,59872,-5854,-9179,-1341
2016-06-14,45350,45450,44600,44750,993394,44454381500,-0.9956,360495,-43678,-314288,-11466,-145698,-13886,-110248,-1250,-31740,-2956,427,0
2016-06-15,44800,45150,44400,44700,745834,33338779800,-0.1117,199884,138598,-340654,-102281,-65267,-17252,-64945,670,-96579,2045,127,5000
2016-06-16,44850,44900,44100,44250,688914,30484444500,-1.0067,67995,170001,-233576,-27645,-51694,-1278,-38089,-3725,-116145,-4552,132,5000
2016-06-17,44700,45350,44600,44850,758511,34019218350,1.3559,-82354,166721,-86780,-6021,-21606,-4484,-16828,6201,-44042,2975,-562,0
2016-06-20,45300,45450,44750,44950,922358,41459992100,0.223,92181,-92950,-1235,-32886,1033,44366,7482,0,-22880,1968,36,1650
2016-06-21,45000,45050,44100,44300,763514,33823670200,-1.4461,264971,-81841,-183672,-181906,-75473,24581,-10328,3330,57337,524,18,-1213
2016-06-22,44250,45200,44250,44700,849160,37957452000,0.9029,-60796,91318,-31003,21673,-38994,-1482,1662,0,-13862,660,-179,0
2016-06-23,44750,45150,44600,45050,506962,22838638100,0.783,-132406,100214,32051,50234,-22973,-541,-3394,2440,6308,491,-350,-23
2016-06-24,45350,45500,43100,43850,1287451,56454726350,-2.6637,98165,-132770,4388,-8114,1567,10862,12700,-1951,-8275,30089,128,-2401
2016-06-27,43850,44700,43350,44150,1284410,56706701500,0.6842,93038,-375313,246616,118156,62241,-7560,28410,-12100,54476,36194,-535,2993
2016-06-28,43650,44350,43600,43900,884143,38813877700,-0.5663,125253,-229803,101753,28927,1374,-8311,-420,-2091,84312,3056,-259,-2038
2016-06-29,44150,44250,43650,43800,999000,43756200000,-0.2278,474029,-275773,-202028,-65976,-29985,-33800,-22468,-11627,-38172,1265,2507,0
2016-06-30,44000,44200,42700,43200,1747483,75491265600,-1.3699,658267,-329779,-342018,-94822,-37076,-20881,-105372,-4,-81303,11384,2146,-2560
2016-07-01,43400,43450,43000,43050,959503,41306604150,-0.3472,382268,-113936,-267415,-95568,-85659,8149,-70826,0,-23436,-1802,885,-75
2016-07-04,43350,43450,42900,42950,935735,40189818250,-0.2323,376254,-281076,-114492,-61434,-7439,3750,-37966,0,-11403,8673,10641,0
2016-07-05,43000,43200,42550,42650,893053,38088710450,-0.6985,270144,-255312,-55290,14299,-32746,-16727,-45464,0,24498,39150,1308,850
2016-07-06,42500,42600,41250,41400,2035674,84276903600,-2.9308,777071,-820745,50265,-3232,-126856,-45177,-33460,0,254229,-9643,3052,4761
2016-07-07,41650,42150,41500,41550,1035909,43042018950,0.3623,197223,-55825,-145835,-87301,-11557,-5491,-17023,-81708,53995,2231,2206,3250
2016-07-08,41400,41700,40800,40900,1371190,56081671000,-1.5644,473470,-228088,-255697,-84052,-17705,-5191,-11652,-83000,-52097,8537,1778,-2000
2016-07-11,41150,41500,40950,41300,841161,34739949300,0.978,37889,-38939,5131,-42383,-32174,7587,-7000,-1,84333,-4200,119,-5231
2016-07-12,41500,41650,41300,41600,796005,33113808000,0.7264,76755,-82428,-6730,-17403,-10052,4812,6852,-247,4503,284,12119,4805
2016-07-13,41700,42300,41700,41850,989250,41400112500,0.601,203393,-81038,-127304,-5724,-36602,-6597,-21028,-1,-54329,3544,1405,-3023
2016-07-14,41750,41750,41050,41300,959827,39640855100,-1.3142,158809,-102085,-55715,-25350,7522,-8083,-19536,-40,-2228,-925,-84,-8000
2016-07-15,41400,42000,41400,41900,1085806,45495271400,1.4528,25447,188515,-214427,-27251,-115723,47618,-25503,-2008,-88174,0,465,-3386
2016-07-18,42150,42200,41100,41350,1089528,45051982800,-1.3126,495252,-114324,-364750,-185069,-125059,-25950,-63266,-4,37087,-15239,-939,-2489
2016-07-19,41400,41750,40850,41700,753339,31414236300,0.8464,33627,35739,-78993,15345,-24780,14231,-3306,1362,-81845,7059,2568,0
2016-07-20,41400,41850,41200,41700,561154,23400121800,0.0,-45398,-8157,53637,49018,8709,4367,6883,-2,-15338,192,-274,0
2016-07-21,41900,41900,41350,41650,696069,28991273850,-0.1199,92431,-90298,-3071,23418,-110463,2611,-16450,-2,97815,343,595,0
2016-07-22,41550,41900,41400,41650,549272,22877178800,0.0,-84669,54142,32203,-2869,-13570,11112,6301,-4,31233,356,-2032,0
2016-07-25,42000,43150,41950,43100,1748417,75356772700,3.4814,-396298,389934,-2596,34708,-36017,103143,32703,1772,-139895,10018,-1058,990
2016-07-26,43050,43350,42700,43050,967871,41666846550,-0.116,-9890,-41804,60656,9691,-24845,32137,-23597,-2,72595,-7131,-1831,-5323
2016-07-27,43150,43250,42650,43150,1125044,48545648600,0.2323,107946,-222341,74479,47385,159,-1586,34137,-2,-5614,40098,-182,0
2016-07-28,43300,43750,42450,42500,1084585,46094862500,-1.5064,215820,-113561,-104469,-73445,-15478,-20135,-31309,0,44827,-124,2334,-8929
2016-07-29,42500,42750,42150,42150,982172,41398549800,-0.8235,140013,-48665,-77530,-32876,-52708,-52916,112393,-27,-51396,-13650,-168,0
2016-08-01,42450,42750,42150,42250,756452,31960097000,0.2372,90956,-9939,-74938,-26220,-33281,-16968,25738,358,-25565,-6404,325,1000
