date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-25,27450,27450,26950,27050,2250906,60887007300,0.7449,-232219,46007,187311,4351,48387,48492,13193,-1000,73888,1607,-2706,0
2016-05-26,27150,27200,26850,27000,1938084,52328268000,-0.1848,-358370,-54369,366108,75579,24696,91447,36201,-1124,139109,46458,173,200
2016-05-27,27200,28750,27150,28650,7719656,221168144400,6.1111,-3819112,2559564,1277260,322836,445631,273879,174294,13017,11192,-30407,12695,36411
2016-05-30,28850,29400,28650,29000,5492886,159293694000,1.2216,-2213046,2065984,138877,79823,121074,-19812,43425,-2767,-80049,-5779,13964,-2817
2016-05-31,28650,29000,28200,28700,5414611,155399335700,-1.0345,67895,16089,-87644,93406,90657,-318212,57751,3080,-14326,3839,-179,0
2016-06-01,28850,29000,28400,28500,3630711,103475263500,-0.6969,315037,-270292,-41747,188948,101615,-314480,156885,-4790,-169253,-5293,2295,-672
2016-06-02,28600,29050,28000,28050,3443745,96597047250,-1.5789,69826,82249,-172406,108265,-58141,-99772,21865,0,-144623,13278,7053,0
2016-06-03,28150,28450,27400,27600,3680988,101595268800,-1.6043,130338,-342757,216271,-2901,-27093,-46551,-25266,0,315890,-5246,1394,2192
2016-06-07,27700,28750,27650,28650,4435065,127064612250,3.8043,-724016,443342,353066,103549,91746,5113,36751,0,106792,-71682,-710,9115
2016-06-08,29050,29300,28450,28550,3940058,112488655900,-0.349,-372396,193769,177299,-25098,-64106,-16368,2342,6912,273617,2825,-1497,0
2016-06-09,28700,29400,28650,29000,5336122,154747538000,1.5762,-1221829,629301,529251,165605,-123289,-27609,148290,26616,276244,57443,5834,63394
2016-06-10,29150,29200,28700,29000,2413698,69997242000,0.0,-140951,-701637,836033,181355,73063,142402,41412,0,395801,6533,22,2000
2016-06-13,28650,28700,28000,28350,2607031,73909328850,-2.2414,-288087,-304796,586650,84666,315827,107536,93901,503,-14450,-216,6449,-1333
2016-06-14,28150,29300,28150,29050,3490535,101400041750,2.4691,-848030,-738077,1591033,395618,636851,202593,280074,2738,73159,2240,-7166,0
2016-06-15,29350,30150,29300,29950,5751526,172258203700,3.0981,-2070980,857422,1192589,515084,343071,169381,169930,9863,-23171,23312,-2343,8431
2016-06-16,30250,30400,29350,29650,3687253,109327051450,-1.0017,-518408,293954,139893,303885,152444,17309,14380,2671,-355628,82980,1581,4832
2016-06-17,30000,30000,28750,29000,2891783,83861707000,-2.1922,-3358,-316582,325046,261707,149567,-109288,4108,-6414,25366,1012,-6118,0
2016-06-20,29800,30050,29050,30050,4501015,135255500750,3.6207,-512395,881548,-323451,388596,-621781,-145526,22043,-45320,77867,-50939,5237,670
2016-06-21,30050,30150,29550,29800,2376833,70829623400,-0.8319,-34105,-280041,311733,310673,15685,7372,58454,-114,-83816,9779,-7366,3479
2016-06-22,30200,30950,30000,30950,5122638,158545646100,3.8591,-2088433,1513692,591383,97901,206741,134616,-48747,13728,184636,-10332,-6310,2508
2016-06-23,30900,31800,30850,31750,7147499,226933093250,2.5848,-2901096,2607703,298443,242679,15251,189125,-88567,14868,-85038,-8099,3049,10125
2016-06-24,32800,33100,30450,31800,16852175,535899165000,0.1575,-3173727,755436,2492418,567341,789787,485120,185196,4127,424843,-87521,13394,36004
2016-06-27,31350,32050,31050,32050,6146337,196990100850,0.7862,-395533,-516425,905496,-34639,519516,182211,-10518,-44121,286812,11107,-4645,6235
2016-06-28,31150,31600,30650,31150,5072467,158007347050,-2.8081,666247,-1096608,416903,-52435,425323,-183691,64725,128480,30541,7841,5617,3960
2016-06-29,31800,32200,31700,31800,3801424,120885283200,2.0867,-501464,699658,-191059,195818,-163546,-45885,59476,-29187,-204705,-3146,-3989,-3030
2016-06-30,32000,32550,31700,32400,4558372,147691252800,1.8868,-1466497,838502,619581,562444,25658,48983,2005,50584,-124656,18535,-10121,54563
2016-07-01,31800,32700,31600,32150,5289586,170060189900,-0.7716,-172061,371470,-214854,-140447,-76054,42260,-49133,31113,-16244,19678,-4233,-6349
2016-07-04,32250,32900,32050,32750,3192033,104539080750,1.8663,-827181,1341020,-472909,-44614,-178237,-40215,-113484,10000,-106359,-6429,-34501,0
2016-07-05,32650,32650,31850,31850,2577231,82084807350,-2.7481,402555,193292,-660935,-243914,-136785,-121788,-89864,-4312,-58648,66205,-1117,-5624
2016-07-06,31100,31350,30300,30600,6314347,193219018200,-3.9246,1722731,-251504,-1450918,-152754,-752135,-408380,-146184,9325,-4069,-3236,-17073,3279
2016-07-07,30750,31350,30600,30650,2715183,83220358950,0.1634,108508,-103287,17481,26275,-1938,-21906,-60671,23742,51979,-22584,-118,0
2016-07-08,30700,31250,30550,31050,2424460,75279483000,1.3051,-339787,313856,35131,-16908,13541,100726,-4670,-1098,-55033,-1939,-7261,-1427
2016-07-11,31750,32300,31650,32000,3938161,126021152000,3.0596,-1382593,593674,787588,161319,117489,31505,49054,13073,431906,7075,-5744,-16758
