date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,92629,93759,91969,92346,10587,977667102,-1.0098,469,-431,-3,-97,2,16,21,0,55,-35,0,0
2016-05-27,93100,93100,91497,91686,9806,899072916,-0.7147,469,-235,-254,-199,-13,4,-41,0,-5,20,0,0
2016-05-30,91497,91592,89707,89990,15017,1351379830,-1.8498,332,-29,-303,-152,71,0,-83,0,-139,0,0,0
2016-05-31,89802,90178,88671,89048,13835,1231979080,-1.0468,587,193,-801,-215,-53,-57,-312,0,-164,21,0,0
2016-06-01,88482,90273,88199,89236,14760,1317123360,0.2111,244,-213,63,108,26,-6,144,33,-242,-92,-2,0
2016-06-02,88766,90461,88671,89802,11646,1045834092,0.6343,-136,5,131,107,-35,-3,184,0,-122,0,0,0
2016-06-03,90461,90744,89519,90085,6671,600957035,0.3151,-59,-88,142,-42,-24,-2,14,0,196,5,0,0
2016-06-07,90556,92346,89802,92064,14709,1354169376,2.1968,231,-123,-108,22,-170,-18,-63,0,121,0,0,0
2016-06-08,91404,92723,91404,92534,11594,1072839196,0.5105,61,145,-206,-170,-49,33,-126,0,179,0,0,-73
2016-06-09,92534,98377,92346,98377,34383,3382496391,6.3144,-1317,351,981,-411,1160,82,-47,0,197,-15,0,0
2016-06-10,97906,97906,94325,96681,17936,1734070416,-1.724,39,-408,376,3,-146,17,145,0,357,-7,0,0
2016-06-13,97057,97057,95079,96116,9497,912813652,-0.5844,-206,-357,563,108,136,42,93,0,184,0,0,0
2016-06-14,95079,96492,92346,93100,17957,1671796700,-3.1379,458,-168,-290,-109,146,-84,-107,0,-136,0,0,0
2016-06-15,92064,93100,90556,90744,12211,1108074984,-2.5306,548,-107,-442,-151,-72,-72,47,0,-194,1,0,0
2016-06-16,90744,91686,90461,90650,9898,897253700,-0.1036,299,84,-383,-193,-17,13,13,0,-199,0,0,0
2016-06-17,90838,91404,89802,89896,11974,1076414704,-0.8318,467,-93,-361,-440,14,81,-6,0,-10,-13,0,0
2016-06-20,91404,91686,89802,91215,4512,411562080,1.4673,-60,63,-3,0,37,2,-6,0,-36,0,0,0
2016-06-21,90838,91310,89990,90085,6506,586093010,-1.2388,264,-4,-260,57,-60,-26,-185,0,-46,0,0,0
2016-06-22,91121,91121,89990,90085,8850,797252250,0.0,101,166,-395,-11,-120,0,-239,0,-25,128,0,0
2016-06-23,90650,91310,89048,89613,11224,1005816312,-0.5239,-86,-195,281,95,63,0,-1,0,132,0,0,-8
2016-06-24,89519,90367,87352,88106,16888,1487934128,-1.6817,89,-290,200,6,345,1,-2,0,-105,1,0,-45
2016-06-27,89425,90273,87634,88294,24689,2179890566,0.2134,291,-279,-114,74,-453,-243,-40,0,548,102,0,0
2016-06-28,87729,88859,87634,88577,12745,1128913865,0.3205,169,-76,-96,-98,-13,154,24,0,-98,3,0,-65
2016-06-29,88294,89613,88294,89048,8264,735892672,0.5317,292,-161,-131,13,36,0,-39,0,-141,0,0,0
2016-06-30,89048,90932,88577,90650,17165,1556007250,1.799,80,-217,137,-81,-149,8,566,0,-207,0,0,0
2016-07-01,90650,91592,89519,89990,18779,1689922210,-0.7281,279,124,-403,-290,100,54,-194,0,-3,0,0,-70
2016-07-04,89707,90461,89048,90178,19786,1784261908,0.2089,291,107,-357,-833,539,54,-63,0,-2,-41,0,-52
2016-07-05,89613,90367,88294,89331,17833,1593039723,-0.9393,82,115,-205,-483,256,34,-23,0,25,8,0,-14
2016-07-06,89519,89519,87634,89331,14606,1304768586,0.0,-20,-396,411,-183,578,-24,-65,0,79,5,0,26
2016-07-07,89331,89613,88671,89425,12221,1092862925,0.1052,11,-143,162,-153,14,0,95,0,206,-30,0,0
2016-07-08,89048,89613,88766,89519,16847,1508126593,0.1051,-269,-246,516,-520,72,13,1086,0,-70,-1,0,-65
2016-07-11,90650,90932,89425,90461,22634,2047494274,1.0523,-1182,356,826,-53,270,-59,422,0,199,0,0,47
2016-07-12,90085,91027,89142,90461,19170,1734137370,0.0,-436,-78,560,-304,525,58,286,0,85,-46,0,-90
2016-07-13,90556,95549,90556,95173,43777,4166388421,5.2089,-1353,988,311,252,-299,557,-195,0,-54,54,0,50
2016-07-14,94419,99225,94137,99225,45052,4470284700,4.2575,-925,186,559,235,-601,462,121,55,244,180,0,43
2016-07-15,98660,104879,98377,103371,75807,7836245397,4.1784,-1831,642,772,453,-1076,878,-15,399,-21,420,-3,154
2016-07-18,102712,105067,102712,104596,34845,3644647620,1.1851,-228,279,-111,-184,-991,565,253,0,238,60,0,8
2016-07-19,104502,108648,103560,105632,61118,6456016576,0.9905,808,-427,-517,-624,-408,489,16,0,-21,136,0,31
2016-07-20,105632,110062,103748,109402,76824,8404699248,3.569,-1257,1562,-800,-369,-1182,1105,-470,0,98,496,-1,18
2016-07-21,109684,113076,108554,111570,54961,6131998770,1.9817,-496,184,305,-382,-830,1114,32,-48,419,8,-1,0
2016-07-22,111946,112417,108742,110721,23836,2639145756,-0.761,-1,-486,577,428,-125,619,-334,0,-11,-90,0,0
2016-07-25,108083,110344,106480,108365,33982,3682459430,-2.1279,-574,1151,-305,-471,-312,-14,172,0,320,-272,0,0
2016-07-26,107046,108554,106010,106764,22952,2450447328,-1.4774,17,1168,-970,-640,-59,-77,-69,-135,64,-216,1,-54
2016-07-27,107705,107894,106010,106764,16415,1752531060,0.0,171,717,-374,-60,-269,-36,-49,0,40,-516,2,0
2016-07-28,106292,107988,104125,106764,23569,2516320716,0.0,81,-40,-19,-284,-195,414,-56,0,137,-22,0,-35
2016-07-29,106951,107705,104973,105821,17011,1800121031,-0.8833,303,180,-629,-193,-435,-93,-224,0,316,146,0,0
2016-08-01,104596,110532,104596,108837,20393,2219512941,2.8501,-227,-221,453,754,-402,-36,223,34,-120,-2,-3,0
2016-08-02,108272,109308,105821,108365,15665,1697537725,-0.4337,-155,-526,750,936,-105,-1,49,-52,-77,-69,0,0
2016-08-03,106386,108931,105821,107423,15459,1660652157,-0.8693,-186,-184,360,565,57,-34,-122,0,-106,10,0,0
2016-08-04,106951,107800,104502,105821,9898,1047416258,-1.4913,185,-248,63,-22,-67,59,54,0,17,0,0,22
2016-08-05,104973,108177,104973,106575,13907,1482138525,0.7125,-256,-180,456,248,-48,74,-19,1,155,-20,0,45
2016-08-08,105539,107046,103277,103842,21112,2192312304,-2.5644,-328,441,-79,43,92,-4,-83,0,-137,-34,0,10
2016-08-09,104502,105821,102240,105067,16857,1771114419,1.1797,-541,519,2,-18,73,-2,-50,0,27,20,0,-28
2016-08-10,104313,104407,101675,102240,19807,2025067680,-2.6907,274,106,-412,195,-19,31,-432,0,-235,32,0,48
2016-08-11,102240,105539,100921,104407,23507,2454295349,2.1195,-372,14,362,382,-277,2,-31,0,286,-4,0,0
2016-08-12,104125,107612,101863,106951,19293,2063405643,2.4366,-174,-692,855,496,88,11,-37,0,238,14,-3,59
2016-08-16,106951,106951,103653,103653,12488,1294418664,-3.0837,251,-400,136,27,-67,-48,-33,0,228,12,1,29
2016-08-17,104973,108459,104220,106386,24741,2632096026,2.6367,-376,27,348,189,-150,317,-177,67,50,1,0,52
2016-08-18,106951,109873,106010,107800,29161,3143555800,1.3291,-206,161,14,485,-153,36,-346,241,-262,30,1,13
2016-08-19,107140,110532,105539,109308,19714,2154897912,1.3989,-298,69,235,-32,34,712,-278,0,-209,-5,-1,8
2016-08-22,108272,108365,106669,107705,13167,1418151735,-1.4665,-305,107,200,355,20,-59,-13,6,-114,-2,0,5
2016-08-23,107705,108648,106104,107894,10484,1131160696,0.1755,-117,16,97,156,52,1,-55,-35,-32,4,0,10
