date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,32448,32497,31718,32205,298728,9620535240,0.0,29919,-50102,28404,17610,-9609,15148,-4063,0,4068,-8113,-108,5250
2016-05-27,32400,32691,31913,32157,400209,12869520813,-0.149,88588,-93254,5712,-67119,38540,8913,156,3000,21497,-1034,-12,725
2016-05-30,32059,33032,32059,32789,553699,18155236511,1.9654,-115900,28721,87380,47016,35269,13990,6913,-16000,9807,-48,-153,-9615
2016-05-31,32789,33275,32205,33276,1024296,34084473696,1.4853,20921,-45168,18417,-71633,21989,98013,-18462,-10000,-13185,2997,2833,11695
2016-06-01,32886,33275,32691,32838,418300,13736135400,-1.3163,45453,-16043,-30665,-14457,9859,4698,1185,475,-32425,24,1231,0
2016-06-02,32886,32983,32156,32449,414125,13437942125,-1.1846,-27100,97997,-72026,5714,5032,341,-63921,0,-19192,-447,1576,0
2016-06-03,32302,32740,32302,32449,431079,13988082471,0.0,-47595,73672,-26001,-2034,-12169,-1946,606,0,-10458,-308,232,0
2016-06-07,32302,34054,32254,33957,638293,21674515401,4.6473,-250011,151095,101311,15469,15177,20738,11196,0,38731,-2378,-17,0
2016-06-08,34054,34054,33421,33616,345305,11607772880,-1.0042,46351,-78093,47876,9506,-4194,11080,5189,0,29230,-15944,-190,-2935
2016-06-09,33713,34540,33324,33373,785172,26203545156,-0.7229,105840,-29872,-71290,-5901,-81581,20283,-25450,0,33707,-3216,-1462,-12348
2016-06-10,33664,33908,33324,33519,324185,10866357015,0.4375,-1334,-19191,21371,-2521,-27099,2005,-5510,0,54496,-1106,260,0
2016-06-13,33081,33324,32594,32741,452048,14800503568,-2.3211,4937,57356,-62466,-3270,-50979,-3255,-9764,0,4802,-584,757,0
2016-06-14,32545,32983,32302,32449,298430,9683755070,-0.8918,24805,17233,-29585,-3079,-6,6362,-3090,1300,-31072,-12588,135,0
2016-06-15,32302,32545,31767,32108,328191,10537556628,-1.0509,50653,-14433,-32330,19427,-9177,-528,-23457,0,-18595,-39,-3851,0
2016-06-16,32108,32205,31524,31719,436626,13849340094,-1.2115,76916,27973,-115254,-6094,-21447,-1217,-14655,-215,-61626,10360,5,-10000
2016-06-17,31864,32400,31281,31719,419883,13318268877,0.0,35474,64347,-97679,-14497,-18487,-32837,-9707,-51,-22100,-2742,600,0
2016-06-20,32010,32497,31962,32400,303237,9824878800,2.147,-54675,46816,11657,-21622,3420,30678,-7012,0,6193,-3798,0,0
2016-06-21,32351,32351,31572,31573,495767,15652851491,-2.5525,189172,-137611,-44431,-35898,3976,4740,1105,-99,-18255,-4635,-2495,0
2016-06-22,31670,33178,31670,33081,838095,27725020695,4.7762,-295762,283282,22390,-34931,-6815,-6690,52395,18000,431,-10205,295,0
2016-06-23,32789,33567,32545,33470,629065,21054805550,1.1759,-104559,41617,60448,23181,-411,-4130,27446,700,13662,2204,290,0
2016-06-24,33908,34248,30697,31524,1786299,56311289676,-5.8142,24621,56857,-85136,38217,-4672,-50113,-12464,-2114,-40221,3013,645,-13769
2016-06-27,30551,31378,30454,31184,817784,25501776256,-1.0785,97337,110732,-205374,-128025,-24841,-21706,-17394,0,-13408,-1500,-1195,0
2016-06-28,30843,32497,30843,32108,598577,19219110316,2.9631,-56822,41878,9750,-1205,-895,-5710,22271,-400,-4311,5194,0,0
2016-06-29,32545,32545,31962,32303,532604,17204707012,0.6073,51260,99889,-149676,-80586,-26327,-1222,-6666,0,-34875,-1786,313,0
2016-06-30,32643,32837,32156,32449,509723,16540001627,0.452,-17393,113611,-114492,-88942,-9070,23016,-1889,0,-37607,3003,15271,0
2016-07-01,32691,33324,32497,33130,445407,14756333910,2.0987,-135380,143277,-7704,14904,-45018,3729,13913,0,4768,-33,-160,0
2016-07-04,33032,33810,32837,33519,455868,15280239492,1.1742,-132251,132237,4234,21428,-2001,8796,-17131,0,-6858,-4218,-2,0
2016-07-05,33324,33372,32691,32935,370542,12203800770,-1.7423,62247,-12827,-44634,36507,-12899,-1788,-41851,-187,-24416,-3842,-944,0
2016-07-06,32643,32837,31767,31962,476991,15245586342,-2.9543,83927,-33660,-50190,17700,-15799,-37857,-42662,-988,29416,30,-107,0
2016-07-07,32254,32545,31962,31962,303361,9696024282,0.0,82814,-9018,-77926,-56805,-8706,-2689,-21953,0,12227,3406,724,0
2016-07-08,31767,31767,30648,31038,888279,27570403602,-2.8909,445000,-71762,-369469,-126815,-71098,-95761,-31259,-11285,-22967,-4244,475,-10284
2016-07-11,31378,31572,31135,31378,437095,13715166910,1.0954,41565,96600,-138118,-111835,-1352,-17490,-40569,-331,34391,-3,-44,-932
2016-07-12,31427,31864,31232,31622,358170,11326051740,0.7776,17948,81733,-100492,-65980,-34565,3264,-11602,-290,9619,997,-186,-938
2016-07-13,32108,32691,31962,32157,497136,15986402352,1.6919,-4436,37977,-33238,-29080,-37959,6503,29125,-191,1364,396,-699,-3000
2016-07-14,32399,33032,32302,32595,522661,17036135295,1.3621,-47710,123916,-75847,-5000,-22075,-1401,-34146,0,-13225,-359,0,0
2016-07-15,32740,33178,32497,33032,489841,16180427912,1.3407,-200619,226817,-21231,2800,-18228,-9710,567,0,3340,-953,-4014,0
2016-07-18,32935,33227,32837,32935,356868,11753447580,-0.2937,-32748,24426,7694,-21459,-12402,3655,36276,0,1452,628,0,172
2016-07-19,33129,33178,32254,32546,368978,12008757988,-1.1811,-25806,73792,-46034,-745,-17638,-4830,-10242,-946,-11633,-1964,12,0
2016-07-20,32594,32643,32059,32157,419657,13494910149,-1.1952,129139,64347,-194212,-95251,-72576,16720,-45347,0,2360,499,227,-118
2016-07-21,32400,32545,31913,32157,400130,12866980410,0.0,157258,-45449,-111757,-70914,-26250,-1016,-27723,0,14146,148,-200,0
2016-07-22,31913,33032,31913,32935,501351,16511995185,2.4194,-85806,78677,5943,-39252,22384,7807,-3985,0,18989,1596,-410,0
2016-07-25,33081,33227,32789,32886,296305,9744286230,-0.1488,-3920,51102,-44759,-41976,5800,2282,-17815,0,6950,-2022,-401,0
2016-07-26,32886,32935,32302,32595,545272,17773140840,-0.8849,147302,-94129,-64078,-58512,-27651,4649,-27078,8000,36514,10765,140,0
2016-07-27,32594,34394,32594,34005,1508378,51292393890,4.3258,-575047,416736,161119,68009,42930,42208,3485,-3306,7793,-472,-2336,0
2016-07-28,34199,35513,34151,35514,1392599,49456760886,4.4376,-639420,521857,120261,62027,4266,10624,11258,16327,15759,-989,-1709,0
2016-07-29,35464,36000,35124,35805,986053,35305627665,0.8194,-418462,304173,113832,143801,-2421,-6757,-37527,-13369,25105,488,-31,5000
2016-08-01,35708,35854,35075,35659,600300,21406097700,-0.4078,-87523,-39078,127489,111026,-2058,-2430,23085,-500,-4634,-1773,885,3000
2016-08-02,35513,35513,34735,34784,480458,16712251072,-2.4538,25295,45795,-72450,-65694,5119,-2627,-4651,0,-4597,507,853,0
2016-08-03,34394,34978,34102,34346,476974,16382149004,-1.2592,32877,80014,-112871,8181,-17335,-34704,-29871,0,-39142,-30,10,0
2016-08-04,34735,35075,34345,34638,251312,8704945056,0.8502,41505,-33299,-11117,4397,15376,-344,-12990,0,-22556,2951,-40,5000
2016-08-05,34832,36145,34491,36097,771200,27838006400,4.2121,-242980,-9850,240777,72619,104466,4645,63292,0,-4245,12831,-778,0
2016-08-08,36340,36583,35951,36243,636643,23073852249,0.4045,-128270,-81852,217897,99141,56436,48305,13540,0,-4525,-6320,-1455,5000
2016-08-09,36097,36535,36097,36292,416771,15125453132,0.1352,-78748,2161,78266,-52185,95157,-2031,11646,0,21339,-1609,-70,4340
2016-08-10,36291,36778,36097,36292,548919,19921368348,0.0,-156902,-4573,162707,19964,56252,5629,51137,0,29725,298,-1530,0
2016-08-11,36291,36827,36291,36632,436259,15981039688,0.9368,-115475,24451,92019,-33984,66850,6066,42573,-2000,12514,351,-1346,0
2016-08-12,36924,37410,36535,37168,521139,19369694352,1.4632,-171056,95187,77083,13881,25347,10329,820,-306,31472,-869,-345,-4460
2016-08-16,37264,37702,36632,36973,560947,20739893431,-0.5246,-26570,97683,-68568,-12356,-26718,5752,-38680,-2000,6601,-2144,-401,-1167
2016-08-17,36924,37508,36681,37070,398179,14760495530,0.2624,-109245,121338,-11725,-7765,-3458,-612,-2222,-6000,12165,-163,-205,-3833
2016-08-18,37070,37216,36778,37168,363995,13528966160,0.2644,-65576,115917,-50753,-7819,-14802,-776,-3499,0,-23857,510,-98,0
2016-08-19,37264,38578,36972,38481,983784,37856992104,3.5326,-503153,336778,172253,111716,11518,42873,16787,0,-26031,-286,-5592,15390
2016-08-22,38481,38481,37848,38189,326156,12455571484,-0.7588,-58520,61450,-4752,11083,938,-551,1587,0,-17809,2342,-520,0
2016-08-23,38091,39113,37994,38968,717415,27956227720,2.0399,-283256,51849,236031,186318,21983,8878,32085,-369,-12864,-4253,-371,0
2016-08-24,38772,38967,38189,38384,461286,17706001824,-1.4987,-24921,11309,16610,35612,-28380,-23885,37112,-2000,-1849,-3043,45,0
2016-08-25,38529,38529,37362,37849,467312,17687291888,-1.3938,-8196,37125,-26000,-29854,-11754,11770,-25759,0,29597,-2901,-28,0
2016-08-26,37751,38286,37167,37800,334727,12652680600,-0.1295,-56005,76563,-21802,-23495,-6384,5128,-2910,0,5859,1144,100,0
2016-08-29,37410,37702,36875,37362,497477,18586735674,-1.1587,-12317,20132,-3568,-18042,56898,-27965,-23750,0,9291,-4347,100,0
2016-08-30,37556,37897,37264,37411,310538,11617537118,0.1311,-31372,59783,-31436,-45796,12782,804,-14578,0,19167,3025,0,-3815
2016-08-31,37459,37654,37070,37508,317983,11926906364,0.2593,-87142,62011,33814,-1849,23625,-2951,11807,0,4837,-8783,100,-1655
