date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,274500,278500,274500,276500,74047,20473995500,0.363,-1634,5368,-3532,-6537,-1321,-1480,2352,-100,3611,-198,-4,-57
2016-05-27,276000,276500,271500,273000,111357,30400461000,-1.2658,31896,-13683,-18447,-7933,-410,-6226,-4074,0,1324,235,-1,-1128
2016-05-30,273000,274000,267500,274000,98338,26944612000,0.3663,5722,-3557,-3593,-3947,2615,2985,-2339,85,-2989,1421,7,-3
2016-05-31,271500,278000,271500,278000,303747,84441666000,1.4599,-8595,-34486,43084,20193,11685,9129,8199,0,-6035,-3,0,-87
2016-06-01,275000,280000,274000,278500,95508,26598978000,0.1799,-3940,11740,-7929,-3416,7329,102,4185,-66,-16063,103,26,0
2016-06-02,277500,286500,276000,286500,132164,37864986000,2.8725,-43127,28648,14804,14083,3147,3689,4869,-150,-10834,-344,19,0
2016-06-03,284500,285500,278500,282000,115254,32501628000,-1.5707,4575,-14185,9946,-3556,136,246,-385,0,13505,-352,16,0
2016-06-07,281000,286000,280500,286000,82113,23484318000,1.4184,-9744,15632,-5888,-7120,-1138,-781,-3649,0,6911,0,0,-111
2016-06-08,283500,286500,282000,286500,78076,22368774000,0.1748,-5488,6831,-1346,-4625,-3767,185,-2144,-14,9019,0,3,0
2016-06-09,284500,284500,278500,281000,137918,38754958000,-1.9197,20304,-2254,-18055,-9584,-10795,-1230,-9328,293,15065,0,5,-2476
2016-06-10,279000,281000,277500,277500,71351,19799902500,-1.2456,6515,-5832,-346,-11894,-3924,-566,-4477,98,20508,-347,10,-91
2016-06-13,274000,276000,271500,273000,69501,18973773000,-1.6216,10122,-10620,187,-3250,-294,566,-1686,143,4742,311,0,-34
2016-06-14,271000,273500,268000,268000,84211,22568548000,-1.8315,29530,-9401,-20229,-7291,885,-117,-2188,300,-11818,100,0,0
2016-06-15,268500,270000,265500,268000,54387,14575716000,0.0,5962,11336,-17297,-5861,-1487,3184,-2126,40,-9753,0,-1,-1294
2016-06-16,267500,269500,263500,264500,50518,13362011000,-1.306,12688,421,-13112,-1412,-2654,6034,-2126,-187,-12767,1,2,0
2016-06-17,268500,273500,265000,265000,95227,25235155000,0.189,9489,-10065,1449,-1304,-4765,7828,-918,743,-135,-878,5,0
