date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-25,37306,38376,37062,37792,366203,13839543776,2.7766,-41860,122048,-78130,-94038,5968,-20043,4931,0,25052,-2164,106,0
2016-05-26,38035,38522,37354,37744,288076,10873140544,-0.127,7484,110438,-118168,-19614,-15176,-72961,2687,0,-13104,138,108,0
2016-05-27,37987,38230,37160,37501,299322,11224874322,-0.6438,58996,38041,-98956,-10294,-3398,-81395,544,0,-4413,1832,87,0
2016-05-30,37695,37695,36576,36722,357823,13139976206,-2.0773,56212,43992,-99953,-56712,-6800,-5791,-13339,0,-17311,-243,-8,0
2016-05-31,36430,37889,36236,37452,390069,14608864188,1.9879,-68899,118756,-52942,-33301,-11415,-406,2385,0,-6766,4285,-1200,-3439
2016-06-01,37257,37987,37257,37549,308760,11593629240,0.259,-36576,139026,-101390,-101725,-7888,19846,12068,0,-23691,-1112,52,0
2016-06-02,37306,37549,36625,37063,226079,8379165977,-1.2943,22934,33450,-56899,-12187,-21618,-5968,-2737,1300,-15689,398,117,0
2016-06-03,37208,37257,36527,37014,242312,8968936368,-0.1322,5376,42162,-46165,-47477,-12689,2077,-1985,677,13232,-724,-649,0
2016-06-07,37452,38181,37306,38084,384970,14661197480,2.8908,-47041,125673,-80550,-52673,-7170,-31957,-5684,0,14934,2258,-340,2000
2016-06-08,38376,39057,37597,39057,380078,14844706446,2.5549,-48053,60405,-22829,-17507,6854,-29003,-8837,-2235,24899,10549,-72,3000
2016-06-09,39057,39105,38424,38765,357847,13871938955,-0.7476,38959,8927,-48971,-61392,449,-1880,9934,1950,8649,1287,-202,-6681
2016-06-10,38813,38862,38084,38668,307796,11901855728,-0.2502,117252,16419,-137608,-54946,-31816,-40248,-1216,-406,-9049,2952,985,73
2016-06-13,38376,38376,37062,37306,304197,11348373282,-3.5223,121722,-19944,-105821,-27312,-18729,-39402,-5077,-3373,-11970,4077,-34,42
2016-06-14,37306,37500,36576,37014,228636,8462732904,-0.7827,67714,47298,-115236,-72900,-9254,-18994,-1844,1288,-13532,111,113,0
2016-06-15,36673,36819,35603,35652,520604,18560573808,-3.6797,278241,-75236,-205627,-66368,-57431,-27320,-38622,1300,-12548,1361,1261,-4638
2016-06-16,35846,36138,35020,35263,242247,8542355961,-1.0911,34856,33524,-72566,-39274,-4269,-6210,6769,-3467,-26115,110,4076,0
2016-06-17,35652,35895,34874,35263,243660,8592182580,0.0,811,84109,-79482,-16403,-10595,-21,4669,-392,-56740,-5365,-73,0
2016-06-20,35798,36090,35555,35944,159670,5739178480,1.9312,4050,37154,-41219,-27932,-8181,3634,1536,-257,-10019,0,15,0
2016-06-21,35846,36187,35068,36139,266046,9614636394,0.5425,-107,915,-3648,-23064,25057,-1114,6380,-258,-10649,2640,200,0
2016-06-22,35992,36576,35652,36139,263796,9533323644,0.0,5117,87713,-92770,-45324,-7771,-3710,-23020,-341,-12604,0,-60,0
2016-06-23,34095,35749,33901,35409,948610,33589331490,-2.02,-163097,88879,74102,-25356,-42256,28211,44786,1975,66742,-1900,2016,0
2016-06-24,35506,35603,33560,33950,526481,17874029950,-4.1204,24385,13547,-36298,43,-10017,-19888,-1952,-598,-4086,4015,-5649,200
2016-06-27,33123,34095,33123,34047,207588,7067748636,0.2857,-29729,32910,-1144,-12529,1144,-316,-13647,0,24204,-2026,-11,0
2016-06-28,33609,34095,33317,33999,195722,6654352278,-0.141,25639,3788,-31173,-21046,-12446,-4092,4573,-898,2401,1746,0,335
2016-06-29,34290,34533,33950,34242,249653,8548618026,0.7147,-4151,52489,-48338,-12807,-4520,2433,-34211,0,767,0,0,0
2016-06-30,34533,34630,33901,34436,265942,9157978712,0.5666,2507,28929,-31324,-21090,-3861,345,9504,0,-16222,0,-112,0
2016-07-01,34728,35117,33852,33901,311088,10546194288,-1.5536,14883,9315,-20807,-3964,-6510,481,-10269,0,-545,-2734,-657,0
2016-07-04,34047,34144,33658,33804,293707,9928471428,-0.2861,11131,87253,-96702,-31847,-23154,-1982,-26359,-834,-3241,-1531,-151,-9285
2016-07-05,33804,34339,33658,34339,213196,7320937444,1.5827,-32527,44196,-15014,-10608,574,-8298,-280,0,3598,3142,203,0
2016-07-06,34339,34679,33560,33755,215753,7282742515,-1.7007,30330,-31863,1483,-19208,18385,11495,-4596,-694,-1215,6,44,-2684
2016-07-07,34047,34728,33998,34193,190705,6520776065,1.2976,-18387,12284,6130,-15442,14511,-4603,2422,-2170,19935,-100,73,-8523
2016-07-08,34241,34436,33609,34047,158201,5386269447,-0.427,-1715,32471,-31323,-7977,656,1135,-17620,0,-7517,669,-102,0
2016-07-11,34436,35214,34339,35117,282808,9931368536,3.1427,-33890,32676,-211,-7265,13036,-749,-15739,0,11041,929,496,-535
2016-07-12,35506,35603,34485,34777,282102,9810661254,-0.9682,96370,-49073,-47527,-39604,1884,-9841,-749,0,783,-1721,1951,0
2016-07-13,34922,35263,34679,34826,216831,7551356406,0.1409,19912,39539,-57182,-38871,-5792,-6595,2507,0,-8431,-2269,0,0
2016-07-14,35020,36187,34874,36090,452619,16335019710,3.6295,-127257,141885,-13732,-10010,-386,5006,3612,0,-11954,-1000,104,0
2016-07-15,36041,36187,35360,35409,232791,8242896519,-1.8869,-2552,-15782,19384,-62,-5478,493,18852,500,5079,-950,-100,0
2016-07-18,35506,36236,35506,35798,141754,5074509692,1.0986,-17550,-2885,22432,973,9484,2078,-237,500,9634,-1898,-99,0
2016-07-19,35701,36138,35020,35944,209516,7530843104,0.4078,-3045,-31007,51964,-5,2974,4907,49417,0,-5329,-381,-17531,0
2016-07-20,35895,36381,35506,35555,179911,6396735605,-1.0822,32641,-37246,4442,0,-1028,3103,-706,0,3073,300,-137,0
2016-07-21,35652,35749,35360,35604,154898,5514988392,0.1378,24759,11510,-35899,-19167,-5897,-402,-3427,0,-7006,-339,-31,0
2016-07-22,35603,35652,34728,34777,210661,7326157597,-2.3228,44195,-12330,-24978,0,-4140,1380,-33899,0,11681,-7390,503,0
2016-07-25,34776,35603,34776,35263,196709,6936549467,1.3975,14349,13624,-26357,-6100,-5042,806,-23875,0,7854,-1118,-498,0
2016-07-26,35214,35457,34776,35020,121910,4269288200,-0.6891,4574,10354,-14928,-4191,-3336,138,-18638,0,11099,0,0,0
