date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,206038,206509,202737,205095,49149,10080214155,-0.4577,-3756,-4987,8804,-3156,6832,268,-369,0,5229,-53,-8,0
2016-05-27,205566,207923,204152,206510,31811,6569289610,0.6899,-1387,-4140,5521,5489,-2711,1481,491,0,671,12,-6,100
2016-05-30,208395,209338,205566,205567,41504,8531852768,-0.4566,1247,-7737,6329,2184,-42,426,2141,-296,1839,158,3,77
2016-05-31,204623,205566,202266,204624,81827,16743768048,-0.4587,8597,-14010,5455,7967,-2075,1585,2733,104,-2397,-43,1,-2462
2016-06-01,205566,211224,205095,208867,70277,14678546159,2.0736,2662,-8080,3885,7131,2678,-27,-3259,500,-3632,1537,-4,494
2016-06-02,207452,208395,201794,203209,68674,13955174866,-2.7089,18448,-12312,-6074,-6817,7012,-5094,-5442,0,3257,-58,-4,1010
2016-06-03,203209,204152,198494,199909,90072,18006203448,-1.6239,7989,-36336,26866,-432,16188,-4063,381,0,14792,1491,-10,0
2016-06-07,199437,203680,198494,199909,43334,8662856606,0.0,5062,1983,-6981,-5775,-4214,-101,-3485,0,6674,20,-84,-80
2016-06-08,200380,204623,198022,204624,73481,15035976144,2.3586,-6164,11853,-5668,1653,-8806,213,-2403,-1348,5015,48,-69,8
2016-06-09,202266,206038,200851,206038,87303,17987735514,0.691,-1251,8964,-6330,10333,-2409,-3905,-5733,526,-3959,-1383,0,-1183
2016-06-10,204623,207452,202266,204152,56776,11590933952,-0.9154,4470,-9118,6255,5273,-5471,1710,-1662,-8,6413,-1607,0,0
2016-06-13,201794,204623,199437,203209,59974,12187256566,-0.4619,-3693,-21511,25219,-3054,20689,4475,-517,0,3626,-15,0,0
2016-06-14,202737,203209,196136,197080,75899,14958174920,-3.0161,22360,-27012,5828,-8504,12120,4889,-1429,0,-1133,-1360,184,-115
2016-06-15,193779,200851,193779,196608,61884,12166889472,-0.2395,-8919,-18614,27466,9101,12659,1577,3540,-130,719,3,64,0
2016-06-16,196608,199908,193779,193779,38985,7554474315,-1.4389,8266,-11246,2894,4891,-1750,897,1568,-526,-2183,3,83,-3
