date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,25000,25600,24700,25050,70805,1773665250,0.8048,-5025,-14489,18491,2389,1324,10693,319,0,3766,973,50,0
2016-05-27,25050,25500,24800,25350,33616,852165600,1.1976,-7843,-6735,13659,57,392,12773,187,0,250,975,-56,0
2016-05-30,25350,25600,24700,25150,53251,1339262650,-0.789,-1725,-18165,16380,7692,-332,5248,4122,0,-350,3378,132,0
2016-05-31,25300,25700,25050,25500,67035,1709392500,1.3917,-10501,-8820,15454,-5691,1230,25491,1346,0,-2104,3782,85,-4818
2016-06-01,25250,25400,24850,25350,51502,1305575700,-0.5882,9101,-4020,-5136,-2289,4936,-3605,6541,0,-10719,-51,106,0
2016-06-02,25150,25650,24950,25150,52403,1317935450,-0.789,-6514,6638,-1148,1690,-4711,385,2513,0,-1025,996,28,0
2016-06-03,25200,25800,25150,25700,39755,1021703500,2.1869,-14795,-4740,19560,7729,2758,725,891,0,7457,-1,-24,0
2016-06-07,25800,26850,25400,26650,73794,1966610100,3.6965,-16766,-1198,17937,9496,839,0,-2239,0,9841,26,1,0
2016-06-08,26600,27550,26350,27550,94535,2604439250,3.3771,-46316,20184,36732,13765,5618,6532,302,0,10515,-10600,0,0
2016-06-09,27550,27750,27150,27750,126572,3512373000,0.726,-24069,1626,23718,3344,15956,17196,-8567,0,5810,-1275,0,-10021
2016-06-10,27400,27900,27100,27700,61186,1694852200,-0.1802,-19803,-2173,21961,-1981,-3692,66,-1538,0,29106,15,0,0
2016-06-13,27200,27350,26100,26650,101208,2697193200,-3.7906,23827,-13992,-8004,1464,8033,-4676,-6282,0,6606,-1801,-30,-13149
2016-06-14,26500,26700,25750,26350,69278,1825475300,-1.1257,-1614,-1370,3019,6052,-16898,-717,589,0,13993,-36,1,0
2016-06-15,26100,26250,25750,26200,66540,1743348000,-0.5693,10026,-8191,-3368,-4794,2212,-1934,436,0,712,1525,8,0
2016-06-16,26200,26200,25150,25250,66475,1678493750,-3.626,17791,-4047,-13611,-9269,1710,-5124,-410,0,-518,-133,0,0
2016-06-17,25400,25850,25050,25700,61204,1572942800,1.7822,-6684,-2110,8840,783,7140,23,-154,0,1048,-46,0,0
2016-06-20,25550,26250,25300,25900,39347,1019087300,0.7782,-539,990,-481,-3689,1764,3188,-1705,0,-39,-2,32,0
