date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,21083,21083,19957,20048,140754,2821836192,-4.9543,303154,-310718,139,0,0,0,0,0,139,8000,-575,0
2016-05-27,20039,20738,19957,20312,87363,1774517256,1.3168,-51177,51724,-697,0,0,0,0,0,-697,0,150,0
2016-05-30,20303,22291,20130,21175,198911,4211940425,4.2487,123112,-123777,0,0,0,0,0,0,0,475,190,0
2016-05-31,21265,22001,21265,21611,128889,2785420179,2.059,219995,-78345,-142364,0,0,0,0,-141364,-1000,0,714,0
2016-06-01,21864,22518,21437,21656,144193,3122643608,0.2082,354064,-193189,-168671,0,0,0,0,-168671,0,3000,4796,0
2016-06-02,21656,21783,20920,21093,77495,1634602035,-2.5997,38532,-39988,756,0,0,0,0,0,756,0,700,0
2016-06-03,21047,21093,20357,21093,75214,1586488902,0.0,-68545,67168,1277,0,0,0,0,0,1277,0,100,0
2016-06-07,21428,21991,21292,21565,136754,2949100010,2.2377,272847,-26882,-250226,0,0,0,0,-250256,30,3500,761,0
2016-06-08,21565,21829,21093,21829,78163,1706220127,1.2242,50090,-49822,-4268,0,-58,0,0,0,-4210,2600,1400,0
2016-06-09,21855,21946,21211,21302,90223,1921930346,-2.4142,284278,-156573,-128903,0,-113,0,0,-124115,-4675,798,400,0
2016-06-10,21302,22946,21220,21611,312752,6758883472,1.4506,702193,-18117,-681301,0,0,0,0,-674002,-7299,169,-2944,0
2016-06-13,21610,21692,20747,20920,108515,2270133800,-3.1974,113006,-106075,3725,0,-472,0,0,0,4197,-13000,2344,0
2016-06-14,20911,21555,20647,21002,59545,1250564090,0.392,22265,-19611,-5974,0,0,0,0,0,-5974,2400,920,0
2016-06-15,21001,21047,20048,20575,79841,1642728575,-2.0331,54695,-49991,4146,0,0,0,0,0,4146,-8600,-250,0
2016-06-16,20647,20738,20039,20094,60107,1207790058,-2.3378,86250,-28119,-58761,0,0,-59209,0,0,448,0,630,0
