date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,30900,31150,30650,30800,127061,3913478800,-0.1621,-10600,9433,1217,-18324,10438,-209,415,0,8897,0,-50,0
2016-05-27,30850,31450,30600,31450,171277,5386661650,2.1104,-34420,39430,-4998,-34185,11119,3198,5854,0,9016,-12,0,0
2016-05-30,31350,31500,30850,31400,134563,4225278200,-0.159,-2039,-3204,5276,-7930,6967,0,3152,-1000,97,-33,0,3990
2016-05-31,31250,31600,31050,31600,386689,12219372400,0.6369,-17405,3156,14249,-5638,16292,925,-219,0,474,0,0,2415
2016-06-01,31750,32450,31250,32400,376849,12209907600,2.5316,-133552,130165,2651,-3795,14016,9269,5005,0,-43323,625,111,21479
2016-06-02,32250,32450,31950,32350,122763,3971383050,-0.1543,-19069,17626,1405,-22619,9569,142,6895,0,7418,0,38,0
2016-06-03,32000,32800,32000,32400,218865,7091226000,0.1546,-31060,52796,-21917,-4193,-8037,-9,-5107,0,-4571,1,180,0
2016-06-07,32050,32900,31750,32900,274458,9029668200,1.5432,-39521,91998,-52478,-18777,-1276,-4710,-10826,-2297,-11491,1,0,-3101
2016-06-08,32900,32900,31450,31850,416995,13281290750,-3.1915,84504,-48983,-35667,43146,-6739,-25652,-23677,0,-21559,136,10,-1186
2016-06-09,31950,31950,30500,30600,470643,14401675800,-3.9246,181880,52367,-234011,-36739,-75909,-45217,-42845,6,-24261,-246,10,-9046
2016-06-10,30700,30800,30200,30550,181079,5531963450,-0.1634,13031,83809,-91057,-22671,-22131,-594,-25565,45,-20141,-5843,60,0
2016-06-13,30550,30850,30350,30800,261955,8068214000,0.8183,-12423,73786,-61362,-29170,-3081,-16989,-10685,0,-1437,-1,0,0
2016-06-14,30900,31200,30550,31050,203573,6320941650,0.8117,-28670,80051,-50997,-31780,-1878,-10868,-4252,19,-1410,-384,0,-828
2016-06-15,31050,31050,30000,30350,258763,7853457050,-2.2544,61300,-12157,-49154,-57313,13769,622,-5479,37,-790,0,11,0
2016-06-16,30350,30350,29400,30000,274815,8244450000,-1.1532,46077,46480,-92554,5529,-27815,-40304,-24731,-419,-4814,-3,0,0
2016-06-17,30000,30000,29450,29650,289389,8580383850,-1.1667,31999,-39668,7689,13953,11597,-35492,12379,-127,5379,0,-20,0
2016-06-20,29750,30150,29550,29750,173049,5148207750,0.3373,43889,10133,-54031,-5713,-5067,-12731,-34185,0,3665,-1,10,0
2016-06-21,29550,30150,28900,30150,246526,7432758900,1.3445,-24678,54971,-29900,-24776,-213,7100,-12765,-181,935,-392,-1,0
2016-06-22,30150,30200,29750,30000,150953,4528590000,-0.4975,9758,-16649,6892,6604,1001,-15,-3932,0,3234,-1,0,0
2016-06-23,29900,30750,29750,30650,213445,6542089250,2.1667,-63023,115396,-52412,-25349,8594,-14400,-17991,0,-3230,-2,41,-36
2016-06-24,30650,30800,29150,29850,235809,7038898650,-2.6101,-21471,-4677,27047,-2849,-15088,57345,-13727,0,1366,-1,-898,0
2016-06-27,29200,29400,28700,29200,208252,6080958400,-2.1776,21192,-34537,13347,5595,1,0,179,42,7530,-2,0,0
2016-06-28,28550,28900,28450,28700,224434,6441255800,-1.7123,49858,-49297,-541,-5958,17168,7675,-18737,-1390,701,0,-20,0
2016-06-29,28950,29550,28950,29150,128039,3732336850,1.5679,-15077,65628,-50551,-10965,-19707,0,-19497,-1388,1006,0,0,0
2016-06-30,29250,29350,28400,29250,255597,7476212250,0.3431,11082,42916,-54136,-2658,-15842,0,57,0,-35693,138,0,0
2016-07-01,29550,30350,29500,30200,374809,11319231800,3.2479,-78961,52259,26531,-435,12025,1679,10473,679,2110,279,-108,0
2016-07-04,30250,30250,29550,29800,249249,7427620200,-1.3245,28580,69127,-91479,-45151,-27363,-20295,5931,0,-4601,223,-6451,0
2016-07-05,29800,30050,28950,29300,334210,9792353000,-1.6779,55353,110431,-165984,-59765,-46406,-1571,-56735,0,-1507,200,0,0
2016-07-06,29000,29050,28000,28150,436711,12293414650,-3.9249,149537,-92275,-57308,-29423,25074,-126,-35667,-1517,-15649,46,0,0
2016-07-07,28300,29100,28300,28850,218482,6303205700,2.4867,-48357,100096,-51739,-8668,-40268,-1804,-4747,0,3748,0,0,0
2016-07-08,28900,29050,28600,28900,158140,4570246000,0.1733,-9036,62354,-53325,-10970,-39088,64,-2144,0,-1187,7,0,0
