date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,29350,29800,29100,29700,189751,5635604700,0.678,40598,-82580,18657,-7240,1741,912,-29,2000,21273,23175,150,0
2016-05-27,29800,29800,29250,29400,129328,3802243200,-1.0101,22425,-32331,-7589,38,-11137,-351,-5813,0,9674,17519,-24,0
2016-05-30,29300,29500,29000,29000,176086,5106494000,-1.3605,68361,-43713,-20389,-9991,-7547,-92,-230,-8,-2521,-4137,-122,0
2016-05-31,29000,29250,28700,29050,141112,4099303600,0.1724,48376,-35724,-14083,-10478,-5254,3782,74,1400,1258,1456,-25,-4865
2016-06-01,29050,29550,28900,29450,195560,5759242000,1.3769,-26924,-56053,80592,-2099,2627,65865,4895,3000,-13716,2011,374,20020
2016-06-02,29350,30000,29300,29650,174818,5183353700,0.6791,-30503,-23210,52660,-2470,3294,68766,-14250,0,-2680,1022,31,0
2016-06-03,29650,29800,29100,29450,128130,3773428500,-0.6745,25317,-8310,-18070,593,3778,1716,-32053,0,7896,992,71,0
2016-06-07,29650,29650,29300,29450,106493,3136218850,0.0,27455,-13669,-11691,1772,120,-750,-14671,0,1838,-2135,40,0
2016-06-08,29450,29950,29350,29850,151807,4531438950,1.3582,-38593,39316,-2261,-2133,1537,292,-11859,4276,5626,1729,-191,0
2016-06-09,29850,29850,29500,29500,148378,4377151000,-1.1725,-958,13846,-15582,11442,-13542,1322,-9465,0,-5339,2714,-20,0
2016-06-10,29600,29700,29250,29300,118452,3470643600,-0.678,12428,-3299,8084,466,-11926,106,-5156,0,24594,827,-18040,0
2016-06-13,29200,29600,29000,29200,108236,3160491200,-0.3413,1264,-15080,34871,9008,1553,0,11190,-21,13576,-3015,-18040,-435
2016-06-14,29050,29350,28950,29000,204405,5927745000,-0.6849,12137,-67116,55025,-178,-4589,63899,1417,0,-5524,-49,3,0
2016-06-15,29000,29000,28550,28600,191158,5467118800,-1.3793,89689,-56965,-32152,10159,1534,-2498,-33225,0,-8122,-466,-106,0
2016-06-16,28800,28800,28100,28200,178380,5030316000,-1.3986,58142,-29122,-30800,15164,-1910,-1128,-33499,0,-9427,1387,393,0
2016-06-17,28300,28500,28000,28000,148677,4162956000,-0.7092,-6305,-26771,41482,20314,2832,37,22266,2903,-6870,-8407,1,0
2016-06-20,28350,28800,28250,28650,102219,2928574350,2.3214,-36768,-9570,45200,1000,8148,34254,-63,0,1861,1138,0,0
2016-06-21,28650,28950,28500,28650,128039,3668317350,0.0,9896,-49445,38059,200,608,35028,-1933,0,4156,1490,0,0
2016-06-22,28650,29550,28650,29350,243043,7133312050,2.4433,-66042,-44706,98826,57924,32315,5000,5903,0,-2316,11922,0,0
2016-06-23,29150,29300,28900,29100,110185,3206383500,-0.8518,-14178,-35441,50076,8759,14186,-91,8489,0,18733,-870,413,0
2016-06-24,29350,29850,27050,27700,332800,9218560000,-4.811,-3779,-7458,13352,3800,6076,715,3299,0,-538,-2208,93,0
2016-06-27,27100,27400,26600,26950,393619,10608032050,-2.7076,95385,-162595,62284,25613,-1114,22610,4202,-43,11400,4886,40,-384
2016-06-28,26750,27350,26700,27250,221095,6024838750,1.1132,38366,-28066,-5634,15242,-8850,43,-14719,0,2650,-4811,145,0
2016-06-29,27600,27850,27250,27600,198966,5491461600,1.2844,28940,-35316,7453,253,1782,-32,-6904,0,12354,-1087,10,0
2016-06-30,27750,28050,27350,27450,145478,3993371100,-0.5435,38002,-16629,-23978,839,-16001,127,3786,0,-12729,2585,20,0
2016-07-01,27650,28000,27600,27750,153806,4268116500,1.0929,-41210,27251,16763,-2710,-850,225,1431,4048,9198,-2759,-45,5421
2016-07-04,28000,28250,27650,27700,121661,3370009700,-0.1802,38527,570,-40897,-18784,-8918,1437,6961,0,-21593,1800,0,0
2016-07-05,27700,28100,27200,28050,141579,3971290950,1.2635,-30635,11444,19079,9138,4435,2,8925,0,-3421,112,0,0
2016-07-06,28050,28300,27000,27550,228752,6302117600,-1.7825,71548,-23124,-46838,9432,-30811,1952,-1020,0,-26391,-1586,0,0
2016-07-07,27850,28550,27600,28400,194010,5509884000,3.0853,-63801,17913,44918,11864,23164,5200,2656,0,2034,970,0,0
2016-07-08,28500,28850,28100,28550,151917,4337230350,0.5282,-8462,-45502,53871,7406,23188,314,35353,0,-12390,-65,158,0
2016-07-11,28600,28850,28450,28600,101365,2899039000,0.1751,-29925,-22765,52089,881,163,0,36802,0,14243,601,0,0
2016-07-12,28600,28750,28100,28300,123408,3492446400,-1.049,28465,-32177,1273,-7268,-14755,17061,-324,0,6559,2424,15,0
2016-07-13,28150,28500,27950,28100,134843,3789088300,-0.7067,18569,-5705,-11594,2645,-1876,9487,-5096,0,-5855,-1270,0,-10899
2016-07-14,28350,28850,28050,28550,241976,6908414800,1.6014,-67298,27122,39076,6639,55394,19994,-257,0,-42694,1100,0,0
2016-07-15,28800,29750,28800,29300,407549,11941185700,2.627,-121314,34682,82120,15634,19694,19486,26803,1460,-957,4098,414,0
2016-07-18,29550,29650,29250,29400,136764,4020861600,0.3413,-22042,-9194,23718,4233,16720,5453,-3903,0,1215,7518,0,0
2016-07-19,29500,29500,28600,28650,169859,4866460350,-2.551,59449,-59262,1454,23908,764,-423,-20007,0,-2788,-1653,12,0
