date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,48778,48778,47403,47551,10491,498857541,-2.7129,3831,-1146,-2744,-1497,-222,-71,146,0,-1100,50,9,0
2016-05-27,47943,47943,47256,47551,7442,353874542,0.0,825,764,-879,-768,696,-325,-203,0,-279,-712,2,0
2016-05-30,47403,47600,46617,46912,13275,622756800,-1.3438,2110,832,-2146,-1679,-224,630,262,-1,-1131,-799,3,-3
2016-05-31,47157,47943,46764,47649,18018,858539682,1.571,-1403,401,992,1522,103,562,-406,0,-895,10,0,106
2016-06-01,47305,47452,46470,46618,18418,858610324,-2.1637,9438,-2663,-6973,-4108,-385,-801,-173,100,-1606,179,19,0
2016-06-02,46617,47059,46470,46519,12343,574184017,-0.2124,2459,1585,-5499,-1377,-1533,-577,-60,0,-1952,1456,-1,0
2016-06-03,46617,47010,46568,46667,11658,544043886,0.3181,-336,2917,-2705,-1889,-934,-505,-71,-43,737,123,1,0
2016-06-07,46666,47354,46617,47158,11584,546278272,1.0521,-1018,952,-2,-309,27,-93,-233,0,676,69,-1,-70
2016-06-08,46814,47059,46519,46667,14966,698418322,-1.0412,3224,-1446,-2596,55,-1108,-108,-1503,-11,700,758,60,-621
2016-06-09,46814,46961,45929,45930,29549,1357185570,-1.5793,6541,7457,-14063,-1669,-9916,-2208,-1793,0,1523,58,7,0
2016-06-10,46077,46863,46028,46814,12639,591682146,1.9247,-2206,3097,-957,-1091,-1048,-794,-532,0,2508,76,-10,0
2016-06-13,46322,46568,45536,45635,11400,520239000,-2.5185,4209,-2587,-1796,-1072,-797,-773,247,192,407,103,71,0
2016-06-14,45831,45880,45192,45733,9923,453808559,0.2147,1813,1127,-2956,250,-498,-607,-1197,0,-904,3,13,0
2016-06-15,45438,45733,44996,44996,13548,609605808,-1.6115,5325,-1660,-3964,-1211,-558,-297,239,0,-2120,293,6,-17
2016-06-16,44996,45389,44750,44898,15506,696188388,-0.2178,1203,3659,-5468,-712,-1272,-825,-161,0,-2498,468,138,0
2016-06-17,45438,45733,44898,45340,10046,455485640,0.9845,-257,548,-318,-338,-419,-916,646,316,393,29,-2,0
2016-06-20,45929,45978,44800,45242,11577,523766634,-0.2161,2055,349,-2416,-1521,-646,214,377,16,-856,12,0,0
2016-06-21,45242,45635,45045,45242,8094,366188748,0.0,620,2094,-2661,-1605,-838,-39,24,0,-403,-53,0,200
2016-06-22,45242,45782,44849,44996,16213,729520148,-0.5437,4578,4842,-9641,-3770,-4754,-232,-1279,121,273,222,-1,0
2016-06-23,44849,44996,43473,44014,31545,1388421630,-2.1824,8142,5881,-13583,-4231,-3993,-972,-2517,0,-1865,-433,-7,-5
2016-06-24,44308,44898,43621,44063,47248,2081888624,0.1113,-12515,26971,-14181,-5254,-3908,-1005,-1101,-405,-2724,-270,-5,216
2016-06-27,43817,45340,43768,45242,25190,1139645980,2.6757,-7399,10502,-2979,-2260,-525,-61,498,5,-636,-129,5,0
2016-06-28,44947,45536,44750,44849,15278,685203022,-0.8687,1151,6279,-7401,-919,-3968,-1111,-1268,190,-317,-21,-8,-8
2016-06-29,44898,45536,44898,45242,10242,463368564,0.8763,-1428,2440,-1012,1603,99,-100,-800,0,-1814,0,0,0
2016-06-30,45438,46371,45389,46274,14420,667271080,2.2811,-4098,8839,-4561,-611,-1472,16,-1090,0,-1421,-140,-40,17
2016-07-01,45929,46568,45782,45881,16933,776902973,-0.8493,535,4873,-5071,-1861,-210,-1130,-1729,42,-183,-40,-297,0
2016-07-04,45733,46077,45291,45389,7530,341779170,-1.0723,2494,339,-2895,-2549,340,-41,95,0,-395,50,12,-345
2016-07-05,45242,45880,45094,45733,8762,400712546,0.7579,250,1837,-2071,-329,349,-1933,163,5,-230,-16,0,-96
2016-07-06,45684,46077,45143,45193,16554,748124922,-1.1808,469,3743,-4419,-457,-1360,-1781,-1195,-4,378,207,0,0
2016-07-07,45438,45585,44849,44996,14481,651587076,-0.4359,1123,1199,-2352,-1063,-256,0,-342,0,-353,50,-20,-338
2016-07-08,45094,45438,44259,44505,19373,862195365,-1.0912,4180,1221,-5402,-1738,-766,-503,-1439,0,-956,-8,9,0
2016-07-11,44800,45094,44161,44407,26857,1192638799,-0.2202,1352,10444,-11683,-3734,-5359,-1220,-970,-58,290,-105,-8,-632
2016-07-12,44407,44456,44161,44309,10529,466529461,-0.2207,589,3028,-3601,-2734,-471,-289,-13,0,-29,-30,14,-65
2016-07-13,44554,46175,44554,45832,28396,1301445472,3.4372,-12316,15600,-3566,-1100,-165,27,-43,23,-2308,313,-31,0
2016-07-14,45831,46077,45192,45586,12790,583044940,-0.5367,916,526,-1494,0,-688,-601,-235,23,7,47,5,0
2016-07-15,45635,46077,45585,46077,16085,741148545,1.0771,-4983,7415,-2459,-174,-1938,-37,458,21,-639,34,-7,-150
2016-07-18,46077,46077,45242,45586,10104,460600944,-1.0656,618,1294,-1913,-668,-2303,109,0,0,992,0,1,-43
2016-07-19,45487,46028,45340,46028,9722,447484216,0.9696,-1372,3710,-2284,-107,-1968,-66,60,0,-203,-52,-2,0
2016-07-20,45978,46617,45782,46618,10800,503474400,1.2818,-5005,5044,-119,-29,-850,262,794,162,-471,96,-16,13
2016-07-21,46568,46617,45733,45979,8592,395051568,-1.3707,695,408,-1139,-608,-809,-608,-565,-4,1555,36,0,-100
2016-07-22,45880,46028,45487,45684,5677,259348068,-0.6416,13,1424,-1454,0,-1334,113,-353,-96,216,27,-10,0
2016-07-25,45929,46322,45536,46126,8684,400558184,0.9675,-774,2375,-1509,-710,26,-1288,199,0,264,-86,-6,0
2016-07-26,45978,45978,45389,45439,6349,288492211,-1.4894,1573,-418,-1168,-496,-1154,16,-179,-1,857,6,7,-211
2016-07-27,45094,45438,44898,44996,12139,546206444,-0.9749,2131,127,-2318,-568,-2121,-4,107,0,268,56,4,0
2016-07-28,44947,45635,44947,45439,6997,317936683,0.9845,530,1092,-1367,-17,-570,93,-131,0,-360,-255,0,-382
2016-07-29,45192,45733,45094,45242,10011,452917662,-0.4335,-756,1112,-376,346,-190,1,306,8,-855,20,0,8
2016-08-01,45192,45684,44898,45389,7941,360434049,0.3249,-1069,2385,-1316,-62,-865,119,330,0,-838,0,0,0
2016-08-02,45045,45684,44996,45144,8709,393159096,-0.5398,-251,2295,-2044,-111,-1027,-503,260,30,-693,0,0,0
2016-08-03,45045,45536,44603,44604,20345,907468380,-1.1962,3148,4959,-8189,-2311,-879,-683,-3219,28,-1125,26,56,0
2016-08-04,44898,44898,44112,44260,22721,1005631460,-0.7712,3492,7097,-9326,-1862,-444,-1093,-4524,0,-1121,-1279,16,-282
2016-08-05,44505,44505,42098,43375,46988,2038104500,-1.9995,6292,16658,-22009,-6386,-7732,-2764,-2644,-53,-2009,-952,11,-421
2016-08-08,43031,44456,42982,44456,22056,980521536,2.4922,-6018,8112,-2123,-1340,740,-336,-440,0,-725,29,0,-22
2016-08-09,44210,44456,43915,44112,9529,420343248,-0.7738,1531,301,-1837,-2105,-1234,146,1194,0,293,5,0,-131
2016-08-10,44112,44701,44063,44456,20958,931708848,0.7798,290,7243,-7503,-3126,-3008,-870,-272,-24,-203,-30,0,0
2016-08-11,44456,44456,43621,44211,17120,756892320,-0.5511,5199,1505,-6791,-3512,-944,174,-2383,32,588,47,40,-746
2016-08-12,43964,44800,43670,44112,14723,649460976,-0.2239,849,1951,-2792,-3033,-1398,617,-215,-25,1262,-4,-4,0
2016-08-16,44161,44505,43768,44407,8856,393268392,0.6688,-1053,2733,-1680,-761,-1272,43,-125,0,435,0,0,0
2016-08-17,41754,42589,36792,38463,213780,8222620140,-13.3853,64293,-25242,-43373,-22523,-8503,-2942,-3043,0,-5269,4258,64,-1093
2016-08-18,38119,38119,36842,37284,80961,3018549924,-3.0653,24637,-1873,-21750,-9648,-6804,-1518,-95,0,-3189,-1024,10,-496
