date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,112000,113000,108000,113000,1981,223853000,0.8929,-1175,336,839,0,636,219,-6,0,-10,0,0,0
2016-05-27,111000,114000,110500,112000,1826,204512000,-0.885,-155,188,-33,-482,324,0,147,0,-32,0,0,10
2016-05-30,111500,113000,110000,112500,1610,181125000,0.4464,-358,129,229,-178,420,0,-113,0,99,0,0,1
2016-05-31,112500,113500,111000,113500,2186,248111000,0.8889,-414,407,7,368,-437,0,87,0,-18,0,0,7
2016-06-01,113500,114500,113500,114500,2220,254190000,0.8811,-1113,463,650,593,-421,0,447,0,13,0,0,18
2016-06-02,114500,114500,109500,112000,4003,448336000,-2.1834,-698,-709,1407,-161,1448,234,-123,0,8,0,0,1
2016-06-03,110500,112500,109500,110000,1134,124740000,-1.7857,-29,-299,328,0,537,68,-258,0,-19,0,0,0
2016-06-07,109500,111000,108500,109500,1706,186807000,-0.4545,447,-1366,919,0,977,-11,-46,0,-1,0,0,0
2016-06-08,109000,109000,103500,103500,14451,1495678500,-5.4795,3556,-3500,-63,1620,-1760,0,30,0,45,2,5,2
2016-06-09,104000,104000,97300,101000,27428,2770228000,-2.4155,4961,-377,-3209,233,-6425,0,321,0,2855,-1375,0,-193
2016-06-10,101000,105000,98600,103500,7395,765382500,2.4752,-176,-467,3093,0,2879,0,1,0,213,-2510,60,0
2016-06-13,103000,104000,102000,102000,2512,256224000,-1.4493,-408,130,1250,7,1195,0,13,0,35,-972,0,0
2016-06-14,102000,103000,100500,102500,2045,209612500,0.4902,-156,-478,990,0,1000,0,-10,0,0,-356,0,0
2016-06-15,101500,102500,99100,99100,1953,193542300,-3.3171,111,-380,843,0,600,250,-7,0,0,-574,0,0
2016-06-16,99200,101000,98900,100000,3869,386900000,0.9082,-619,-557,1503,0,1485,0,70,-56,4,-327,0,0
2016-06-17,97600,100500,97600,99800,2582,257683600,-0.2,-759,-11,775,126,632,0,30,-13,0,-5,0,0
2016-06-20,99700,101500,98500,100500,1391,139795500,0.7014,-173,-428,581,0,579,65,273,0,-336,20,0,0
2016-06-21,99500,101500,99500,101000,1245,125745000,0.4975,-261,-212,491,-206,727,0,-4,-26,0,-18,0,0
2016-06-22,101000,103500,100000,103500,1884,194994000,2.4752,-974,-334,984,777,208,0,-1,0,0,324,0,0
2016-06-23,103000,105000,102500,105000,3028,317940000,1.4493,-1610,-327,1921,1019,1223,0,26,0,-347,0,16,0
2016-06-24,105000,105500,100000,103000,3167,326201000,-1.9048,-1526,-817,2212,231,1804,0,142,0,35,136,-5,0
2016-06-27,101000,102500,100500,101000,802,81002000,-1.9417,171,-309,187,16,321,0,23,0,-173,-49,0,0
2016-06-28,100500,101500,100000,100500,390,39195000,-0.495,47,-55,8,0,0,0,8,0,0,0,0,0
2016-06-29,100000,100500,99300,100000,32552,3255200000,-0.4975,607,-358,-259,-5425,-215,5214,167,0,0,10,0,0
2016-06-30,101000,102000,100000,101500,1041,105661500,1.5,-98,124,-26,-250,80,0,144,0,0,0,0,0
2016-07-01,101500,103500,100000,101000,4434,447834000,-0.4926,546,18,-622,-2440,-116,0,1934,0,0,58,0,0
2016-07-04,101000,103000,100000,103000,4521,465663000,1.9802,-191,245,-79,-2997,-282,2,3198,0,0,25,0,0
2016-07-05,104000,104000,102500,104000,3386,352144000,0.9709,-162,-146,308,-1777,461,1621,218,0,-215,0,0,0
2016-07-06,104000,104500,101500,104000,3488,362752000,0.0,-964,-227,1241,-1184,1641,158,-3,-169,798,-50,0,0
2016-07-07,105000,105000,101500,103000,3637,374611000,-0.9615,1485,-1048,-437,-1555,899,186,-153,0,186,0,0,0
2016-07-08,103000,103000,99800,99800,2573,256785400,-3.1068,693,-669,-24,-1184,1161,0,-2,0,1,0,0,0
2016-07-11,101500,101500,99100,99600,2337,232765200,-0.2004,440,-279,-161,-1184,285,0,738,0,0,0,0,0
2016-07-12,99100,100000,97600,99800,3730,372254000,0.2008,579,162,-841,-421,-791,0,371,0,0,100,0,0
2016-07-13,99600,102000,97800,98300,5830,573089000,-1.503,2361,-102,-2279,-2424,-466,631,-1,0,-19,20,0,0
2016-07-14,99500,101000,98000,100500,2748,276174000,2.238,-1939,61,1578,1000,-60,520,118,0,0,0,300,0
2016-07-15,100500,103000,99500,102500,4977,510142500,1.99,-574,274,296,1000,-1816,0,1111,0,1,94,-90,0
2016-07-18,102500,104500,102000,103500,2814,291249000,0.9756,640,-1221,807,500,309,0,-2,0,0,-16,-210,0
2016-07-19,102500,104000,101000,102000,5102,520404000,-1.4493,645,-75,-604,-1336,653,0,79,0,0,-6,40,0
2016-07-20,102000,105000,101000,104500,2192,229064000,2.451,-1118,43,1079,1000,-361,-71,511,0,0,-4,0,0
2016-07-21,104500,105000,103000,105000,1408,147840000,0.4785,-465,-10,511,500,217,3,-210,0,1,-36,0,0
2016-07-22,103500,106000,103500,106000,1525,161650000,0.9524,-1060,70,996,434,389,173,0,0,0,-6,0,0
2016-07-25,104500,107000,104500,105500,2245,236847500,-0.4717,-725,2,668,0,446,0,222,0,0,55,0,0
2016-07-26,105500,107000,104500,106500,1086,115659000,0.9479,-8,-164,177,500,-223,-100,0,0,0,-5,0,0
2016-07-27,105500,107000,104000,104000,1052,109408000,-2.3474,-281,-138,424,500,-266,0,-1,0,191,-5,0,0
2016-07-28,103000,106000,103000,105000,1059,111195000,0.9615,61,97,-53,500,-519,0,-6,0,-28,-105,0,0
2016-07-29,104000,105500,102500,105500,3686,388873000,0.4762,1462,22,-1635,0,-300,843,-2178,0,0,151,0,0
2016-08-01,104000,107000,104000,105500,579,61084500,0.0,-275,-91,371,0,11,40,-2,0,322,-5,0,0
2016-08-02,105000,106000,105000,106000,1654,175324000,0.4739,-1209,189,1020,0,417,37,3,0,563,0,0,0
2016-08-03,105500,106500,104500,106000,1109,117554000,0.0,62,-370,288,500,-200,38,-3,0,-47,20,0,0
2016-08-04,106000,107000,105000,106000,1758,186348000,0.0,-920,-49,969,0,-19,914,74,0,0,0,0,0
2016-08-05,105500,106000,104500,105000,933,97965000,-0.9434,-441,-85,546,500,48,0,-2,0,0,-20,0,0
2016-08-08,104500,106000,104000,104500,1401,146404500,-0.4762,-739,171,568,0,-32,600,0,0,0,0,0,0
2016-08-09,104500,104500,103500,104500,222,23199000,0.0,-49,-40,72,0,60,1,11,0,0,17,0,0
2016-08-10,104500,104500,102000,102000,2285,233070000,-2.3923,972,-16,-928,-986,-44,118,-1,0,-15,-30,2,0
2016-08-11,102000,103000,101000,101000,1344,135744000,-0.9804,367,39,-406,-19,136,-409,-102,0,-12,0,0,0
2016-08-12,102000,103000,101000,103000,3999,411897000,1.9802,802,-125,209,411,805,-1121,114,0,0,-886,0,0
2016-08-16,104000,104000,102000,102500,3496,358340000,-0.4854,2487,0,-2704,0,-34,-2053,-542,0,-75,219,-2,0
2016-08-17,102500,104000,102500,103000,2623,270169000,0.4878,550,1000,-1572,0,152,-1722,-1,0,-1,22,0,0
2016-08-18,103000,104000,103000,103000,2187,225261000,0.0,-398,675,-44,0,138,-190,8,0,0,-233,0,0
