date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,358201,358201,353372,358201,15270,5469729270,0.369,-2960,-3606,6570,5031,230,-70,162,-130,1347,-10,6,0
2016-05-27,359518,359518,355128,359079,11154,4005167166,0.2451,-3718,-1827,5581,3466,811,260,308,0,729,-41,5,7
2016-05-30,355128,358640,349860,353373,14060,4968424380,-1.5891,816,-5231,4701,2679,611,924,-80,-2,569,-286,0,0
2016-05-31,351177,356884,350738,355128,17020,6044278560,0.4966,-729,1763,-1039,-532,393,0,-46,320,-1174,0,5,0
2016-06-01,352055,355567,351177,352934,13316,4699669144,-0.6178,1361,-1356,-27,-1589,3326,-88,657,95,-2428,10,12,0
2016-06-02,351177,352933,344593,345910,30433,10527079030,-1.9902,10919,-72,-11073,-4973,-339,-2456,-483,0,-2262,253,-27,-560
2016-06-03,346788,352933,346788,349861,19545,6838033245,1.1422,-2720,-21,2746,990,108,-64,-2959,0,4671,-8,3,0
2016-06-07,349860,351177,348104,350300,17090,5986627000,0.1255,3277,-3747,210,-1242,525,-58,-1558,300,2626,240,20,-383
2016-06-08,348543,351616,347665,351617,13314,4681428738,0.376,1024,1717,-2681,-97,-1682,-108,-2260,-108,1574,-60,0,0
2016-06-09,350299,352494,345910,347227,33413,11601895751,-1.2485,7890,2733,-11093,-5590,-4893,-343,-1621,-8,1793,470,0,-431
2016-06-10,347226,352494,347226,350300,16599,5814629700,0.885,-3069,3038,177,-1262,839,-93,-606,-1782,3081,-146,0,0
2016-06-13,348982,349421,344593,345032,14514,5007794448,-1.5039,5095,94,-5150,93,-3925,388,-11,-3203,1508,-39,0,0
2016-06-14,343715,345032,332740,332741,46848,15588250368,-3.5623,21256,-12377,-9552,-2277,-4229,431,3295,-3488,-2956,659,14,-328
2016-06-15,320888,345471,320010,331863,581211,192882426093,-0.2639,7127,102259,283461,89360,124090,28085,25759,414,12854,-392862,15,2899
2016-06-16,335813,335813,326156,327034,34604,11316684536,-1.4551,8331,-7068,-1361,1323,1550,-2558,926,-62,-2540,80,18,0
2016-06-17,330546,334057,322205,327473,31726,10389408398,0.1342,4970,-7657,2100,960,1042,-88,64,531,-343,567,20,-66
2016-06-20,331862,335374,328790,332741,21712,7224472592,1.6087,-2582,2629,-45,-1964,1371,2767,983,0,-3207,0,-2,5
2016-06-21,331862,338447,330546,337570,22114,7465022980,1.4513,-3324,-2374,5737,6876,-1481,-1918,-120,-27,2407,-39,0,0
2016-06-22,334057,339764,333618,338009,19601,6625314409,0.13,-196,637,-632,-1580,-200,-560,760,0,948,195,-4,0
2016-06-23,337130,338008,328351,333180,24170,8052960600,-1.4287,5289,1041,-5213,-3829,2151,-2599,-1001,0,65,-1209,92,0
2016-06-24,334496,334496,315620,319133,50682,16174298706,-4.216,15787,-5250,-9527,-3408,-34,24,-730,-378,-4788,-1045,35,-213
2016-06-27,314743,323083,314743,323084,21959,7094601556,1.238,-5156,1021,3769,-805,1111,-575,738,-64,3364,380,-14,0
2016-06-28,317376,323522,317376,320450,19998,6408359100,-0.8153,3044,-9158,6052,454,1240,-83,-420,-136,4997,34,28,0
2016-06-29,322205,329229,321766,327473,19222,6294686006,2.1916,-2056,1703,247,1167,2248,-146,-155,-141,-2726,111,-5,0
2016-06-30,328351,336252,326156,334058,39910,13332254780,2.0109,-7172,-5552,12815,-519,6000,1490,2703,2,2762,-86,-5,377
2016-07-01,334057,340642,328790,336692,26223,8829074316,0.7885,-8252,-4068,12826,8582,-347,58,6361,130,-1958,-512,6,0
2016-07-04,336691,339764,331424,331863,18235,6051521805,-1.4342,4051,-2319,-1861,-1485,2136,-1347,1335,0,-1604,109,20,-896
2016-07-05,329668,334057,326595,329229,18399,6057484371,-0.7937,6682,-2168,-4801,-4494,602,-401,-165,35,-89,276,11,-289
2016-07-06,327912,336252,321766,325717,20322,6619220874,-1.0667,5324,-1309,-4195,-1609,-94,-578,-488,0,-1426,168,12,0
2016-07-07,324839,330985,323083,323522,22588,7307714936,-0.6739,7130,-1886,-5973,-3757,4245,-56,-542,-7630,1767,486,243,0
2016-07-08,323083,326595,321766,324839,10095,3279249705,0.4071,-1158,-327,1509,1362,117,129,581,0,-680,-25,1,0
2016-07-11,328790,330985,324839,327473,13265,4343929345,0.8109,-3083,1160,923,-722,-293,274,-384,0,2199,1000,0,-151
2016-07-12,326595,331423,325278,331424,17449,5783017376,1.2065,-3582,176,3122,-1416,1703,-191,1350,0,2120,288,-4,-444
2016-07-13,331423,334935,330546,332741,19106,6357349546,0.3974,-483,5,328,1467,585,733,-84,0,-2112,150,0,-261
2016-07-14,332740,332740,324400,327912,22770,7466556240,-1.4513,12245,-939,-11665,-3815,-3968,-262,-3968,1396,-1048,357,2,0
2016-07-15,328351,329229,325278,328351,17857,5863363807,0.1339,1022,3244,-6054,3046,-6699,-290,-1580,500,-766,1788,0,-265
2016-07-18,326595,330985,326595,330546,16644,5501607624,0.6685,-48,1356,-1220,-4685,2392,-1011,715,-2,1371,-88,0,0
2016-07-19,330985,332740,327034,327912,17289,5669270568,-0.7969,3073,-1482,-1764,-4404,1983,227,87,0,454,-7,180,-111
2016-07-20,327473,330985,326156,330546,13352,4413450192,0.8033,-1545,1192,-289,-802,-375,-179,2419,0,-1352,237,405,0
2016-07-21,330985,335813,330546,335814,31752,10662766128,1.5937,-8998,3628,4843,-3197,574,1809,4196,-1906,3367,131,396,0
2016-07-22,334496,342837,332301,340203,42381,14418143343,1.307,-9146,-2391,9459,5908,-4077,748,4204,137,1674,2077,1,865
2016-07-25,337569,342398,337569,341081,19733,6730551373,0.2581,-986,-639,2571,-1285,2158,150,980,0,568,-946,0,0
2016-07-26,338886,341520,333618,337570,23802,8034841140,-1.0294,4885,4048,-7389,-4632,465,-4186,1205,-1,113,-1545,1,-353
2016-07-27,338886,345910,337130,345910,38495,13315805450,2.4706,-8287,18700,-10384,-5503,1118,-6109,-2113,-3,2226,-13,-16,0
2016-07-28,344154,355567,342398,354251,55199,19554300949,2.4113,-18561,-4005,22378,4659,13007,4447,1103,-622,85,188,0,-301
2016-07-29,354250,354250,345032,346349,27212,9424848988,-2.2306,3660,-11471,7723,6574,293,1749,-1042,0,119,83,5,30
2016-08-01,346349,349421,343276,347227,12342,4285475634,0.2535,905,-991,40,-758,-789,1668,-182,0,101,69,-23,0
2016-08-02,344154,345032,339325,343715,14139,4859786385,-1.0114,87,-99,-150,2026,-684,-381,-130,0,-981,162,0,0
2016-08-03,339325,343715,337569,338009,15487,5234745383,-1.6601,3594,-1308,-3191,-514,704,-469,-1037,-4,-1871,905,0,0
2016-08-04,338447,358640,338447,358201,68328,24475157928,5.9738,-21432,-7654,29815,19811,269,8845,-420,247,920,-339,-390,143
2016-08-05,354689,370053,354689,366542,119627,43848319834,2.3286,-28601,-28177,56000,32007,1102,11917,6655,361,4026,779,-1,-68
2016-08-08,366980,374004,365224,372687,58648,21857347176,1.6765,-17577,-3090,20809,17512,2448,-466,3544,-151,-1578,-142,0,-500
2016-08-09,374004,377516,369175,374882,48890,18327980980,0.589,-8237,-1319,9837,3289,1647,2201,1640,-79,1503,-225,-56,-364
2016-08-10,370931,376638,364785,366542,49660,18202475720,-2.2247,2992,9911,-12147,1062,-10397,-4000,-2153,-10,3707,-749,-7,-356
2016-08-11,366541,370492,366102,369615,22658,8374736670,0.8384,-1570,-933,2466,5497,-2939,236,-2053,-8,1733,48,-11,0
2016-08-12,366980,373126,360835,368298,47674,17558238852,-0.3563,493,9148,-9539,-11217,-292,840,-2362,-553,3728,-91,-11,317
2016-08-16,368297,377516,366102,377516,39372,14863559952,2.5029,-13906,3563,11838,5336,312,5532,-788,-50,1496,-1186,-309,0
2016-08-17,374004,376199,366541,374882,26021,9754804522,-0.6977,2258,-4840,2580,-3200,4649,638,-184,0,677,-3,5,0
2016-08-18,370931,381027,366102,379711,40032,15200590752,1.2881,788,-5833,5676,1140,5781,926,-347,127,-2054,-629,-2,103
2016-08-19,374882,380588,374004,379272,40903,15513362616,-0.1156,-2045,-12376,18361,8811,6547,-262,1628,273,1364,-3959,19,0
2016-08-22,379271,380149,373565,377955,36899,13946161545,-0.3472,-7234,-10269,18025,5035,10912,107,-702,-3,2676,-522,0,0
2016-08-23,377955,379271,370053,376199,26046,9798479154,-0.4646,-342,-3797,4146,4655,997,-918,-916,0,328,-7,0,0
2016-08-24,373126,375321,368736,370931,31108,11538921548,-1.4003,1128,8858,-9886,-611,-4336,-3770,-687,0,-494,-150,50,12
