date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,164121,165119,159631,160131,67333,10782100623,-2.4311,9621,3269,-13003,-4754,-3877,-4867,-1528,2863,-840,98,15,0
2016-05-27,161128,163622,159132,161627,48630,7859921010,0.9342,-3822,3380,248,1104,-620,1081,266,-1203,-380,0,194,0
2016-05-30,161128,166615,161128,166117,68727,11416723059,2.778,-19784,10509,10825,21390,-1286,-6648,-390,0,-2241,-1550,0,0
2016-05-31,166116,167613,163123,166616,153207,25526737512,0.3004,6145,-18087,10065,15105,603,4109,-6084,0,-318,1876,1,-3350
2016-06-01,165119,168611,164620,168112,86535,14547571920,0.8979,-14582,4103,10636,11722,1253,3216,684,483,-6722,-189,32,0
2016-06-02,167613,171604,165119,170606,88944,15174380064,1.4835,-20587,-6164,24933,28170,3913,4363,-3385,-192,-7936,1798,20,0
2016-06-03,170606,171604,167114,168611,62008,10455230888,-1.1694,2422,-17828,15395,10979,-843,-1311,-2609,-12,9191,36,-25,0
2016-06-07,167613,170606,167114,167613,81525,13664649825,-0.5919,4772,-10622,6345,10243,-1467,-2963,-1936,2339,625,-495,0,-496
2016-06-08,166615,173100,165617,173101,119664,20713958064,3.2742,-14427,14844,1003,10405,-23313,19591,-3862,-432,481,-1250,-170,-1867
2016-06-09,172102,173599,168611,169110,117602,19887674220,-2.3056,7372,15484,-24948,-4043,-23781,383,-8907,2574,8826,745,1347,0
2016-06-10,169608,171105,163622,168112,122659,20620449808,-0.5901,13274,19032,-31497,-21781,-14597,-484,-6333,1177,12130,-798,-11,-1609
2016-06-13,166116,168112,164620,165618,95646,15840699228,-1.4835,-4199,-560,3767,-2701,-3845,12628,-6601,0,4554,997,-5,-268
2016-06-14,165119,168611,164620,166616,81425,13566707800,0.6026,3024,-9837,6333,2478,-1776,14414,-3211,1470,-7042,369,111,0
2016-06-15,165119,167114,162624,162625,60561,9848732625,-2.3953,10476,-13305,2797,4967,9044,-2354,476,5,-9341,1,31,0
2016-06-16,163622,164620,161128,162625,57064,9280033000,0.0,6474,3743,-10221,-2793,5725,7357,1143,-9076,-12577,-2,6,0
2016-06-17,162624,164620,159132,159133,68215,10855257595,-2.1473,14888,-9845,-5008,-1891,-4463,-2658,-86,600,5412,-36,1,-1922
2016-06-20,161627,163622,160629,161627,47034,7601964318,1.5672,-2571,2972,629,-7012,5025,3665,-2465,2691,-1275,-1030,0,0
2016-06-21,161627,165617,161627,162625,70182,11413347750,0.6175,343,423,-767,-7133,7159,1104,-30,0,-3368,-1,2,1501
2016-06-22,162624,165119,161627,165119,59371,9803280149,1.5336,-1041,-2598,3570,-11882,4942,9208,-4628,4650,1280,80,-11,0
2016-06-23,163622,165119,162126,163124,53185,8675749940,-1.2082,-1679,-6116,9520,-2091,9808,-8112,739,187,8989,-1726,1,0
2016-06-24,163622,165617,153645,159133,138034,21965764522,-2.4466,8602,16551,-24717,270,-2873,-11006,-3236,-16,-8342,-474,38,486
2016-06-27,154643,159631,154643,159133,68986,10977949138,0.0,-7932,-4119,16476,6346,3384,360,-1056,0,7504,-4446,21,-62
2016-06-28,158634,161627,157137,161627,73752,11920314504,1.5672,-960,-814,1914,8385,184,-136,394,-357,-6058,-126,-14,-498
2016-06-29,161128,167114,160130,163623,91836,15026481828,1.2349,-160,-5297,5117,3606,-1956,475,973,-327,2202,331,9,144
2016-06-30,164620,168112,163622,167115,119920,20040430800,2.1342,-16968,1362,13326,9516,2234,10083,1819,-2363,-8063,2269,11,100
2016-07-01,167114,168112,164620,164620,92874,15288917880,-1.493,19844,-15535,-6925,-20033,536,4753,249,2053,5432,2627,-11,85
2016-07-04,164620,167613,163622,164121,92257,15141311097,-0.3031,12353,20799,-34506,-15388,-10904,-429,-3249,227,-6573,1204,150,1810
2016-07-05,164620,168611,164121,167613,82995,13911040935,2.1277,-31569,9191,17930,-6378,16926,-69,1272,-467,6646,4448,0,0
2016-07-06,169109,170606,165617,169609,119853,20328147477,1.1908,-19111,-11273,23494,6399,10250,-4822,8618,-300,2991,6955,-65,358
2016-07-07,171604,172103,169109,171105,71451,12225623355,0.882,-22863,-9077,32679,25301,-3321,4609,-46,815,5321,-643,-96,0
2016-07-08,170107,171604,159631,163124,192400,31385057600,-4.6644,36806,-3290,-34193,-428,-2369,-3056,-14934,-1406,-11517,558,119,-483
2016-07-11,161128,162126,155640,159133,213226,33931293058,-2.4466,43241,21343,-59235,-32986,-24350,-2358,-615,-2563,4080,-5323,-26,-443
2016-07-12,158634,160629,156638,157636,142842,22517041512,-0.9407,32068,1006,-34384,-30415,-1489,2608,-6027,-16,1415,1143,167,-460
2016-07-13,158135,160130,156638,158634,124602,19766113668,0.6331,10739,27168,-42958,-14838,-4037,-1936,-10799,-157,-2951,5022,29,-8240
2016-07-14,158634,160130,155640,157138,116743,18344761534,-0.9431,19479,25756,-45219,-2438,-16633,-1275,-29845,-11,4983,-35,19,0
2016-07-15,158634,162624,158135,162625,148725,24186403125,3.4918,-44096,28509,13403,34122,-13350,3830,-5856,130,-3400,2294,-110,-2073
2016-07-18,162126,164620,160629,163623,94560,15472190880,0.6137,-14566,-8977,26135,31125,-14846,5378,10543,28,-6083,-2573,-19,-10
2016-07-19,164620,164620,160629,164121,105457,17307708297,0.3044,-21366,-5389,27168,24538,-3165,10483,5956,-63,-10581,-353,-60,0
2016-07-20,164121,164121,161128,163623,103585,16948888455,-0.3034,-2851,-1267,3694,15012,11619,-7435,-6692,300,-9009,420,4,-101
2016-07-21,162624,163622,157137,158634,156065,24757215210,-3.0491,39005,-33295,-5755,22643,-6448,-11794,-17126,0,7252,50,-5,-282
