date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,31198,31198,29730,30540,229,6993660,-2.1154,-25,9,1,0,0,0,0,0,1,15,0,0
2016-05-27,29878,30245,29657,30026,155,4654030,-1.683,56,-56,0,0,0,0,0,0,0,0,0,0
2016-05-30,30025,30686,29952,30173,146,4405258,0.4896,5,-5,0,0,0,0,0,0,0,0,0,0
2016-05-31,30097,30610,29804,30466,63,1919358,0.9711,10,-10,0,0,0,0,0,0,0,0,0,0
2016-06-01,29804,30611,29804,30613,116,3551108,0.4825,1,0,-1,0,0,0,0,0,-1,0,0,0
2016-06-02,31126,31126,30172,31127,169,5260463,1.679,-55,0,55,0,0,0,0,55,0,0,0,0
2016-06-03,31125,32153,29877,32008,414,13251312,2.8303,-289,0,289,0,0,0,0,289,0,0,0,0
2016-06-07,32005,32226,31198,31714,24,761136,-0.9185,-8,0,8,0,0,0,8,0,0,0,0,0
2016-06-08,31418,31638,31198,31641,79,2499639,-0.2302,-30,0,0,0,0,0,0,0,0,30,0,0
2016-06-09,31125,31492,31125,31494,97,3054918,-0.4646,-46,0,-4,0,0,0,0,0,-4,50,0,0
2016-06-10,31420,31420,30980,31200,55,1716000,-0.9335,4,0,-4,0,0,0,0,0,-4,0,0,0
2016-06-13,31272,31785,31198,31714,203,6437942,1.6474,-32,0,32,0,3,0,29,0,0,0,0,0
2016-06-14,31712,31712,30831,31714,19,602566,0.0,-4,0,4,0,0,0,4,0,0,0,0,0
2016-06-15,30905,31565,30905,31567,13,410371,-0.4635,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-16,30464,30978,30464,30760,5,153800,-2.5565,-1,0,1,0,0,0,0,0,1,0,0,0
2016-06-17,29584,31127,29584,30099,56,1685544,-2.1489,0,-1,1,0,0,0,1,0,0,0,0,0
2016-06-20,29805,30392,29805,30173,30,905190,0.2459,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-21,30172,30172,29437,30026,74,2221924,-0.4872,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-22,30024,30684,30024,30319,18,545742,0.9758,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-23,30024,31858,30024,31714,244,7738216,4.6011,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-24,31273,32814,31200,32081,498,15976338,1.1572,-4,-1,5,0,0,0,0,0,5,0,0,0
2016-06-27,32228,32228,30980,31053,609,18911277,-3.2044,250,-200,-50,0,0,0,0,-50,0,0,0,0
2016-06-28,31053,31347,30319,31347,829,25986663,0.9468,221,-323,-293,0,0,0,1,-294,0,395,0,0
2016-06-29,31053,31493,30759,31421,414,13008294,0.2361,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-30,31052,31565,30831,30833,109,3360797,-1.8714,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-01,31127,31420,30980,31347,60,1880820,1.667,-1,1,0,0,0,0,0,0,0,0,0,0
2016-07-04,31418,31712,31418,31714,43,1363702,1.1708,-2,0,2,0,0,0,2,0,0,0,0,0
2016-07-05,31493,32815,31493,32448,604,19598592,2.3144,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-06,32446,32446,31859,31861,52,1656772,-1.809,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-07,31785,31785,31345,31714,105,3329970,-0.4614,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-08,31713,32154,31566,32155,112,3601360,1.3906,-4,0,0,0,0,0,0,0,0,4,0,0
2016-07-11,32153,33033,32153,33036,216,7135776,2.7399,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-12,33035,33769,32888,33696,248,8356608,1.9978,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-13,34870,34944,34209,34944,334,11671296,3.7037,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-14,35162,35382,35089,35311,681,24046791,1.0503,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-15,34722,35236,34575,35238,288,10148544,-0.2067,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-18,35164,36192,34577,36119,428,15458932,2.5001,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-19,36045,36192,36045,36192,884,31993728,0.2021,-797,0,-3,0,0,0,-3,0,0,800,0,0
2016-07-20,36190,36483,35382,36266,833,30209578,0.2045,-798,0,0,0,0,0,0,0,0,798,0,0
2016-07-21,36118,36118,34870,35605,1050,37385250,-1.8226,-798,0,0,0,0,0,0,0,0,798,0,0
2016-07-22,35605,36412,35605,36119,294,10618986,1.4436,-263,2,0,0,0,0,0,0,0,261,0,0
2016-07-25,36117,36557,35382,35385,851,30112635,-2.0322,8,0,-1,0,0,0,-1,0,0,-7,0,0
2016-07-26,35750,35750,33988,35238,904,31855152,-0.4154,-801,1,0,0,0,0,0,0,0,800,0,0
2016-07-27,35236,35309,35236,35238,112,3946656,0.0,-102,2,0,0,0,0,0,0,0,100,0,0
2016-07-28,36632,36632,35384,35678,66,2354748,1.2487,2,0,-2,0,-1,0,-3,0,2,0,0,0
2016-07-29,35677,36557,35677,36266,54,1958364,1.6481,-16,10,0,0,0,0,0,0,0,6,0,0
2016-08-01,36263,36410,36263,36339,207,7522173,0.2013,-125,0,0,0,0,0,0,0,0,125,0,0
2016-08-02,36337,36483,36337,36339,119,4324341,0.0,-94,0,1,0,0,0,0,0,1,93,0,0
2016-08-03,36337,36484,36337,36413,367,13363571,0.2036,-342,0,0,0,0,0,0,0,0,342,0,0
2016-08-04,36410,36410,35677,36339,823,29906997,-0.2032,-800,0,0,0,0,0,0,0,0,800,0,0
2016-08-05,36410,36410,35677,36339,1905,69225795,0.0,-1790,990,0,0,0,0,0,0,0,800,0,0
2016-08-08,36337,36337,36043,36266,809,29339194,-0.2009,-807,0,7,0,7,0,0,0,0,800,0,0
2016-08-09,36263,36410,36263,36339,236,8576004,0.2013,-203,0,0,0,0,0,0,0,0,203,0,0
2016-08-10,36337,36337,36263,36266,473,17153818,-0.2009,-471,1,0,0,0,0,0,0,0,470,0,0
2016-08-11,36412,36412,35972,35972,19,683468,-0.8107,3,0,-3,0,0,0,0,0,-3,0,0,0
2016-08-12,35457,36118,35457,36119,107,3864733,0.4087,0,0,0,0,0,0,0,0,0,0,0,0
2016-08-16,36190,36190,35015,35018,161,5637898,-3.0483,-8,0,8,0,0,0,9,0,-1,0,0,0
2016-08-17,34134,34208,34061,34137,129,4403673,-2.5158,-7,0,7,0,0,0,7,0,0,0,0,0
2016-08-18,33549,33769,33476,33770,31,1046870,-1.0751,0,0,0,0,0,0,0,0,0,0,0,0
2016-08-19,35091,35091,33256,33770,20,675400,0.0,-11,0,11,0,0,0,0,0,11,0,0,0
2016-08-22,32594,33329,32594,33256,205,6817480,-1.5221,-4,0,4,0,0,0,0,0,4,0,0,0
2016-08-23,33256,33256,32448,32448,117,3796416,-2.4296,19,0,1,0,0,0,0,0,1,-20,0,0
2016-08-24,31640,32301,31640,32301,124,4005324,-0.453,29,-1,2,0,0,0,0,0,2,-30,0,0
2016-08-25,32081,32741,32081,32595,42,1368990,0.9102,-6,0,6,0,0,0,0,0,6,0,0,0
2016-08-26,32595,32595,32521,32522,6,195132,-0.224,1,-1,0,0,0,0,0,0,0,0,0,0
2016-08-29,32521,32595,32521,32595,6,195570,0.2245,-4,0,4,0,0,0,0,0,4,0,0,0
2016-08-30,32521,32595,32521,32595,117,3813615,0.0,-3,-3,6,0,0,0,0,0,6,0,0,0
2016-08-31,32595,32595,32521,32595,44,1434180,0.0,-3,0,3,0,0,0,0,0,3,0,0,0
2016-09-01,32301,32301,32154,32155,77,2475935,-1.3499,64,0,0,0,0,0,0,0,0,-64,0,0
2016-09-02,32154,32741,31566,32301,148,4780548,0.4541,-102,0,2,0,0,0,1,0,1,100,0,0
