date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,61298,62492,60019,61384,6820,418638880,0.1387,-944,1115,-270,-823,37,110,-2,186,222,-1,100,0
2016-05-27,61298,61980,60190,60531,5948,360038388,-1.3896,395,400,-765,-928,-4,19,2,158,-12,-30,0,0
2016-05-30,60531,61469,59678,60276,5152,310541952,-0.4213,-787,1119,1075,1011,-319,167,166,149,-99,-17,-1390,0
2016-05-31,59849,61298,59423,60702,14496,879936192,0.7067,689,806,153,-1442,115,9,1930,14,-473,-50,-1598,0
2016-06-01,60701,61980,60019,60446,5787,349801002,-0.4217,516,-249,-267,262,-118,-308,826,102,-1031,-1,1,0
2016-06-02,59764,61895,59423,60531,9140,553253340,0.1406,-842,1450,-607,367,-888,232,185,66,-569,-1,0,0
2016-06-03,59764,60787,59508,59764,7651,457254364,-1.2671,-474,992,-498,15,-939,-69,-110,-194,799,0,-20,0
2016-06-07,59764,62748,58911,61981,14912,924260672,3.7096,-4788,1649,3140,-1217,277,179,2679,8,1214,-1,0,0
2016-06-08,61980,62407,60190,60446,15968,965201728,-2.4766,4898,-4195,-784,-622,-343,-605,325,-230,691,87,-6,0
2016-06-09,60446,62748,59423,59423,19031,1130879113,-1.6924,1350,6832,-8171,-1722,-5214,-1508,-1817,-30,2120,-11,0,0
2016-06-10,59678,61980,59678,61384,7802,478917968,3.3001,-3004,3547,-546,-3,-1328,0,-236,-227,1248,3,0,0
2016-06-13,61213,61554,59849,61213,5638,345118894,-0.2786,-688,-2296,2987,979,1246,-2,48,39,677,-3,0,0
2016-06-14,61213,61980,59252,61981,20372,1262676932,1.2546,-825,-8493,9417,858,8647,147,3201,167,-3603,-99,0,0
2016-06-15,60616,61724,58996,59253,19324,1145004972,-4.4013,7122,-6738,-401,-1693,1055,93,752,94,-702,6,11,0
2016-06-16,59337,59678,57462,57718,11572,667912696,-2.5906,3065,-765,-2303,-2751,-17,83,422,296,-336,2,1,0
2016-06-17,57717,58400,56694,57036,8241,470033676,-1.1816,1042,-497,-547,-1153,4,4,-3,418,183,2,0,0
2016-06-20,58229,59508,57206,58912,6062,357124544,3.2892,-1538,663,817,-178,142,543,0,367,-57,58,0,0
2016-06-21,58400,59167,58058,58229,2661,154947369,-1.1594,389,-927,548,0,19,3,88,187,251,-10,0,0
2016-06-22,58229,60275,57973,60020,6089,365461780,3.0758,-1768,339,1590,12,672,0,100,252,554,-161,0,0
2016-06-23,60019,60019,58229,59935,6102,365723370,-0.1416,163,-473,302,-147,-326,0,50,150,575,8,0,0
2016-06-24,59934,59934,55586,56439,12123,684209997,-5.833,1921,618,-2576,-2889,193,0,126,184,-190,36,1,0
