date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,11515,11997,11515,11777,17929,211149833,1.9124,-1392,1995,-434,0,-4812,2645,624,0,1109,-7,-162,0
2016-05-27,11816,12197,11796,12138,21285,258357330,3.0653,-9264,441,8955,3309,960,0,239,-28,4760,-132,0,-285
2016-05-30,12137,12258,11836,12158,14158,172132964,0.1648,-3674,2146,1040,0,909,-40,0,0,171,488,0,0
2016-05-31,12258,12298,12157,12278,12777,156876006,0.987,-5451,2582,2789,0,3480,0,744,0,-1435,80,0,0
2016-06-01,12258,12498,12097,12479,35567,443840593,1.6371,-13125,919,15927,0,3273,0,9226,0,3428,-3721,0,0
2016-06-02,12538,12859,12478,12780,38037,486112860,2.4121,-19383,2347,16865,0,8622,2732,5730,0,-219,171,0,0
2016-06-03,12779,12839,12639,12840,34855,447538200,0.4695,-20400,1289,19136,5594,5433,2076,3665,0,2368,-25,0,0
2016-06-07,12920,12960,12538,12840,74974,962666160,0.0,-26000,3024,24606,2898,13492,154,3526,0,4732,-1630,0,-196
2016-06-08,12920,12920,12538,12760,39521,504287960,-0.6231,-11255,-436,7047,2985,1173,1313,-175,0,151,4644,0,1600
2016-06-09,12779,12839,12579,12579,83902,1055403258,-1.4185,-14695,3190,5443,29,4532,0,1627,0,855,5692,370,-1600
2016-06-10,12639,12639,12458,12619,50472,636906168,0.318,-21641,5720,15827,0,4447,4084,-1106,0,7302,65,29,1100
2016-06-13,12599,12719,12418,12459,45792,570522528,-1.2679,-6273,2005,3012,367,-2118,0,38,0,4225,362,894,500
2016-06-14,12458,12538,12358,12479,42061,524879219,0.1605,-21129,3496,17577,2539,13407,0,-1,0,1432,48,8,200
2016-06-15,12478,12538,12418,12499,49319,616438181,0.1603,496,2024,-5074,0,-5209,0,0,0,35,2371,183,100
2016-06-16,12498,12538,12157,12278,36752,451241056,-1.7681,2439,-6768,-2868,965,-336,0,0,0,-2597,7147,50,-900
2016-06-17,12258,12458,12258,12378,29302,362700156,0.8145,4424,-2380,-3014,0,-20,0,0,0,-1994,880,90,-1000
2016-06-20,12378,12398,12258,12338,12408,153089904,-0.3232,118,-1462,844,0,909,0,0,0,-65,500,0,0
2016-06-21,12398,12558,12217,12459,20916,260592444,0.9807,-6200,2830,2620,2000,3490,0,150,0,-3020,-31,781,0
