date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,23650,23900,23550,23800,16805,399959000,0.2105,-536,-1205,1,0,0,0,0,0,1,1740,0,0
2016-05-27,23850,24200,23800,24000,15359,368616000,0.8403,1097,-1097,0,0,0,0,0,0,0,0,0,0
2016-05-30,24050,24050,23500,23650,27242,644273300,-1.4583,1722,-1722,0,0,0,0,0,0,0,0,0,0
2016-05-31,23700,24000,23600,23700,10361,245555700,0.2114,713,-713,0,0,0,0,0,0,0,0,0,0
2016-06-01,23650,23950,23600,23750,21202,503547500,0.211,-1145,273,432,0,0,0,432,0,0,440,0,0
2016-06-02,23750,24050,23600,23900,23468,560885200,0.6316,1940,-1976,36,0,0,0,31,0,5,0,0,0
2016-06-03,24050,24050,23650,23900,12412,296646800,0.0,-345,281,64,0,0,0,61,0,3,0,0,0
2016-06-07,24050,24600,23900,24300,30131,732183300,1.6736,-2322,2410,-14,0,0,0,-16,0,2,-74,0,0
2016-06-08,24300,24300,23600,23900,23258,555866200,-1.6461,734,-775,20,0,0,0,0,0,20,21,0,0
2016-06-09,24000,24150,23850,23850,12383,295334550,-0.2092,855,-861,-29,0,0,0,0,0,-29,35,0,0
2016-06-10,24100,24100,23850,23950,9285,222375750,0.4193,394,-349,-45,0,0,0,0,0,-45,0,0,0
2016-06-13,25900,27850,24650,24650,393111,9690186150,2.9228,21118,-9668,-63,0,-17,0,252,0,-298,-11387,0,0
2016-06-14,24550,25000,24250,24700,57130,1411111000,0.2028,-4544,4306,234,0,0,0,34,0,200,4,0,0
2016-06-15,24650,25450,24400,25150,56047,1409582050,1.8219,-2423,2403,5,0,0,0,5,0,0,15,0,0
2016-06-16,25250,25650,24800,25000,34303,857575000,-0.5964,-3812,3794,18,0,0,0,0,0,18,0,0,0
2016-06-17,25000,26300,24950,25950,78052,2025449400,3.8,-2409,2266,-97,0,0,0,1,0,-98,240,0,0
2016-06-20,26050,26500,25750,26050,44014,1146564700,0.3854,-746,1035,1,0,0,0,0,0,1,-290,0,0
2016-06-21,26100,26400,25600,26100,29121,760058100,0.1919,760,-710,0,0,0,0,0,0,0,-50,0,0
2016-06-22,26100,26100,25650,25750,20814,535960500,-1.341,-1789,1789,0,0,0,0,0,0,0,0,0,0
2016-06-23,25900,25900,24950,25100,33532,841653200,-2.5243,-2900,2892,8,0,0,0,0,0,8,0,0,0
2016-06-24,25250,25450,23450,24000,88593,2126232000,-4.3825,-4051,3281,270,0,0,0,0,0,270,0,500,0
2016-06-27,23400,24200,23350,23950,29961,717565950,-0.2083,458,-478,27,0,0,0,16,0,11,-7,0,0
2016-06-28,23750,24500,23700,24200,32325,782265000,1.0438,-711,-821,12,0,0,0,21,0,-9,300,1220,0
2016-06-29,24550,24800,24250,24350,29900,728065000,0.6198,-3096,2203,-7,0,0,0,0,0,-7,-300,1200,0
2016-06-30,24500,24700,24350,24450,24586,601127700,0.4107,-3711,3094,-33,0,0,0,0,0,-33,300,350,0
2016-07-01,24800,25700,24550,25550,59569,1521987950,4.499,-7426,4867,252,0,0,0,419,0,-167,200,2107,0
2016-07-04,25700,26350,25550,26200,57535,1507417000,2.544,-4555,3532,23,0,0,0,14,0,9,0,1000,0
2016-07-05,26000,26600,25700,26100,41040,1071144000,-0.3817,-271,-737,8,0,0,0,-10,0,18,0,1000,0
2016-07-06,25900,26350,25250,25750,36268,933901000,-1.341,-2316,1332,-16,0,0,0,-18,0,2,0,1000,0
2016-07-07,25700,26150,25500,25850,14626,378082100,0.3883,2409,-2583,-9,0,0,0,-9,0,0,183,0,0
2016-07-08,27850,28250,26350,26350,204491,5388337850,1.9342,7511,-8496,76,0,0,0,-12,0,88,409,500,0
2016-07-11,26700,27550,26550,26800,49349,1322553200,1.7078,368,-56,-112,0,0,0,-11,0,-101,-200,0,0
2016-07-12,26400,26850,26400,26600,26256,698409600,-0.7463,2005,-2032,-7,0,0,0,-13,0,6,34,0,0
2016-07-13,26500,26800,25700,25750,53699,1382749250,-3.1955,617,296,94,0,0,0,-6,0,100,0,-1007,0
2016-07-14,25850,26200,25700,25850,17371,449040350,0.3883,2961,-1656,305,0,-5,0,-27,0,337,-1610,0,0
2016-07-15,25950,26050,25600,25850,13410,346648500,0.0,-682,127,555,0,565,0,-10,0,0,0,0,0
2016-07-18,25950,26000,25600,25850,16793,434099050,0.0,1504,-1489,-15,0,0,0,-15,0,0,0,0,0
2016-07-19,25850,26100,25550,25650,12943,331987950,-0.7737,1656,-1613,22,0,-4,0,-25,0,51,0,-65,0
2016-07-20,25700,25700,24950,25050,30047,752677350,-2.3392,2452,-592,167,0,-18,0,-15,0,200,-37,-1990,0
2016-07-21,25150,25200,24700,24850,26863,667545550,-0.7984,1316,-908,92,0,0,0,-8,0,100,0,-500,0
2016-07-22,26000,26150,25350,25650,50733,1301301450,3.2193,5533,-5533,0,0,0,0,0,0,0,0,0,0
2016-07-25,25600,25600,25050,25150,16638,418445700,-1.9493,3750,-557,-33,0,0,0,-27,0,-6,0,-3160,0
2016-07-26,25000,25250,24950,25200,10743,270723600,0.1988,1410,-1432,2,0,0,0,-2,0,4,20,0,0
2016-07-27,25250,25600,25100,25600,10829,277222400,1.5873,2980,-2957,-23,0,0,0,-16,0,-7,0,0,0
2016-07-28,25600,25850,25300,25650,10972,281431800,0.1953,1083,-953,-130,0,3,0,-42,0,-91,0,0,0
2016-07-29,25600,25600,25250,25350,11008,279052800,-1.1696,2224,-1220,-4,0,0,0,-4,0,0,0,-1000,0
2016-08-01,25600,26600,25400,26350,54040,1423954000,3.9448,4760,-4689,-107,0,0,0,-15,0,-92,36,0,0
2016-08-02,26750,26750,26250,26450,30411,804370950,0.3795,861,-1779,-77,0,0,0,22,0,-99,0,995,0
2016-08-03,26400,26650,25500,26100,37684,983552400,-1.3233,2064,-2043,-21,0,0,0,-21,0,0,0,0,0
2016-08-04,25900,26350,25850,26100,14335,374143500,0.0,-1292,1292,0,0,0,0,0,0,0,0,0,0
2016-08-05,26300,27300,26200,27000,69314,1871478000,3.4483,2656,-2540,-116,0,0,0,-16,0,-100,0,0,0
2016-08-08,27050,27800,26700,27350,64827,1773018450,1.2963,-3446,2266,305,0,9,0,-4,0,300,1903,-1028,0
2016-08-09,27600,27600,27050,27350,26006,711264100,0.0,-806,1087,-3,0,0,0,-3,0,0,-278,0,0
2016-08-10,27350,27750,27000,27550,39162,1078913100,0.7313,-3136,3163,-12,0,0,0,-12,0,0,0,-15,0
2016-08-11,27550,27800,27200,27550,35892,988824600,0.0,-3040,3181,-141,0,0,0,-5,0,-136,0,0,0
2016-08-12,27550,28100,27550,27700,50432,1396966400,0.5445,-4784,4846,-108,0,0,0,-8,0,-100,50,-4,0
2016-08-16,27850,28700,27700,28600,89865,2570139000,3.2491,-8140,4173,-45,0,0,0,-46,0,1,4019,-7,0
2016-08-17,28650,29050,28150,28300,75627,2140244100,-1.049,3626,-3903,277,0,0,0,-22,0,299,0,0,0
2016-08-18,28200,28300,26750,26850,82259,2208654150,-5.1237,6185,-6931,209,0,0,0,-6,0,215,537,0,0
2016-08-19,27100,27400,26800,27000,28216,761832000,0.5587,-5595,-1710,7271,0,185,0,-2,0,7088,34,0,0
2016-08-22,27150,27150,26300,26600,42666,1134915600,-1.4815,2048,-2031,20,0,0,0,-6,0,26,-37,0,0
2016-08-23,26500,26800,26500,26800,13313,356788400,0.7519,-468,467,1,0,0,0,-6,0,7,0,0,0
2016-08-24,26800,26900,26300,26400,19913,525703200,-1.4925,4234,-4842,129,0,0,0,-1,0,130,479,0,0
2016-08-25,26400,26750,26000,26550,20574,546239700,0.5682,5315,-3991,-1420,0,-74,0,-10,0,-1336,96,0,0
