date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,16336,16397,16275,16276,187505,3051831380,-0.1901,-3291,7128,-2686,1490,-3238,1657,-1356,-825,-414,-1417,266,0
2016-05-27,16336,16763,16245,16673,285118,4753772414,2.4392,-40010,6614,38994,32856,-3012,5328,-1499,-840,6161,-5233,-365,0
2016-05-30,16671,16854,16519,16521,219983,3634339143,-0.9117,85805,-78148,-9106,12653,-1124,-9798,-157,-1942,-8738,1640,-191,0
2016-05-31,16610,16976,16549,16886,394140,6655448040,2.2093,-42611,79235,-37627,28459,-7915,4041,-10621,-1943,-49648,101,902,0
2016-06-01,16884,16915,16519,16642,281919,4691695998,-1.445,32179,-27162,-2863,16226,2322,-485,-1337,0,-30489,-1452,-702,10900
2016-06-02,16610,16793,16519,16551,178082,2947435182,-0.5468,48293,-15764,-33472,-174,-11618,-9220,1522,0,-13982,-89,1032,0
2016-06-03,16641,16671,16519,16521,133683,2208576843,-0.1813,5765,-12027,8369,-42,-175,976,44,0,7566,-1793,-314,0
2016-06-07,16580,16763,16397,16642,267733,4455612586,0.7324,-35768,85751,-46432,9820,-22233,-8136,-16880,-1000,-8003,-3503,-48,0
2016-06-08,16580,17006,16428,16977,267491,4541194707,2.013,-40726,58911,-16099,20815,-24265,-8790,-2137,0,-1722,-2020,-66,0
2016-06-09,16884,17098,16641,16673,552867,9217951491,-1.7907,20782,-101274,80171,27684,86818,-8414,1292,0,-30709,-82,403,3500
2016-06-10,16641,16946,16641,16856,176287,2971493672,1.0976,-423,1920,-1925,-1446,-937,602,-11121,0,7377,439,-11,3600
2016-06-13,16458,16580,16184,16307,403113,6573563691,-3.257,106512,-52169,-51676,-13631,-23938,-4666,-12807,0,-4034,-1862,-805,7400
2016-06-14,16214,16367,15909,16094,310002,4989172188,-1.3062,50781,-16016,-40190,11968,-14324,-8065,-7120,0,-33949,983,4442,11300
2016-06-15,16092,16123,15849,15911,229018,3643905398,-1.1371,55610,-1912,-53251,-22225,-23685,-3966,-14278,0,3303,-4,-443,7600
2016-06-16,15909,16092,15544,15606,265884,4149385704,-1.9169,67570,-29039,-41398,-4787,-39036,-1331,-14536,0,18292,-99,2966,0
2016-06-17,15604,16092,15604,15972,182180,2909778960,2.3453,-58704,12129,41566,45195,-4208,-1271,5251,1002,-4403,5100,-91,0
2016-06-20,16062,16763,16032,16764,333898,5597466072,4.9587,-147470,29893,60198,42523,-117,10669,2901,0,2637,60614,-3235,1585
2016-06-21,16793,16854,16488,16490,212842,3509764580,-1.6345,14932,13419,-26833,-2887,1238,-27926,191,0,2551,-1803,285,0
2016-06-22,16488,16610,16275,16307,146789,2393688223,-1.1098,28529,-24095,-2272,8972,-8705,-7150,-2524,0,7135,-1850,-312,0
2016-06-23,16305,16428,16032,16216,207241,3360620056,-0.558,15666,-20467,11392,8547,-1025,-106,-6075,0,10051,-1856,-4735,0
2016-06-24,16336,16397,15239,15728,623630,9808452640,-3.0094,61610,-106049,44766,-10207,-18255,-1421,-8235,0,34386,-731,404,48498
2016-06-27,15361,15604,15208,15606,388334,6060340404,-0.7757,8089,-36238,28632,-3243,-24425,-14518,-5001,0,56319,-521,38,19500
2016-06-28,15452,15696,15361,15515,190381,2953761215,-0.5831,79897,-69373,-8574,0,-31963,15888,-299,0,3880,-2231,281,3920
2016-06-29,15696,15879,15574,15850,149819,2374631150,2.1592,13508,-1378,-11646,453,-638,1906,-817,0,-12550,-1,-483,0
2016-06-30,15879,16001,15666,15820,156903,2482205460,-0.1893,51221,-35193,-15247,-2779,-64,4192,-387,0,-16209,5,-786,0
2016-07-01,15787,15940,15757,15850,151526,2401687100,0.1896,24089,-36664,20289,-702,3645,20415,1989,0,-5058,-7450,-264,0
2016-07-04,15879,16001,15818,15820,142945,2261389900,-0.1893,61066,-22056,-38923,260,-10082,-21,-29807,-284,1011,-37,-50,0
2016-07-05,15818,15909,15544,15637,228065,3566252405,-1.1568,90969,-69925,-21245,85,-3695,-5943,-23439,0,11747,-30,231,0
