date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-25,61403,62536,61025,62442,192475,12018523950,2.4799,-21386,45211,-20356,-3427,11,1224,-19839,-240,1915,-3,-3466,0
2016-05-26,62158,62347,61025,61025,125775,7675419375,-2.2693,25885,-19515,-2920,1111,-7751,6327,-904,-192,-1359,-3484,34,-152
2016-05-27,61497,61969,60930,61403,168409,10340817827,0.6194,9985,-17726,4259,11594,-12176,2813,-1599,-529,4156,3482,0,0
2016-05-30,61403,61686,60647,61592,167667,10326945864,0.3078,2572,9752,-13084,-13286,13487,743,-4881,-2054,-7093,-12,772,0
2016-05-31,61119,62347,60930,62253,330914,20600389242,1.0732,-21211,38697,-18951,7438,-6740,2068,-4046,0,-17671,1465,0,0
2016-06-01,61686,62158,61214,61403,268743,16501626429,-1.3654,39605,34522,-74216,-8834,-15807,-234,-4222,0,-45119,276,-187,0
2016-06-02,61119,61686,60647,61120,235503,14393943360,-0.4609,25005,41521,-66630,-21558,-8795,-32,-18865,10,-17390,100,4,0
2016-06-03,61119,62158,60647,61120,164441,10050633920,0.0,-12406,-15380,29316,-14392,-3329,-1086,212,0,47596,-1527,-3,315
2016-06-07,61214,61403,59419,59703,362157,21621859371,-2.3184,97554,-29090,-69120,-27321,-24197,-10431,-15312,351,7476,602,54,314
2016-06-08,59513,61403,59230,61309,552027,33844223343,2.69,-67693,65519,-2368,-13503,-17315,52102,-14599,-254,-8799,4541,1,0
2016-06-09,61214,63198,61214,62442,398794,24901494948,1.848,-55890,56407,-4593,40882,-28026,-13957,-30609,-36,30961,3853,223,-3808
2016-06-10,62253,63009,61592,62915,230584,14507192360,0.7575,-23743,-474,23187,5361,1050,-8042,-26593,-26,48437,996,34,3000
2016-06-13,62442,62725,60552,60931,204215,12443024165,-3.1535,46410,-47288,577,-9532,28167,-26322,-1166,-40,9649,250,51,-179
2016-06-14,60836,61403,59702,60270,186800,11258436000,-1.0848,34729,4592,-39767,-2160,3360,-18518,-3891,2,-18560,400,46,0
2016-06-15,59986,60458,59041,59514,210178,12508533492,-1.2544,45551,-21805,-21494,40582,407,-14279,-9668,45,-38581,-2299,47,0
2016-06-16,60080,60080,58947,59230,147523,8737787290,-0.4772,-1531,35239,-33857,-4031,-238,4168,-4831,51,-28976,200,-51,0
2016-06-17,59608,59986,58947,58947,201199,11860077453,-0.4778,-899,4820,-3903,-2911,1120,-1152,52,2312,-972,0,-18,-2352
2016-06-20,60647,60647,59324,60081,92996,5587292676,1.9238,-12983,10963,2021,-3761,14085,-4781,2261,20,-5883,0,-1,80
2016-06-21,59797,59797,58569,59230,175686,10405881780,-1.4164,30525,-15627,-14898,-16252,20484,-9293,-1133,-473,-8231,0,0,0
2016-06-22,59041,60836,59041,60836,196940,11981041840,2.7115,-59451,92108,-35401,26347,-4203,-638,12212,0,-69119,2820,-76,0
2016-06-23,60836,61119,60175,61120,155644,9512961280,0.4668,-17788,-13686,32384,12575,-1935,9341,-1744,99,14048,-900,-10,0
2016-06-24,60647,61214,57435,58191,359971,20947072461,-4.7922,18364,-55596,36981,46548,7341,11086,3699,-2317,-30274,203,48,898
2016-06-27,58569,59608,57057,58475,270014,15789068650,0.488,-25470,14472,11685,-16763,-2482,1536,4228,23,30095,-514,-173,-4952
2016-06-28,57624,59797,57435,59419,223214,13263152666,1.6144,-11630,-18933,29825,18149,10242,-3831,2210,1500,6362,796,-58,-4807
