date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,10188,10233,10007,10007,43095,431251665,-0.9012,11947,-1125,-10822,0,-6080,0,0,0,-4742,0,0,0
2016-05-27,10052,10278,10006,10052,57818,581186536,0.4497,5000,4001,-18001,0,-971,-114,-13660,0,-3256,9000,0,0
2016-05-30,10096,10096,9915,9961,103376,1029728336,-0.9053,52655,13765,-66420,-43709,-13698,0,-6954,-37,-2022,0,0,0
2016-05-31,9915,9960,9825,9825,112954,1109773050,-1.3653,51593,-14336,-40357,106,-8199,-9969,-17307,0,-372,3000,100,-4616
2016-06-01,9824,9869,9597,9643,166622,1606735946,-1.8524,82942,1608,-84158,-28249,-8363,-6267,-34888,0,-535,4,-396,-5856
2016-06-02,9642,9824,9598,9598,137011,1315031578,-0.4667,65092,7232,-73474,-31337,-16838,-3032,-18676,-3036,-95,-30,1180,-460
2016-06-03,9642,9733,9461,9507,147312,1400495184,-0.9481,70025,10513,-80588,-20554,-2769,-12600,-41014,0,-477,0,50,-3174
2016-06-07,9597,10052,9597,9780,283175,2769451500,2.8716,54180,32213,-85292,-34928,12220,0,-56152,0,-1013,-1043,-58,-5419
2016-06-08,9734,9869,9597,9734,297981,2900547054,-0.4703,-3217,22776,-22582,-27512,-22584,-2398,-21565,-2397,53874,3023,0,0
2016-06-09,9688,9778,9460,9734,298687,2907419258,0.0,83782,-1649,-81957,-26460,-115332,-6041,-202,0,66078,-228,52,0
2016-06-10,9687,9687,9506,9552,147871,1412463792,-1.8697,100417,-5053,-94850,-4229,-70498,-5616,-9157,-1998,-2767,-514,0,-585
2016-06-13,9505,9551,9278,9370,152254,1426619980,-1.9054,56162,3136,-59900,-7555,-26294,-31496,0,-93,-762,456,146,6300
2016-06-14,9368,9368,9096,9233,186795,1724678235,-1.4621,68018,1329,-69203,0,-6138,-43869,-13554,0,-5642,-144,0,0
2016-06-15,9142,9233,8969,9052,272455,2466262660,-1.9604,80983,-17607,-66495,0,11695,-50501,-23103,0,-4586,3011,108,0
2016-06-16,9051,9233,9005,9034,134054,1211043836,-0.1989,11023,2444,-13511,-6496,-8525,255,-722,0,6207,113,-69,-4230
2016-06-17,9042,9187,9042,9079,95324,865446596,0.4981,17635,16051,-33272,0,-16947,-14433,0,0,-1892,-414,0,0
2016-06-20,9050,9277,9050,9233,51193,472664969,1.6962,7334,-1120,-2826,0,-2961,0,-1,0,136,-3358,-30,0
2016-06-21,9187,9231,9059,9069,57583,522220227,-1.7762,21271,-17251,-3876,-5181,1865,0,-1,0,-559,-194,50,0
2016-06-22,9189,9233,9088,9189,36831,338440059,1.3232,4591,-4407,-204,0,99,-368,-1,0,66,0,20,0
2016-06-23,9189,9233,9097,9189,58801,540322389,0.0,4589,-14255,9866,-7354,16043,0,0,0,1177,0,-200,0
2016-06-24,9277,9322,8777,8878,180258,1600330524,-3.3845,-7666,-6481,15270,-22527,23095,-65,3366,0,11401,-623,-500,0
2016-06-27,8687,8759,8604,8751,146592,1282826592,-1.4305,-7200,-9018,21002,-11954,29354,0,-1,0,3603,-4484,-300,0
2016-06-28,8732,9187,8678,9097,109569,996749193,3.9538,-947,-14119,15066,0,16868,-286,3714,0,-5230,0,0,0
2016-06-29,9187,9505,9096,9415,155121,1460464215,3.4957,22396,-5303,-16893,0,-13750,-189,-8559,0,5605,-200,0,0
2016-06-30,9369,9687,9232,9415,104129,980374535,0.0,3395,-14192,-7203,-10000,3371,-181,6435,0,-6828,18000,0,0
2016-07-01,9370,9597,9370,9507,75942,721980594,0.9772,-11358,7388,3870,0,4148,0,0,0,-278,100,0,0
2016-07-04,9551,9596,9278,9370,81934,767721580,-1.441,37854,-1683,-36171,-20000,-1732,3000,-362,0,-17077,0,0,0
2016-07-05,9460,9460,9087,9097,176207,1602955079,-2.9136,104442,22543,-119785,-12800,-29127,0,-34000,-40000,-3858,-7200,0,0
2016-07-06,9097,9187,9033,9097,121744,1107505168,0.0,37182,24668,-61850,-56891,-5416,2183,-1,0,-1725,0,0,0
2016-07-07,9187,9278,9079,9143,97859,894724837,0.5057,21917,4506,-31763,0,-15582,0,-11298,0,-4883,5340,0,0
2016-07-08,9087,9278,9087,9143,90870,830824410,0.0,26533,7363,-33916,0,5511,-19625,-18282,0,-1520,0,20,0
