date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,34150,34250,33750,33900,78539,2662472100,0.2959,18196,-29197,11201,16068,-11673,840,-41,0,6007,-200,0,0
2016-05-27,34200,36000,34200,35850,144702,5187566700,5.7522,-53716,41576,12818,29076,-6724,2360,2,0,-11896,-677,-1,0
2016-05-30,35850,35850,34950,35350,84696,2994003600,-1.3947,7101,-9824,2219,15220,-11022,235,-366,0,-1848,4,500,0
2016-05-31,35350,35850,34950,35350,72795,2573303250,0.0,-679,-5616,7166,14317,-8488,125,-3877,-1500,6589,-869,-2,0
2016-06-01,35100,35750,35100,35550,52664,1872205200,0.5658,-4626,9451,-4905,18590,-9515,615,-743,0,-13852,200,-120,0
2016-06-02,35300,35550,34100,34400,80242,2760324800,-3.2349,16701,159,-15830,10196,-11061,-2681,-6353,0,-5931,-527,-503,0
2016-06-03,34650,35000,34350,34600,58049,2008495400,0.5814,2522,6564,-9077,0,-3434,-78,-889,0,-4676,0,-9,0
2016-06-07,34550,35200,34250,35100,77864,2733026400,1.4451,-15104,9208,5896,18675,-6660,239,-2076,0,-4282,0,0,0
2016-06-08,34850,35100,34450,34700,66289,2300228300,-1.1396,21781,-8335,-13445,6261,-10900,-1683,-5745,0,-1378,-1,0,0
2016-06-09,34650,34850,34050,34050,131695,4484214750,-1.8732,8335,25991,-34043,6992,-22822,-15006,1867,0,-2971,-288,5,-2103
2016-06-10,34300,34750,34200,34650,66458,2302769700,1.7621,-11260,13849,-2879,-59,-4078,85,-7924,0,9097,290,0,0
2016-06-13,34150,34400,33000,33650,149199,5020546350,-2.886,8663,-7424,-1278,30208,-21369,686,-8631,1000,-3172,91,-52,0
2016-06-14,33700,33700,31850,32150,150646,4843268900,-4.4577,34504,-168,-34410,-5599,11626,-10229,-7292,-1500,-21416,70,4,0
2016-06-15,32150,32650,31850,32500,90550,2942875000,1.0886,14449,28520,-43028,-21106,-8670,2048,-9047,1500,-7753,50,9,0
2016-06-16,32500,32900,32150,32200,54273,1747590600,-0.9231,8861,4063,-12893,-706,-752,361,-5131,0,-6665,-30,-1,0
2016-06-17,32250,32800,32050,32150,42145,1354961750,-0.1553,9557,7766,-17324,-614,-12371,30,-27,-1000,-3342,1,0,0
2016-06-20,32650,32750,32250,32550,25334,824621700,1.2442,-6641,5347,1294,2452,-113,512,190,0,-1747,0,0,0
2016-06-21,32500,32700,32100,32300,24280,784244000,-0.768,9844,-2790,-7052,-5272,-28,21,-261,0,-1512,-2,0,0
2016-06-22,32550,33550,32200,33400,58394,1950359600,3.4056,-19962,16593,3439,2377,-281,0,817,0,526,-69,-1,0
2016-06-23,33400,33400,32500,32800,62968,2065350400,-1.7964,14596,-5317,-9315,-3981,-5576,0,-29,0,271,0,36,0
2016-06-24,32800,33050,30550,30900,115083,3556064700,-5.7927,5883,3801,-9720,10024,-11518,-326,143,-4848,-3195,0,36,0
2016-06-27,30100,30800,30050,30700,49222,1511115400,-0.6472,5325,-2014,-3321,208,877,252,-3624,0,2892,10,0,-3926
2016-06-28,30200,30600,30200,30600,79736,2439921600,-0.3257,11636,9385,-21193,-1107,-12033,0,-644,-63,-1296,172,0,-6050
2016-06-29,30850,31800,30800,31500,64499,2031718500,2.9412,6189,10911,-17050,-4934,-5125,-2029,-1831,4325,-7456,-50,0,0
