date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,50400,50500,49100,49350,422307,20840850450,-1.497,80010,-1144,-74639,-38747,-12219,-10688,-9502,-293,-3190,-4854,627,0
2016-05-27,48650,49900,48450,49800,420080,20919984000,0.9119,18151,37665,-57077,-15047,-40965,-3585,-3909,22,11207,1250,11,-4800
2016-05-30,49800,49850,48650,48950,402366,19695815700,-1.7068,77580,-6457,-75033,-47784,-9319,-2073,-19141,0,3284,3490,420,0
2016-05-31,48850,49150,48550,48900,456769,22336004100,-0.1021,108893,-27264,-84356,-27775,-19687,-81,-28903,0,-10083,2747,-20,2173
2016-06-01,48750,49250,48500,48500,343161,16643308500,-0.818,106539,-56678,-53994,-38169,2032,-10038,13147,0,-20966,4036,97,0
2016-06-02,48400,48450,47450,47450,553653,26270834850,-2.1649,151788,51064,-206314,-120528,1126,-27053,-12341,-3723,-42141,3071,391,-1654
2016-06-03,47600,47750,46900,47000,444124,20873828000,-0.9484,107942,15430,-121528,-56735,2613,-72043,-25005,-3209,39233,-2579,735,-6382
2016-06-07,47400,49200,47350,49100,667579,32778128900,4.4681,-51151,-42572,79337,54133,14204,-28699,-1394,367,38852,11285,3101,1874
2016-06-08,49200,49800,48650,49300,529547,26106667100,0.4073,107228,-139526,21179,19952,-16918,-31918,-5214,12000,41049,9019,2100,2228
2016-06-09,49300,49700,48550,48850,600728,29345562800,-0.9128,85940,38653,-124163,-74712,453,-52044,-28729,8000,23576,2473,-2903,-707
2016-06-10,49100,49550,48750,49250,366475,18048893750,0.8188,-14128,-19361,28944,-11708,32418,-44786,-2628,-10,55658,4745,-200,0
2016-06-13,48800,49050,48000,48000,296887,14250576000,-2.5381,16497,-71000,61732,45873,7880,-437,-1088,610,8894,-6056,-1173,0
2016-06-14,47750,48550,46500,46700,613450,28648115000,-2.7083,255722,-63140,-193566,-85414,-26555,-1513,-49978,452,-30558,686,298,0
2016-06-15,46800,47300,46450,47200,224817,10611362400,1.0707,112,57120,-59901,347,-6750,1191,2762,0,-57451,2397,272,0
2016-06-16,47350,47900,46400,46600,310324,14461098400,-1.2712,69988,27489,-98123,-41703,-7631,782,-5377,0,-44194,648,-2,0
2016-06-17,47250,47550,46400,46700,348470,16273549000,0.2146,78698,-68412,-15591,8778,13043,-196,-13914,-5659,-16758,5312,-7,-885
2016-06-20,47400,48750,47050,48700,468232,22802898400,4.2827,-83120,-87229,159101,35104,31770,38316,13755,0,38919,10995,253,1237
2016-06-21,48700,48700,47300,47300,369768,17490026400,-2.8747,153105,-156037,1723,-26816,337,-176,-373,2267,26484,1006,203,0
2016-06-22,47300,48100,47300,48050,276385,13280299250,1.5856,-3250,16432,-14309,-7249,-7580,1070,13522,211,-15081,1484,-357,798
2016-06-23,47950,48000,47400,47950,204731,9816851450,-0.2081,6304,-10241,936,-34367,9258,-384,4473,175,21781,2466,535,0
2016-06-24,48500,48700,44750,45250,1089884,49317251000,-5.6309,267495,-95576,-175583,-43548,-24946,-36039,-14417,-2189,-52248,2429,1235,-2196
2016-06-27,44400,45150,44250,45000,518017,23310765000,-0.5525,93217,-12044,-71382,-27830,-22955,-18433,-1648,0,-2016,2734,-12525,1500
2016-06-28,44450,45300,44300,45050,356511,16060820550,0.1111,139650,-108737,-31386,-25795,2455,-431,222,4520,-9616,78,395,-2741
2016-06-29,45650,46750,45400,45850,464668,21305027800,1.7758,32574,-36883,-17659,-2816,1020,-28,9034,-5000,-22018,19300,2668,2149
2016-06-30,47050,47150,45650,45850,449722,20619753700,0.0,123639,-136220,-3870,32469,-8353,23915,-5409,10000,-60592,3639,12812,4100
2016-07-01,46050,46650,46050,46300,213480,9884124000,0.9815,-25780,7391,19807,5111,-4578,14412,1097,10000,-10635,-1133,-285,4400
2016-07-04,46400,47600,46250,47250,319657,15103793250,2.0518,-71366,45498,25367,1388,-2614,895,23268,0,2430,399,102,0
2016-07-05,47500,47750,47100,47250,239294,11306641500,0.0,24282,-3952,-19145,-2099,-4138,-7625,-2433,0,-2850,-534,-651,0
2016-07-06,46900,46900,45550,45750,409197,18720762750,-3.1746,161539,-103105,-55965,-28697,-6312,-7139,-5739,0,172,2335,-4804,-8250
2016-07-07,46350,46400,45800,45900,214291,9835956900,0.3279,44176,-16797,-27700,-17879,-17791,-8,-1406,10,9374,-11,332,0
2016-07-08,45700,45850,44950,45400,265131,12036947400,-1.0893,72076,-26450,-46612,-31886,3445,2560,-14206,0,-6525,872,114,0
2016-07-11,46050,46350,45850,46300,229294,10616312200,1.9824,-34140,26643,6166,-9713,4839,-12710,-5159,0,32092,1312,19,-3183
2016-07-12,46350,46600,45700,46100,311256,14348901600,-0.432,59985,-41599,-18715,-10544,-19046,-1819,-7506,5900,13432,495,-166,868
2016-07-13,47400,50800,47300,50700,1882665,95451115500,9.9783,-601946,353213,253155,127948,162789,16641,35316,-45011,-51398,-3474,-948,6870
2016-07-14,51200,51400,49750,50800,913774,46419719200,0.1972,-33410,-69809,100014,40915,78672,13567,18174,-911,-50403,3437,-232,0
2016-07-15,51100,51200,50000,50500,352848,17818824000,-0.5906,-31636,30834,2337,-24352,5237,-553,14159,0,7846,-859,-676,0
2016-07-18,51000,52100,50800,51600,633309,32678744400,2.1782,28662,-69416,44965,15686,-4104,7400,12067,0,13916,-4023,-188,0
2016-07-19,51600,51600,49550,50300,526319,26473845700,-2.5194,64861,-3404,-62442,8962,-1124,-8010,-9887,0,-50340,1228,-243,-2043
2016-07-20,49650,50100,49150,49700,330407,16421227900,-1.1928,26221,7331,-32350,-10910,10618,76,1417,-1000,-29927,-1466,264,-2624
2016-07-21,49950,50200,49200,49500,281214,13920093000,-0.4024,-1482,46260,-35007,-50273,949,-992,-4570,0,19879,-10090,319,0
2016-07-22,48650,50400,48400,49900,502030,25051297000,0.8081,3993,-30227,36690,-756,26524,7875,-14160,0,17207,-10005,-451,0
2016-07-25,49700,49750,48750,49400,592388,29263967200,-1.002,47302,107759,-156715,-61553,-35717,-42975,-14002,0,-2468,1474,180,0
2016-07-26,49500,50700,49050,50700,390280,19787196000,2.6316,-139882,112933,30036,-9377,-5778,978,11540,0,33566,-3614,527,-893
2016-07-27,51000,51800,50700,51500,442566,22792149000,1.5779,-126933,113811,2463,-7749,4968,-18592,11023,119,12340,11385,-726,354
2016-07-28,51500,51600,50500,51400,329396,16930954400,-0.1942,49436,-73583,23948,10092,8672,4999,-5979,0,6164,7,192,0
2016-07-29,51300,51400,50200,50600,331881,16793178600,-1.5564,38122,-30572,-343,38881,-4509,-404,-19997,0,-14314,-7087,-120,0
2016-08-01,50800,51200,50100,50800,278737,14159839600,0.3953,10511,14405,-26238,-35512,4651,-722,8814,0,-3469,1163,159,0
2016-08-02,50300,50400,49750,50100,258527,12952202700,-1.378,-1226,-35934,39462,16828,13375,2194,8874,0,-1809,-2652,350,0
2016-08-03,49700,49900,48750,48800,384620,18769456000,-2.5948,84061,-33562,-29080,-2276,-5980,-4371,-7788,0,-8665,1649,-23068,0
2016-08-04,49000,49300,48250,48550,290082,14083481100,-0.5123,33110,74413,-92559,-69838,-10785,1228,-58,0,-12061,1,-14965,-1045
2016-08-05,48700,49600,48350,49500,236713,11717293500,1.9567,-45508,60754,6110,5117,5315,-889,8372,-978,-10827,2059,-23415,0
2016-08-08,48900,48900,47350,47750,564052,26933483000,-3.5354,169730,-127728,-22718,-10225,-24833,-1592,-13648,0,27580,-3981,-15303,0
2016-08-09,47750,50200,47700,50100,449900,22539990000,4.9215,-193579,93242,129567,-2836,1791,69922,33976,-2022,29350,901,-30131,-614
2016-08-10,49700,50200,49300,49500,303774,15036813000,-1.1976,50553,-45815,9191,18131,-15,7898,-2137,0,-14686,907,-14836,0
2016-08-11,49400,49450,48600,48600,242718,11796094800,-1.8182,64778,22477,-92090,-25408,-12087,52,-29910,0,-24737,4835,0,0
2016-08-12,49100,51000,49100,49950,400303,19995134850,2.7778,-91872,61323,64170,-8251,10413,8261,1634,-327,52440,-3362,-30259,0
2016-08-16,50500,50600,49750,50200,403682,20264836400,0.5005,-35161,-2455,70950,-2020,18186,4648,34768,0,15368,-3052,-30282,0
2016-08-17,49950,50600,49450,50600,240412,12164847200,0.7968,-6077,-7209,33999,2442,1409,21526,-1138,0,9760,2987,-23700,0
2016-08-18,50700,50800,49750,49950,171839,8583358050,-1.2846,35489,3415,-25465,-1336,-1447,6500,-534,0,-28648,2252,-15691,0
2016-08-19,49900,50300,49450,50000,338868,16943400000,0.1001,-26254,133678,-75840,-22174,-6061,1939,-4005,0,-45539,-2584,-29000,0
2016-08-22,49800,49950,49200,49950,230987,11537800650,-0.1,-17133,37975,-1636,4024,151,9270,1547,0,-16628,694,-19900,0
2016-08-23,50100,50400,49300,49550,248244,12300490200,-0.8008,-20823,40652,378,11006,2533,2800,677,0,-16638,513,-20720,0
2016-08-24,49750,52000,49700,51500,1139538,58686207000,3.9354,-188991,267203,43213,13449,12709,-19532,11244,25689,-2114,-7940,-113485,1768
2016-08-25,51500,51600,50500,51000,564032,28765632000,-0.9709,125114,-170069,86791,56016,-2023,2020,1270,0,29508,-2104,-39732,0
2016-08-26,51100,51400,49950,50500,476173,24046736500,-0.9804,122814,-142513,39705,-29161,16418,1808,8207,1700,40733,800,-20806,0
2016-08-29,50200,50700,49800,50200,450942,22637288400,-0.5941,63384,-99346,58573,24884,-1683,3861,6800,379,24332,-2558,-20053,0
2016-08-30,50700,51700,50700,51000,514197,26224047000,1.5936,-100305,-34318,144387,72897,7273,1488,48063,4000,10666,19874,-29638,0
2016-08-31,51100,51600,50700,51300,510541,26190753300,0.5882,-100220,29506,100324,17734,7069,26899,9337,20000,19285,391,-30001,0
2016-09-01,51100,51500,50300,51500,340389,17530033500,0.3899,49166,-43652,20054,6582,8367,4844,-2285,20000,-17454,4200,-29768,0
2016-09-02,51500,51600,50600,51500,282827,14565590500,0.0,20050,7710,-10554,-7549,811,1828,1301,20000,-26945,218,-17424,0
2016-09-05,51700,53400,51400,52900,685427,36259088300,2.7184,-195174,160623,60040,32843,-11096,369,8399,-4610,34135,4357,-29846,0
