date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,217000,217500,209500,209500,56190,11771805000,-3.4562,1909,-14855,13251,6985,1130,609,4040,0,336,-284,-21,151
2016-05-27,211500,212000,205500,207000,77925,16130475000,-1.1933,13131,-6723,-7709,-1016,1350,1068,-1881,-463,-6531,1296,5,-236
2016-05-30,207000,207500,203000,205000,51797,10618385000,-0.9662,16073,-4459,-11739,-4503,-186,-1145,-1378,0,-4527,110,15,0
2016-05-31,204500,208000,204000,207500,64304,13343080000,1.2195,-4878,10360,-5582,2088,411,-1226,-711,0,-6144,0,100,0
2016-06-01,206000,207000,203000,203500,60462,12304017000,-1.9277,25373,-11595,-13573,464,-1580,-366,-5420,0,-6671,-223,18,0
2016-06-02,204500,205500,203000,203000,43621,8855063000,-0.2457,12032,-2672,-9394,317,-856,-1023,-3097,-302,-4433,-18,52,0
2016-06-03,203500,204500,202000,202500,52949,10722172500,-0.2463,20698,-30895,8997,8088,-936,-198,-224,6,2261,1255,-55,0
2016-06-07,202500,205500,202500,203500,34671,7055548500,0.4938,5051,-6148,1263,2767,-554,-1209,-2874,0,3133,-10,-156,0
2016-06-08,204500,205500,203500,205000,30863,6326915000,0.7371,-5059,4140,3711,2728,-555,150,-178,0,1566,-2792,0,0
2016-06-09,206000,206000,203000,203500,45931,9346958500,-0.7317,8139,-7375,-601,5576,-7025,-279,-2568,0,3695,-180,17,0
2016-06-10,204500,204500,202000,203000,38177,7749931000,-0.2457,7905,-6159,-1805,5249,-4072,728,-1546,-1741,-423,-143,202,0
2016-06-13,202500,205000,201500,203000,47639,9670717000,0.0,-12815,-11999,26280,6244,6654,11018,3415,0,-1019,-1478,12,-32
2016-06-14,203500,206000,202500,204000,42111,8590644000,0.4926,-6380,-19916,26237,12606,3890,1719,1513,0,6509,76,-17,0
