date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,386000,394000,385000,387000,14957,5788359000,-0.2577,2487,726,-2566,-937,-1564,-577,237,0,275,-652,5,0
2016-05-27,387000,388000,382000,387000,13774,5330538000,0.0,2336,119,-2456,480,-3279,15,-413,0,741,0,1,0
2016-05-30,388500,388500,378000,385000,16299,6275115000,-0.5168,1402,-6486,5443,4588,3465,-917,-1344,0,-349,-358,-1,0
2016-05-31,383000,385000,380000,381000,20976,7991856000,-1.039,8512,-4824,-4569,-2129,-1134,-862,57,195,-1236,880,1,540
2016-06-01,379500,384500,379500,383000,17299,6625517000,0.5249,667,1364,-2524,2073,52,-988,-1302,0,-2359,464,29,0
2016-06-02,381000,383500,377500,377500,24517,9255167500,-1.436,7512,1106,-10133,-10368,2083,-272,-846,157,-887,1502,13,0
2016-06-03,380000,382500,376000,380500,15801,6012280500,0.7947,2019,1896,-4178,-884,-1983,-161,-875,41,-316,250,13,0
2016-06-07,381000,382000,377000,377500,16011,6044152500,-0.7884,7001,-3945,-3767,-910,-2521,-255,-266,-57,242,711,0,0
2016-06-08,377500,381500,377500,380000,18504,7031520000,0.6623,946,2014,-3013,-1238,-2338,-16,1320,0,-741,53,0,0
2016-06-09,380000,386000,380000,386000,27942,10785612000,1.5789,-9833,10424,-550,3523,-3771,-1307,-968,0,2191,-36,-5,-218
2016-06-10,384000,385500,378500,381500,19928,7602532000,-1.1658,2835,-704,-2175,-809,-2549,-46,-437,0,1666,9,35,0
2016-06-13,381500,382000,377500,378500,13404,5073414000,-0.7864,37,1375,-1625,3339,-5336,-11,-180,0,563,203,10,0
2016-06-14,378000,381500,375500,375500,13349,5012549500,-0.7926,1099,109,-1613,-2155,991,264,286,-104,-895,366,39,0
2016-06-15,374500,378500,373500,375500,12976,4872488000,0.0,-1235,-6178,7888,1767,2696,1130,2367,0,-72,-526,51,0
2016-06-16,376000,380500,375000,376500,15081,5677996500,0.2663,-1370,-5289,7238,6409,233,-188,1072,0,-288,-610,31,0
2016-06-17,376500,380000,375500,376000,8831,3320456000,-0.1328,312,-1735,1675,2449,-2122,-37,850,0,511,-250,-2,24
2016-06-20,379500,379500,368000,369500,18769,6935145500,-1.7287,8085,-3780,-4061,1160,-3514,300,-976,-79,-982,-96,-148,30
2016-06-21,370500,375000,368500,373000,13755,5130615000,0.9472,-2581,7090,-4302,-862,-2032,-573,-91,0,-744,-201,-6,0
2016-06-22,371000,373000,366000,366500,14940,5475510000,-1.7426,6102,1633,-7453,-514,-4287,-1401,-1720,0,469,-244,-38,0
2016-06-23,364000,370000,363000,364500,16656,6071112000,-0.5457,2647,8251,-9576,-2928,-6277,-88,-702,0,419,-1322,0,0
2016-06-24,364500,366500,345000,354500,44348,15721366000,-2.7435,6544,13852,-19504,-6299,-7900,-2296,-904,210,-2315,-951,59,0
2016-06-27,354500,369000,348000,368000,33053,12163504000,3.8082,-10677,9428,1849,1392,-1838,2301,-20,0,14,-597,-3,0
2016-06-28,366500,384000,363500,379500,40651,15427054500,3.125,-12787,12882,181,1296,-3303,-1494,328,-68,4238,-241,-35,-816
2016-06-29,379500,382000,378000,378500,17927,6785369500,-0.2635,-1578,1914,-398,2387,347,-905,-219,0,-2008,62,0,0
2016-06-30,377000,384000,374000,374000,26761,10008614000,-1.1889,1880,4663,-6481,712,-1449,-13,-1162,0,-3806,-5,-57,-763
2016-07-01,374000,380500,374000,375500,17318,6502909000,0.4011,-1592,-600,2366,225,-533,-103,3625,107,-955,-161,-13,0
2016-07-04,374000,379000,363000,365000,26417,9642205000,-2.7963,9949,-2829,-7370,-1758,-2892,-98,-1715,0,-907,299,-49,0
2016-07-05,365000,365500,354000,358500,28088,10069548000,-1.7808,12567,-526,-12364,-5108,611,-32,-2702,0,-4045,318,5,-1088
2016-07-06,357000,358000,345000,349500,36606,12793797000,-2.5105,11759,-2241,-10288,-6356,-1821,-404,-2375,68,600,693,77,0
2016-07-07,351000,351500,338000,341500,59951,20473266500,-2.289,24837,-13663,-11238,-7864,-3211,329,-934,77,365,52,12,0
2016-07-08,341500,342000,330000,335000,43655,14624425000,-1.9034,12181,-7856,-4458,-2226,-1551,-117,-408,-36,-120,97,36,0
