date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,40350,41100,40350,40550,20421,828071550,-0.4908,-2626,-1163,3290,1495,-20,750,213,0,852,499,0,0
2016-05-27,40950,40950,40150,40550,9987,404972850,0.0,-2162,-422,2584,16,2538,68,44,0,-82,0,0,0
2016-05-30,40200,40900,40100,40550,10483,425085650,0.0,-3521,1384,2166,2154,78,11,-33,0,-44,-29,0,0
2016-05-31,40250,41250,40250,40700,23197,944117900,0.3699,-1240,2501,-1261,-684,5272,-222,171,-2,-5796,0,0,0
2016-06-01,40900,40900,39850,40300,22692,914487600,-0.9828,7790,-6996,-1010,460,-1154,-392,2151,31,-2106,213,3,0
2016-06-02,40050,40300,39750,39950,22038,880418100,-0.8685,3148,-539,-1886,3859,-2125,26,-1618,-2,-2026,-723,0,0
2016-06-03,39850,40050,39150,39750,24961,992199750,-0.5006,-687,-1435,4008,2635,-1934,-184,-865,97,4259,-1887,1,0
2016-06-07,39750,40400,39550,40100,17071,684547100,0.8805,-3279,-1101,4880,3767,9,0,-860,-7,1971,-501,1,0
2016-06-08,39850,40500,39750,40250,18599,748609750,0.3741,-1740,-991,2731,2022,-383,-302,-798,-2,2194,0,0,0
2016-06-09,40100,41200,40050,40150,44852,1800807800,-0.2484,-4429,11736,-7236,4130,-9624,-414,-5061,-4,3737,-70,-1,0
2016-06-10,40650,41150,40350,41000,22452,920532000,2.1171,-5058,625,4460,2264,-326,40,-392,-8,2882,-26,-1,0
2016-06-13,41250,41250,40350,40700,14928,607569600,-0.7317,-655,-5412,6116,1166,-615,4,-14,0,5575,-50,1,0
2016-06-14,40650,40800,39000,39100,51810,2025771000,-3.9312,19773,-5151,-21247,-20375,-3388,-260,1258,501,770,6615,10,247
2016-06-15,38950,39550,38950,39100,18237,713066700,0.0,6573,-90,-6997,-4851,-457,-119,866,0,-2536,502,12,100
2016-06-16,39150,39350,38600,38850,14482,562625700,-0.6394,2864,-3107,-178,1316,107,130,446,176,-2553,410,11,200
2016-06-17,38650,39350,38500,38750,15399,596711250,-0.2574,4872,-121,-3157,-7027,183,32,1162,1122,971,-1604,10,400
2016-06-20,39400,39400,38000,38000,56290,2139020000,-1.9355,30904,-12564,-13951,0,2825,617,-17262,1286,-1417,-4400,11,0
2016-06-21,38100,38400,36900,37800,52373,1979699400,-0.5263,15917,2815,-1267,-3012,2430,49,-183,640,-1191,-17677,212,0
