date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,89638,90602,87518,87518,44066,3856568188,-2.9917,557,-5423,4859,-2377,929,10399,-954,0,-3138,0,7,0
2016-05-27,88481,90024,87518,87904,26793,2355211872,0.4411,4556,516,-5066,-3150,2,542,-11,0,-2449,0,-6,0
2016-05-30,87903,89253,87518,88096,18806,1656733376,0.2184,270,2598,-2908,-2730,1779,-754,-593,0,-700,0,40,90
2016-05-31,87518,88096,83662,83663,110097,9211045311,-5.032,18488,-14496,-4144,-3035,1085,64,-1360,0,-958,150,2,60
2016-06-01,83662,84048,82506,83470,41340,3450649800,-0.2307,2486,2021,-4513,-4342,392,-83,1846,0,-2376,0,6,50
2016-06-02,83084,84048,81156,81157,41376,3357952032,-2.7711,9443,-2193,-6198,-4926,-128,23,489,0,-1656,-1049,-3,0
2016-06-03,80770,81542,79035,79807,42550,3395787850,-1.6634,3671,8009,-11710,-11622,-1678,-7,-549,0,2146,0,30,0
2016-06-07,79806,81349,79035,80771,45736,3694142456,1.2079,6967,1254,-8090,-4695,-916,-1851,-2287,0,1659,-131,0,0
2016-06-08,80771,83277,80192,82120,48535,3985694200,1.6702,3962,212,-4310,-3296,-2819,-374,-223,0,2402,136,0,0
2016-06-09,82120,82891,80385,80771,80796,6525973716,-1.6427,6928,40788,-47726,-9054,-31763,-1879,-8741,0,3711,89,-79,0
2016-06-10,81156,81156,79421,80771,23023,1859590733,0.0,-2953,3433,-492,717,-2376,-1224,-1635,0,4026,10,2,0
2016-06-13,77108,77686,74409,75952,85461,6490933872,-5.9663,8791,-7805,-1201,451,-3121,-4101,-587,0,6157,23,192,0
2016-06-14,75180,75951,72288,74024,81702,6047908848,-2.5384,22567,-9626,-13775,-10146,-1221,-424,-3346,0,1362,758,76,0
2016-06-15,73638,75566,73638,74217,43414,3222056838,0.2607,16550,-8718,-7938,-9603,2407,-36,643,0,-1349,117,-11,0
