date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,34050,34600,34050,34500,47406,1635507000,1.0249,1138,3692,-4561,12174,-8479,64,-8137,0,-183,-269,0,0
2016-05-27,34300,34900,34250,34550,46769,1615868950,0.1449,563,-2289,-74,0,-119,95,401,-65,-386,1800,0,0
2016-05-30,34600,35250,34300,35000,46840,1639400000,1.3025,-4941,6148,-1038,-1762,1360,-88,0,0,-548,-200,31,0
2016-05-31,35100,35850,34600,34850,94233,3284020050,-0.4286,32112,-9654,-22314,-11508,853,0,-9043,0,-2616,-144,0,0
2016-06-01,34850,35450,34800,35000,36978,1294230000,0.4304,5064,869,-5840,-1299,1299,-1515,-5197,0,872,-75,-18,0
2016-06-02,35000,35300,34800,35100,52645,1847839500,0.2857,628,6116,-10505,-9819,2785,-1167,-1774,0,-530,3813,-52,0
2016-06-03,35100,36850,35050,36650,160548,5884084200,4.416,-31728,34476,-4904,2230,4988,-1303,-10729,0,-90,-8,2164,0
2016-06-07,36950,39100,36950,38800,375194,14557527200,5.8663,-64138,2882,64360,41168,18622,0,6874,0,-3670,-3332,228,1366
2016-06-08,38800,39050,37600,39000,217787,8493693000,0.5155,-47087,-17133,71556,68607,6460,-2714,-199,0,-598,-7324,-12,0
2016-06-09,39100,39450,37400,38800,246198,9552482400,-0.5128,-35710,-4471,32752,51887,-27748,-6663,10006,2741,-238,6082,1347,2767
2016-06-10,39250,40000,38700,39400,138658,5463125200,1.5464,-1753,322,1892,15712,-7026,-2982,-3316,-18,-478,-461,0,0
2016-06-13,39100,39300,38200,38250,91236,3489777000,-2.9188,3084,-3814,753,10048,-6154,-3251,-511,0,621,-23,0,0
2016-06-14,38300,39500,37500,39400,144599,5697200600,3.0065,-8126,-12451,16587,9551,-2644,11468,-7,0,-1781,4668,-678,0
2016-06-15,39550,40000,38650,39950,159734,6381373300,1.3959,-299,-30239,30833,10100,6641,9640,3110,0,1342,-423,128,0
2016-06-16,40400,40400,37800,38500,160754,6189029000,-3.6295,14845,-45734,30661,19487,-4530,1624,12530,0,1550,796,-568,0
2016-06-17,39100,39250,38250,39000,104908,4091412000,1.2987,-7714,-18629,26320,7690,-491,-726,18176,0,1671,0,23,0
2016-06-20,39200,39600,38800,39550,84426,3339048300,1.4103,-948,-7269,8540,10281,8145,-11729,2419,0,-576,-300,-23,0
2016-06-21,39600,40400,39000,40400,110335,4457534000,2.1492,11509,-16884,4464,4799,2363,-2191,-253,0,-254,150,761,0
2016-06-22,40500,41000,39850,40800,146829,5990623200,0.9901,18286,-29918,13884,6744,4616,0,1453,0,1071,-2240,-12,0
2016-06-23,41700,42000,38250,38550,399706,15408666300,-5.5147,25237,-61085,42033,39500,1742,0,-1295,0,2086,-6216,31,0
2016-06-24,38650,39200,35000,37700,333580,12575966000,-2.2049,-66003,25745,39862,44490,-7043,-2000,1521,624,2270,396,0,0
2016-06-27,36500,37750,36150,37500,156259,5859712500,-0.5305,-32298,-8039,42294,27748,1328,-2188,13774,-27,1659,-2077,120,0
2016-06-28,37050,38500,36600,37750,81830,3089082500,0.6667,6025,-4185,-1497,11777,-9232,-5260,107,0,1111,-223,-120,0
2016-06-29,37700,38350,37500,38000,94238,3581044000,0.6623,-9710,1281,8887,25850,-12150,0,-5034,0,221,-458,0,0
2016-06-30,38100,38200,37400,37850,68578,2595677300,-0.3947,-3818,4620,1908,1579,-4313,0,5556,-77,-837,-2710,0,0
2016-07-01,37850,38400,37800,38200,106887,4083083400,0.9247,-21112,38743,-17207,-2728,-9623,-45,-5212,0,401,3,-427,0
2016-07-04,38150,39250,37800,39000,117528,4583592000,2.0942,-47502,21499,27469,11272,20663,0,-3944,-32,-490,-1538,72,0
2016-07-05,38800,39200,38250,38400,43102,1655116800,-1.5385,5483,1915,-4433,35,-3444,-14,-571,0,-439,-3000,35,0
2016-07-06,38250,38350,36750,37350,114931,4292672850,-2.7344,38439,-22057,-13241,10009,-16122,-1641,-1107,0,-380,-3416,275,-4000
2016-07-07,37600,38400,37550,38300,117148,4486768400,2.5435,-39305,47270,-9676,-19575,9614,0,-1281,0,1566,1426,285,0
2016-07-08,38300,38400,37050,37800,90052,3403965600,-1.3055,28856,-15424,-14473,-21679,-700,0,1308,-25,6623,1028,13,0
2016-07-11,37600,38200,37200,37450,74564,2792421800,-0.9259,28267,-1149,-27609,-23653,0,-133,316,0,-1620,436,55,-2519
2016-07-12,37350,37750,36550,36750,102727,3775217250,-1.8692,45003,680,-47680,-35221,-1320,-2720,-6111,0,227,1951,46,-2535
2016-07-13,36650,37100,36300,36750,104218,3830011500,0.0,41973,-7508,-36561,-21496,-7357,-1179,-6960,-95,526,1188,908,0
2016-07-14,36550,37000,35850,36000,107404,3866544000,-2.0408,31976,-3092,-30236,-8837,-21405,-650,-746,-56,1458,1352,0,0
2016-07-15,36200,36200,35200,35300,132822,4688616600,-1.9444,53617,13805,-64378,-52228,-9427,-2895,-2056,1780,448,-3163,119,0
2016-07-18,35150,35900,35050,35600,43953,1564726800,0.8499,6395,8919,-15033,5912,-504,-116,-20874,-24,573,-281,0,0
2016-07-19,35650,35800,35100,35200,64989,2287612800,-1.1236,35841,-15273,-21628,-4590,-15164,-154,-2696,0,976,1060,0,0
2016-07-20,35150,35700,35100,35600,40893,1455790800,1.1364,-7519,5418,1340,9238,-3957,-1974,-2860,0,893,936,-175,0
2016-07-21,35500,35800,35100,35400,64236,2273954400,-0.5618,34755,-9250,-23400,-4600,-15498,-114,-2686,-28,2726,-2105,0,-3200
2016-07-22,35350,35500,35100,35300,50417,1779720100,-0.2825,-3248,17124,-13529,-16751,-1025,-1963,5867,0,343,-347,0,0
2016-07-25,35300,35650,35050,35100,55694,1954859400,-0.5666,2109,10232,-12377,1669,-225,-13016,-2203,0,1398,91,-55,0
2016-07-26,35050,35300,34900,35100,72702,2551840200,0.0,13339,23730,-37059,-26582,-7240,0,-5323,-28,2114,358,-368,0
2016-07-27,34850,35150,34200,34450,113516,3910626200,-1.8519,44307,2792,-47506,-18279,-22585,0,-718,-43,-5881,711,-304,0
2016-07-28,34550,34900,34000,34700,87267,3028164900,0.7257,16145,6481,-19905,9458,-21049,1316,-11201,0,1571,-2716,-5,0
2016-07-29,34300,34600,34100,34300,96077,3295441100,-1.1527,45442,5782,-52682,-32442,-5354,2950,-19131,156,682,1465,-7,457
2016-08-01,34150,34300,32700,33200,163784,5437628800,-3.207,71720,-3034,-74405,-27352,-25202,0,-20709,0,-1142,5719,0,0
2016-08-02,33200,33350,32500,32850,88243,2898782550,-1.0542,30359,8523,-38401,-24471,-10732,-260,-5283,0,2345,-273,-208,0
2016-08-03,32550,33200,32550,33200,55392,1839014400,1.0654,9693,-5064,-4109,-7000,2659,2568,-4544,-53,2261,-519,-1,0
2016-08-04,33500,33550,32950,33350,49876,1663364600,0.4518,21317,-7126,-14397,-14370,-1,-212,-1102,-27,1315,0,206,0
2016-08-05,33500,33500,33050,33150,63870,2117290500,-0.5997,36774,-9243,-27581,-7700,-8845,-363,-10795,0,122,0,50,0
2016-08-08,32900,33500,32800,33500,79218,2653803000,1.0558,7329,2481,-10862,-3800,-6159,-829,-561,0,487,1052,0,0
2016-08-09,33500,34150,33150,33450,75120,2512764000,-0.1493,33066,-5817,-29349,-16871,-4012,0,-1572,0,-5771,1500,600,-1123
2016-08-10,33550,34050,33050,33900,90798,3078052200,1.3453,22479,8371,-29915,-9792,-4025,-3568,-4028,-13,-6584,-1135,200,-1905
2016-08-11,33900,34000,33450,33750,69564,2347785000,-0.4425,33057,-6222,-28843,-9658,-6307,0,-7910,-53,-4915,2008,0,0
2016-08-12,33750,34000,33200,33300,74840,2492172000,-1.3333,45252,-9808,-36877,-28471,-4059,-2638,-835,-11,-863,1433,0,0
2016-08-16,33050,33650,32950,32950,58755,1935977250,-1.0511,34353,5012,-40765,-33635,-5577,-131,-1289,0,-133,1400,0,0
