date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,192017,193117,190617,192917,1612,310982204,0.4164,137,-412,362,-77,67,-70,436,0,6,-86,-1,0
2016-05-27,194117,194117,191017,192017,1404,269591868,-0.4665,302,-253,-53,-292,-149,41,317,0,30,0,4,0
2016-05-30,191217,194517,191217,193717,2646,512575182,0.8853,-366,-703,1175,282,-12,-24,645,0,284,-106,0,0
2016-05-31,193717,194217,191217,194217,3524,684420708,0.2581,319,-820,481,1,-58,-112,789,0,-139,20,0,0
2016-06-01,192517,192917,191017,191117,3641,695856997,-1.5962,2271,-1066,-1209,-315,-216,-194,-314,94,-264,2,2,0
2016-06-02,191017,191017,186516,187017,6391,1195225647,-2.1453,4223,-737,-3515,-744,-530,-17,-207,0,-2017,20,9,0
2016-06-03,187016,187116,184016,185217,3379,625848243,-0.9625,1299,-770,-579,-310,-42,-313,-35,-29,150,49,1,0
2016-06-07,185316,188816,184816,187717,2186,410349362,1.3498,-38,399,-376,-173,-127,-236,31,0,129,9,6,0
2016-06-08,186116,189617,186116,189617,1670,316660390,1.0122,-498,756,-257,-116,-161,-4,-125,0,149,0,-1,0
2016-06-09,189716,191617,188216,191617,3441,659354097,1.0548,-288,632,-368,-622,391,-92,-260,0,215,24,0,0
2016-06-10,189917,190717,187516,189017,3163,597860771,-1.3569,301,592,-872,-423,-255,-238,-212,0,256,-23,2,0
2016-06-13,183416,186716,178016,185617,5792,1075093664,-1.7988,-1617,-132,1673,890,-83,-2,830,56,-18,28,48,0
2016-06-14,183716,185416,176915,178316,7928,1413689248,-3.9334,3204,-1235,-2442,-1342,-588,-506,100,0,-106,454,19,0
2016-06-15,177315,180416,175615,180016,5556,1000168896,0.9534,-719,-140,1038,1563,-417,-845,893,0,-156,-174,-5,0
2016-06-16,178615,179916,176515,178616,2785,497445560,-0.7777,716,-84,-674,454,-46,-581,-257,0,-244,31,11,0
2016-06-17,178716,179316,176915,176916,2238,395938008,-0.9518,747,5,-797,-6,-31,-531,-302,-1,74,41,4,0
2016-06-20,178916,178916,176615,177916,1179,209762964,0.5652,205,6,-226,200,-283,4,-130,0,-17,10,5,0
2016-06-21,177115,179916,176715,179316,1729,310037364,0.7869,-180,356,-176,166,-110,-8,-63,-2,-159,0,0,0
2016-06-22,180016,184216,179216,182816,2848,520659968,1.9519,-234,175,4,218,15,-2,-286,0,59,55,0,0
2016-06-23,182716,183016,180516,180616,1450,261893200,-1.2034,253,83,-390,-411,-22,-1,-65,0,109,54,0,0
2016-06-24,182016,183016,176015,177016,4876,863130016,-1.9932,211,43,-312,200,-32,-131,-55,-91,-207,5,53,4
2016-06-27,175815,179416,173815,176716,2127,375874932,-0.1695,-87,15,70,-18,-266,41,-93,135,271,2,0,0
2016-06-28,175015,177015,174915,176216,2810,495166960,-0.2829,870,139,-782,-61,-557,0,-211,25,22,-227,0,0
2016-06-29,176315,177615,176015,176116,1736,305737376,-0.0567,661,56,-627,-37,-366,-1,-100,0,-123,-95,5,0
2016-06-30,176715,179316,176415,178616,2262,404029392,1.4195,-224,-131,361,355,-54,0,561,-71,-430,-7,1,0
