date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,3821,3824,3744,3762,77171,290317302,-1.9035,35348,833,-36183,0,0,0,0,0,-36183,2,0,0
2016-05-27,3718,3782,3718,3769,20902,78779638,0.1861,-2296,2296,0,0,0,0,0,0,0,0,0,0
2016-05-30,3760,3776,3688,3758,39574,148719092,-0.2919,-667,667,0,0,0,0,0,0,0,0,0,0
2016-05-31,3764,3772,3727,3754,20696,77692784,-0.1064,-3110,3110,0,0,0,0,0,0,0,0,0,0
2016-06-01,3735,3779,3735,3778,22314,84302292,0.6393,1504,-218,0,0,0,0,0,0,0,0,-1286,0
2016-06-02,3808,3890,3768,3891,37776,146986416,2.991,-999,985,14,0,0,0,0,0,14,0,0,0
2016-06-03,3898,3906,3842,3867,32619,126137673,-0.6168,305,-486,9,0,0,0,0,0,9,172,0,0
2016-06-07,3864,3932,3847,3886,24919,96835234,0.4913,1752,-1744,-9,0,0,0,0,0,-9,1,0,0
2016-06-08,3885,3906,3842,3867,22003,85085601,-0.4889,-1224,1165,59,0,0,0,0,0,59,0,0,0
2016-06-09,3848,3865,3812,3846,32066,123325836,-0.5431,2645,-962,-49,0,0,0,0,0,-49,-1634,0,0
2016-06-10,3842,3855,3774,3809,22112,84224608,-0.962,80,6,-86,0,0,0,0,0,-86,0,0,0
2016-06-13,3784,3807,3760,3802,11595,44084190,-0.1838,-953,1239,-286,0,-320,0,0,0,34,0,0,0
2016-06-14,3833,3833,3736,3766,23879,89928314,-0.9469,2639,-2339,0,0,0,0,0,0,0,0,-300,0
2016-06-15,3743,3776,3743,3778,18954,71608212,0.3186,-1570,1570,0,0,0,0,0,0,0,0,0,0
2016-06-16,3761,3784,3684,3722,26462,98491564,-1.4823,2330,-2362,32,0,0,0,0,0,32,0,0,0
2016-06-17,3720,3776,3647,3689,35784,132007176,-0.8866,-1391,1388,3,0,0,0,0,0,3,0,0,0
2016-06-20,3687,3735,3683,3725,9779,36426775,0.9759,-3020,3020,0,0,0,0,0,0,0,0,0,0
2016-06-21,3693,3826,3693,3809,42726,162743334,2.255,-2406,2239,0,0,0,0,0,0,0,167,0,0
2016-06-22,3790,3877,3785,3859,26268,101368212,1.3127,-3113,3129,0,0,0,0,0,0,0,1,-17,0
2016-06-23,3857,3857,3716,3782,22141,83737262,-1.9953,2558,-2939,0,0,0,0,0,0,0,100,281,0
2016-06-24,3784,3784,3429,3620,97850,354217000,-4.2834,8904,-9017,113,0,0,0,0,0,113,0,0,0
2016-06-27,3462,3619,3462,3560,20114,71605840,-1.6575,1446,-1450,3,0,0,0,0,0,3,1,0,0
2016-06-28,3496,3613,3496,3597,7874,28322778,1.0393,1798,-1798,0,0,0,0,0,0,0,0,0,0
2016-06-29,3595,3699,3595,3685,9511,35048035,2.4465,-983,983,0,0,0,0,0,0,0,0,0,0
2016-06-30,3681,3725,3614,3614,15630,56486820,-1.9267,-395,34,0,0,0,0,0,0,0,230,131,0
2016-07-01,3611,3686,3611,3624,28791,104338584,0.2767,-4091,4091,0,0,0,0,0,0,0,0,0,0
2016-07-04,3675,3675,3622,3669,10767,39504123,1.2417,-1160,1160,0,0,0,0,0,0,0,0,0,0
2016-07-05,3663,3989,3635,3846,247587,952219602,4.8242,511,-813,0,0,0,0,0,0,0,302,0,0
2016-07-06,3813,3813,3716,3782,48942,185098644,-1.6641,-4409,4478,2,0,0,0,0,0,2,-121,50,0
2016-07-07,3800,3833,3744,3766,19129,72039814,-0.4231,996,-996,0,0,0,0,0,0,0,0,0,0
2016-07-08,3784,3817,3740,3782,18620,70420840,0.4249,595,-701,0,0,0,0,0,0,0,106,0,0
2016-07-11,3744,3797,3727,3758,19046,71574868,-0.6346,881,790,0,0,0,0,0,0,0,-1671,0,0
2016-07-12,3730,3782,3730,3769,25051,94417219,0.2927,-1885,2185,0,0,0,0,0,0,0,-300,0,0
2016-07-13,3783,3912,3752,3894,73544,286380336,3.3165,-4309,5049,0,0,0,0,0,0,0,-740,0,0
2016-07-14,3913,4074,3873,4052,215396,872784592,4.0575,-20192,6612,0,0,0,0,0,0,0,13580,0,0
2016-07-15,4011,4163,3902,3915,95489,373839435,-3.381,-1017,918,0,0,0,0,0,0,0,99,0,0
2016-07-18,3887,4024,3842,3946,32145,126844170,0.7918,-7301,5632,0,0,0,0,0,0,0,1669,0,0
2016-07-19,3917,4011,3861,3976,73206,291067056,0.7603,14085,-4906,0,0,0,0,0,0,0,-9179,0,0
2016-07-20,4001,4001,3926,3927,20310,79757370,-1.2324,2715,-3546,0,0,0,0,0,0,0,831,0,0
2016-07-21,3903,3983,3903,3946,21898,86409508,0.4838,-1930,1930,0,0,0,0,0,0,0,0,0,0
2016-07-22,3930,4027,3921,4028,45085,181602380,2.0781,-4189,4651,0,0,0,0,0,0,0,0,-462,0
2016-07-25,4051,4156,4051,4157,70731,294028767,3.2026,-3682,3682,0,0,0,0,0,0,0,0,0,0
2016-07-26,4170,4178,4051,4116,36592,150612672,-0.9863,7946,1475,0,0,0,0,0,0,0,-9421,0,0
2016-07-27,4115,4163,4067,4076,38555,157150180,-0.9718,-6727,6727,0,0,0,0,0,0,0,0,0,0
2016-07-28,4076,4093,4020,4093,29105,119126765,0.4171,-7735,7734,1,0,0,0,0,0,1,0,0,0
