date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-25,208000,210500,206000,207000,184852,38264364000,0.9756,-24675,-18249,41227,3752,4020,8057,4798,-695,21295,1674,23,0
2016-05-26,209000,210000,206000,207000,160891,33304437000,0.0,-16649,19273,-2333,-4486,-437,3580,-219,-50,-721,-314,23,0
2016-05-27,205000,209500,205000,208500,158516,33050586000,0.7246,-39418,42340,678,-2325,5402,6395,-2511,0,-6320,-3562,-38,37
2016-05-30,209000,209500,205500,208000,162500,33800000000,-0.2398,-8297,-17576,25959,14507,2766,2697,-371,-5,6375,-83,-3,-10
2016-05-31,207000,209500,206000,208000,373770,77744160000,0.0,28043,-36121,7399,-22420,32166,6403,1660,1274,-9613,597,82,-2071
2016-06-01,206500,211000,206000,209000,234024,48911016000,0.4808,-25648,-7799,32713,-20682,56403,2347,12651,2474,-20075,762,-28,-405
2016-06-02,208500,209000,203000,205500,311295,63971122500,-1.6746,-14348,-5213,24025,-41896,76837,-5501,-1611,6808,-10612,-3560,-904,0
2016-06-03,207000,208000,202000,203000,298378,60570734000,-1.2165,58072,-30165,-29166,-43082,-4677,-4102,-1632,645,23682,1328,-69,0
2016-06-07,209000,217500,208500,217000,569744,123634448000,6.8966,-144477,80676,66941,43341,11567,18703,4043,-3058,-7051,-3527,387,-604
2016-06-08,218500,224500,218500,224500,490261,110063594500,3.4562,-73796,90203,-17449,-25843,-1147,1456,16870,-16513,5775,1000,42,1953
2016-06-09,221000,224000,215500,216500,1416562,306685673000,-3.5635,79054,-173414,92688,59578,2092,7951,-315,2268,22240,2132,-460,-1126
2016-06-10,217500,220000,216000,216500,242979,52604953500,0.0,-26527,-53836,80045,9400,5344,-959,-3406,-620,70286,386,-68,0
2016-06-13,214000,217500,211000,211000,257039,54235229000,-2.5404,8850,-18405,9811,-4732,-5753,410,-142,3266,16762,-363,107,0
2016-06-14,210500,212500,204000,206000,402773,82971238000,-2.3697,88706,-82998,-9925,-16828,14355,1419,-1875,6276,-13272,3145,1072,0
2016-06-15,205000,209000,203500,206500,355375,73384937500,0.2427,27841,-76711,45660,7077,46523,2022,823,232,-10462,3705,-495,-555
2016-06-16,208500,209500,202500,204000,282818,57694872000,-1.2107,29115,-23683,-11468,-11574,21983,3421,-906,-1240,-24152,5440,596,1000
2016-06-17,205000,206500,198000,199000,579584,115337216000,-2.451,177659,-205896,25662,-29376,36136,-1984,-12640,6625,28867,863,1712,-1966
2016-06-20,202000,206000,201500,205000,407995,83638975000,3.0151,-40633,30847,11465,-5003,21274,3447,-6647,-5610,1604,-643,-1036,2400
2016-06-21,207000,207500,204000,206500,229335,47357677500,0.7317,4367,-8995,4532,1345,-495,-495,3521,2062,-1406,741,-645,0
