date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,72700,73800,70600,72700,153337,11147599900,-1.4905,18266,-20522,2401,22742,-5870,2797,-16135,-5000,3867,8,-153,0
2016-05-27,73700,73700,72200,72600,110879,8049815400,-0.1376,-9166,-31951,41081,19180,6781,12350,931,0,1839,10,26,0
2016-05-30,71600,73700,71600,73200,138196,10115947200,0.8264,-11492,634,10861,14652,-1908,-1707,637,0,-1492,1,-4,679
2016-05-31,73200,74200,72100,72900,668151,48708207900,-0.4098,7142,53021,-60110,6660,-26355,-4834,-24368,0,-10533,1,-54,-680
2016-06-01,72200,73000,71200,72700,194428,14134915600,-0.2743,14103,31963,-46056,35345,-24985,-14194,-17015,-127,-25080,-10,0,0
2016-06-02,72200,72800,71300,72800,133633,9728482400,0.1376,-3013,32638,-29639,9882,-17713,5209,-11853,0,-15164,-15,29,0
2016-06-03,72900,73200,71900,72600,137988,10017928800,-0.2747,814,-10037,9223,15900,-21455,1220,-1701,0,15259,0,0,0
2016-06-07,72100,73700,71600,73500,179261,13175683500,1.2397,-12372,-635,12933,17884,-9168,1440,-6678,0,9455,100,-26,0
2016-06-08,73500,75900,72300,75300,215001,16189575300,2.449,-26502,19100,7401,15082,-11874,455,-5383,0,9121,31,-30,0
2016-06-09,75000,75000,72500,72900,412349,30060242100,-3.1873,14549,-86683,71409,-2956,17170,-3860,28120,-500,33845,600,125,-410
2016-06-10,73400,74200,72900,72900,142839,10412963100,0.0,-7039,10091,-3051,2209,-12412,-6313,-13355,-1504,28324,-1,0,0
2016-06-13,72800,73800,71800,72500,128584,9322340000,-0.5487,7696,4506,-12182,8007,-27914,392,-4026,0,11359,-20,0,0
2016-06-14,72500,72800,70600,71200,160257,11410298400,-1.7931,20954,16817,-37794,9803,-28237,-527,-9423,0,-9410,28,-5,0
2016-06-15,70900,71900,70200,70600,124834,8813280400,-0.8427,1966,33869,-35776,16747,-19981,-14253,-3635,0,-14654,106,-165,0
2016-06-16,70700,71000,68000,68600,210343,14429529800,-2.8329,29245,14642,-43892,8372,-1397,-29718,-1313,-118,-19718,5,0,0
2016-06-17,69200,70000,68000,69000,176120,12152280000,0.5831,3055,-8924,5870,26112,-3296,-21032,184,-1085,4987,-1,0,0
2016-06-20,70700,70900,69100,69300,114426,7929721800,0.4348,11820,-7441,-4378,10493,-2144,-13118,-573,0,964,-1,0,0
2016-06-21,68700,69800,68100,69700,84855,5914393500,0.5772,2751,2330,-4824,8413,-9417,-88,389,-52,-4069,-257,0,0
2016-06-22,69700,71000,69700,70400,91246,6423718400,1.0043,-12233,8280,3954,2572,-10293,0,978,0,10697,-1,0,0
2016-06-23,70400,72700,70100,71500,96758,6918197000,1.5625,-25937,-7356,33298,7471,-2899,792,15948,392,11594,-5,0,0
2016-06-24,70600,72400,68200,69700,111790,7791763000,-2.5175,5773,-20848,14897,11793,6010,672,9916,-372,-13122,498,-320,0
2016-06-27,71500,71700,67700,68000,108904,7405472000,-2.439,15007,-41554,27957,2696,4745,-3467,-512,0,24495,-1410,0,0
2016-06-28,67200,68100,66600,67900,171996,11678528400,-0.1471,15912,35170,-51307,-957,-14965,-27521,2230,0,-10094,225,0,0
2016-06-29,68100,69900,67400,69300,124351,8617524300,2.0619,-20848,47117,-26255,-5685,-5179,-18,-2870,0,-12503,-14,0,0
2016-06-30,69400,69800,68200,69300,183395,12709273500,0.0,15863,36572,-52435,-1097,-6763,-5931,-4613,0,-21965,0,0,-12066
2016-07-01,68600,69900,68600,69200,221918,15356725600,-0.1443,11677,26687,-38417,-20102,9301,-6792,-9632,0,-5783,14,39,-5409
2016-07-04,68300,69100,66200,66500,292518,19452447000,-3.9017,105594,-18551,-85238,-15214,-29588,-30101,-6670,0,-3665,-1371,-434,0
2016-07-05,66500,66700,64300,65300,221722,14478446600,-1.8045,39560,13689,-54508,-6827,-19562,-9511,-9283,0,-9325,1291,-32,0
2016-07-06,64900,65400,63400,64900,175188,11369701200,-0.6126,15828,-27906,12092,756,-2758,8088,-2916,-175,9097,-66,52,0
2016-07-07,65300,65600,64600,64900,118968,7721023200,0.0,10993,23413,-34531,-20277,-3693,-6367,-461,0,-3733,38,87,0
2016-07-08,64100,65800,63600,64300,95438,6136663400,-0.9245,12355,34009,-46164,-16807,-1367,-23821,2958,-956,-5314,-202,2,-857
2016-07-11,64800,64800,63200,63700,244031,15544774700,-0.9331,28169,-57990,29813,4188,-12015,3972,-3815,9827,27656,8,0,0
2016-07-12,63700,65600,63500,65500,135407,8869158500,2.8257,-34091,23346,10766,-587,-21718,44543,-3348,-9827,1703,-14,-7,0
2016-07-13,65500,66200,64800,65300,184417,12042430100,-0.3053,2126,11815,-13926,-28363,-10928,34860,3088,0,-12583,-15,0,0
2016-07-14,65200,65600,64000,64900,172689,11207516100,-0.6126,9485,3180,-12747,-1967,-24298,17684,-3611,0,-555,82,0,0
2016-07-15,65200,66700,64900,66500,204617,13607030500,2.4653,-35025,73402,-38377,-1829,-4703,-2212,-23452,0,-6181,0,0,0
2016-07-18,65600,66900,64300,64500,111515,7192717500,-3.0075,39243,-17208,-24189,-740,-7156,479,-17548,0,776,2154,0,0
2016-07-19,64600,65100,63800,64100,139475,8940347500,-0.6202,12861,38668,-51081,-26255,-9281,1765,-5827,0,-11483,-448,0,0
2016-07-20,64300,64400,63200,63400,218383,13845482200,-1.092,31564,-12429,-19185,-8718,-1917,3047,-6832,0,-4765,50,0,0
