date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,12594,12913,12394,12793,46587,595987491,1.5801,-18854,9826,9010,4312,1574,428,244,0,2452,-22,40,0
2016-05-27,12793,12833,12434,12475,45838,571829050,-2.4857,16344,-2396,-13972,-13413,-116,96,317,0,-856,1,23,0
2016-05-30,12474,12673,12394,12435,20854,259319490,-0.3206,-2190,3682,-1492,-4746,3504,400,-37,0,-613,0,0,0
2016-05-31,12355,12634,12275,12435,50364,626276340,0.0,1834,-1477,-706,-1382,-1009,56,1624,0,5,0,349,0
2016-06-01,12355,12474,12275,12395,32122,398152190,-0.3217,2145,-6037,4086,4803,-206,117,5162,0,-5790,0,-194,0
2016-06-02,12315,12394,12115,12156,41555,505142580,-1.9282,22027,-12885,-9624,-3760,-609,-505,-1313,0,-3437,475,7,0
2016-06-03,12155,12394,11996,12355,60568,748317640,1.6371,-21544,7545,13775,858,13962,-333,-4901,0,4189,224,0,0
2016-06-07,12235,12474,12235,12395,55718,690624610,0.3238,-16508,-6498,22997,4983,14888,0,-425,0,3551,8,1,0
2016-06-08,12275,12394,12155,12315,105562,1299996030,-0.6454,19071,-38777,18200,-1274,15875,-3539,-5236,-2500,14794,1506,0,80
2016-06-09,12394,12474,11996,11996,170192,2041623232,-2.5903,12136,23872,-39624,-14366,2547,-9646,-23448,0,5289,3616,0,0
2016-06-10,12036,12235,11996,12196,93481,1140094276,1.6672,-1279,25114,-26037,-8425,9465,0,-33454,0,6344,2226,-24,33
2016-06-13,12195,12235,11996,12156,38369,466413564,-0.328,2003,-69,-1943,-6984,-3127,4,955,0,7209,9,0,0
2016-06-14,12155,12355,12036,12156,73846,897671976,0.0,-7209,-12766,20004,18382,-17138,-2819,-124,0,21703,-28,-1,0
2016-06-15,12115,12275,11996,12116,45433,550466228,-0.3291,-3938,-13036,16384,17750,3502,-1163,-26,0,-3679,580,10,0
2016-06-16,12076,12235,12036,12076,41100,496323600,-0.3301,-5021,-10437,9052,5227,568,-680,-126,0,4063,6406,0,0
2016-06-17,12155,12155,11717,11797,62618,738704546,-2.3104,41338,-36366,-8708,-7665,163,21,-37,-2500,1284,3596,140,26
2016-06-20,11797,11956,11797,11877,42990,510592230,0.6781,-2423,-7501,9038,0,1556,2125,-284,0,5641,970,-84,0
2016-06-21,11876,11956,11717,11757,34816,409331712,-1.0104,9057,-4586,-4494,-3322,368,11,173,0,-1724,48,-25,0
2016-06-22,11757,12036,11717,11957,45632,545621824,1.7011,-13307,4045,9262,-163,-4859,0,232,0,14052,0,0,0
2016-06-23,11956,12076,11797,11877,35593,422738061,-0.6691,9497,-14261,4797,59,-43,0,-154,0,4935,-33,0,0
2016-06-24,11876,11956,11199,11319,61456,695620464,-4.6982,8977,-5150,-7731,-5859,1189,0,-90,0,-3022,3873,31,51
2016-06-27,11039,11557,10840,11518,31939,367873402,1.7581,-10280,-3843,13752,11132,-763,178,-421,0,3626,71,300,0
2016-06-28,11358,11677,11318,11558,31248,361164384,0.3473,1983,-9767,7987,15231,246,0,-8158,0,668,-183,-20,0
2016-06-29,11478,11637,11398,11598,28192,326970816,0.3461,9449,-5063,-4395,3061,-20,0,-4559,0,-2877,-1,10,0
2016-06-30,11557,11597,11478,11478,14261,163687758,-1.0347,5336,-2782,-2533,1890,-1062,0,-324,0,-3037,-1,-20,0
2016-07-01,11438,11797,11438,11678,24584,287091952,1.7425,-5540,-1746,7292,2406,3903,0,2566,0,-1583,0,-6,0
2016-07-04,11637,11836,11478,11558,42859,495364322,-1.0276,16177,-10093,-6083,610,-4894,-316,-2037,0,554,9,-10,0
2016-07-05,11597,11597,11438,11518,18271,210445378,-0.3461,3274,-1025,-2356,-2374,-74,0,-645,0,737,107,0,0
2016-07-06,11557,11557,11239,11518,45453,523527654,0.0,-7327,-8729,16056,4237,3546,2783,-358,0,5848,0,0,0
2016-07-07,11518,11557,11358,11399,44937,512236863,-1.0332,22555,-8786,-10466,-15339,-1393,0,-1054,0,7320,-3313,10,0
2016-07-08,11358,11438,11199,11279,40125,452569875,-1.0527,9427,-5991,-5580,-3405,-1681,123,-3190,0,2573,2094,50,0
