date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-25,25660,25960,25480,25900,237255,6144904500,1.8883,-42108,11393,18616,-10275,3019,1960,-558,-681,24866,12158,-59,285
2016-05-26,25980,26060,25900,25920,253073,6559652160,0.0772,-42190,21371,3383,-4534,-10455,2888,11623,-205,4402,17565,-129,-336
2016-05-27,26000,26020,25460,25640,274891,7048205240,-1.0802,-553,-9117,-17480,-11971,-2868,-3569,-3595,299,4288,27120,30,-64
2016-05-30,25940,25940,25480,25600,206307,5281459200,-0.156,-2191,27159,-52929,-25197,-9349,-3749,-2084,162,-12417,27960,1,-295
2016-05-31,25600,26000,25360,25840,1250554,32314315360,0.9375,-12891,-144866,103009,29157,32501,42843,10698,82,-14292,54729,19,2020
2016-06-01,25960,26820,25900,26660,470080,12532332800,3.1734,-147603,58712,64706,46145,4506,20649,30083,-93,-37064,24388,-203,480
2016-06-02,27000,27440,26920,27300,476139,12998594700,2.4006,-87992,92354,-27180,16455,-14876,8794,7974,-859,-44654,21606,1212,-14
2016-06-03,27400,27580,27280,27540,341324,9400062960,0.8791,-56481,-11996,42518,8200,54,1657,-1273,-222,34447,26100,-141,-345
2016-06-07,27720,28040,27600,27960,462843,12941090280,1.5251,-71145,25749,17899,5310,-14863,414,-1919,-105,29181,27490,7,-119
2016-06-08,28380,28380,27780,28120,376162,10577675440,0.5722,-38518,57034,-45042,-38004,-34958,140,-2913,-680,31277,26840,-314,96
2016-06-09,28160,28600,28120,28600,515375,14739725000,1.707,-67386,129654,-79011,-49038,-70872,-1198,-24237,235,67226,17390,-647,-1127
2016-06-10,28480,28500,28080,28120,289681,8145829720,-1.6783,-13214,-38168,24870,-18825,-12032,-912,-17304,-142,74266,26604,-92,-181
2016-06-13,27920,27920,27240,27420,304966,8362167720,-2.4893,-4093,-678,-22256,-7598,-21895,-9416,-1737,106,18284,27327,-300,0
2016-06-14,27420,27720,27380,27600,245461,6774723600,0.6565,-2156,38330,-64531,1264,-35942,25,-4199,485,-26164,28345,12,0
2016-06-15,27699,28320,27660,28260,306689,8667031140,2.3913,-21447,14382,-19954,12003,4218,5102,2297,-84,-44897,27034,-15,1407
2016-06-16,28259,28340,27900,28180,292431,8240705580,-0.2831,-6310,39559,-60444,6103,-24713,1314,-4877,-1055,-37336,27216,-21,120
2016-06-17,28200,28700,28200,28520,328394,9365796880,1.2065,-41264,-1667,18039,15627,-9760,-3138,6750,-1148,8694,27584,-2692,1014
2016-06-20,28540,28960,28519,28620,270316,7736443920,0.3506,-22902,-14961,14268,-6455,5058,10843,896,-51,3528,24929,-1334,449
