date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,9170,9170,9040,9060,607522,5504149320,-0.7667,-56084,-19286,28821,-64729,1156,10533,522,-11000,92339,29470,17079,0
2016-05-27,9100,9180,9050,9160,673201,6166521160,1.1038,55525,-61268,9171,-187268,2199,2099,86721,0,105420,2799,-6227,0
2016-05-30,9160,9160,9000,9000,947175,8524575000,-1.7467,207474,47872,-240512,-81482,-51751,-27091,-104443,0,24255,4550,-19384,0
2016-05-31,9020,9170,8960,9080,1117692,10148643360,0.8889,-110346,109611,-35064,-50565,-31108,11163,48193,0,-5670,35798,1,-7077
2016-06-01,9050,9100,9010,9050,797430,7216741500,-0.3304,58439,86394,-136904,-173592,8323,3398,68834,0,-43867,-7434,-495,0
2016-06-02,9090,9090,8980,9030,706350,6378340500,-0.221,-46870,-2825,28672,33745,-1407,11980,43804,0,-59450,20900,123,0
2016-06-03,9080,9160,9030,9090,748597,6804746730,0.6645,-60288,-48453,94946,68309,-19314,878,-3916,0,48989,14000,-205,0
2016-06-07,9120,9510,9090,9510,1761135,16748393850,4.6205,-533444,156290,402837,109378,49629,75609,-6311,10754,162286,-25508,-175,1492
2016-06-08,9510,9590,9390,9590,1257699,12061333410,0.8412,-337552,58782,274002,160783,-5965,-2856,94206,410,27424,4730,38,0
2016-06-09,9600,9890,9520,9670,2698188,26091477960,0.8342,-458035,272016,164149,-153578,384833,10136,-54566,-410,-21419,-4509,26379,-847
2016-06-10,9690,9750,9590,9700,869195,8431191500,0.3102,-121746,-213,111616,40730,74117,-52119,4998,0,74067,10433,-90,-30177
2016-06-13,9560,9570,9370,9410,923016,8685580560,-2.9897,-91497,132189,-10886,57881,-27341,-86713,-4080,-10754,60121,-8906,-20900,0
2016-06-14,9350,9440,9190,9290,981957,9122380530,-1.2752,115827,-113527,-8344,-96313,57296,3167,-20049,0,47555,6125,-81,0
2016-06-15,9270,9300,9150,9240,664193,6137143320,-0.5382,129351,-118227,-12725,13724,22824,3765,12821,0,-87459,1000,601,21600
2016-06-16,9260,9270,9090,9110,864544,7875995840,-1.4069,88599,-204612,81065,45647,45926,3456,13727,0,-49651,34705,243,21960
2016-06-17,9240,9250,9080,9170,679691,6232766470,0.6586,59490,-1718,-47771,-13710,-102418,278,-1366,24668,44777,-10000,-1,0
2016-06-20,9250,9470,9250,9430,765747,7220994210,2.8353,-188610,-62213,258206,31078,88149,126473,13484,7170,-15500,-7383,0,7352
2016-06-21,9450,9450,9300,9370,451497,4230526890,-0.6363,106786,-122901,9831,17710,8109,652,-2236,0,-14404,6284,0,0
2016-06-22,9360,9630,9320,9600,1190888,11432524800,2.4546,-493332,140252,330138,233915,57002,-57312,85737,0,10796,23073,-131,0
2016-06-23,9510,9650,9460,9640,911623,8788045720,0.4167,-65358,139972,-53062,-12818,-41477,-47898,-18316,-2400,69847,-21357,-195,0
2016-06-24,9700,9750,9010,9050,3370268,30500925400,-6.1203,88601,38968,-148842,-152211,-49810,-68882,-91402,73552,1911,22403,-1130,138000
2016-06-27,8740,8920,8640,8850,2095165,18542210250,-2.2099,478187,-23369,-470061,-296904,777,-20341,-185237,-1839,-7517,15243,0,41000
2016-06-28,8750,8920,8720,8910,928143,8269754130,0.678,92309,-33412,-80200,-46181,-9203,-107,-24489,-15000,14780,21603,-300,0
2016-06-29,9060,9130,8970,9090,834611,7586613990,2.0202,17812,41378,-62427,-47494,3786,36822,-31405,-12919,-14615,3237,0,3398
2016-06-30,9200,9220,9050,9130,800273,7306492490,0.44,114259,60061,-166680,32666,-118897,180,-22989,0,-72333,-7645,5,14693
2016-07-01,9180,9320,9160,9290,983254,9134429660,1.7525,-259854,190087,68455,-53680,101389,65789,-60067,0,15024,2171,-859,0
2016-07-04,9320,9320,9190,9230,685833,6330238590,-0.6459,204532,-18137,-177495,-92729,-47062,60567,-86593,0,-11678,-8900,0,0
2016-07-05,9220,9280,9170,9260,422839,3915489140,0.325,-71371,45458,30455,4829,77973,-2836,-19062,0,-30449,-4542,0,0
2016-07-06,9220,9230,9010,9070,1054081,9560514670,-2.0518,233949,-516,-231455,-126285,-39572,-45833,-44786,0,25021,-1794,-184,0
2016-07-07,9110,9180,9080,9120,399270,3641342400,0.5513,-43876,41683,-12192,-346,-11059,42524,-3327,0,-39984,14696,-311,0
2016-07-08,9110,9140,9010,9040,582147,5262608880,-0.8772,16293,89241,-95594,4341,-5175,-47249,-5461,0,-42050,-9940,0,0
2016-07-11,9140,9300,9140,9280,673697,6251908160,2.6549,-212956,126772,87684,72701,-37674,-3509,8853,0,47313,-1500,0,0
2016-07-12,9330,9380,9240,9300,757833,7047846900,0.2155,-100802,-19174,120055,23013,118336,-94529,-3896,-4716,81847,0,-79,0
2016-07-13,9410,9570,9380,9520,1459016,13889832320,2.3656,-501946,264097,268854,205010,-17845,81640,-46174,28404,17819,-32275,1270,0
2016-07-14,9500,9600,9460,9580,879590,8426472200,0.6303,-180994,50196,110918,122139,-43535,51943,1591,-11102,-10118,19880,0,0
2016-07-15,9690,9800,9620,9660,1611920,15571147200,0.8351,-496483,194819,323052,354727,46308,-6948,-19625,-114,-23236,-10097,-11291,-28060
2016-07-18,9720,9750,9640,9740,595644,5801572560,0.8282,-188453,87195,109102,111157,-8673,-2219,29013,0,-20176,-7781,-63,0
2016-07-19,9760,9770,9590,9630,598728,5765750640,-1.1294,-91434,63093,1054,10627,-9569,-2324,13268,0,-10948,-551,27838,0
2016-07-20,9640,9900,9600,9900,1696198,16792360200,2.8037,-415538,69104,322482,137782,6413,15723,130554,-1268,33278,25302,-1350,0
2016-07-21,9990,10150,9960,10000,1872574,18725740000,1.0101,-230585,118932,123954,84998,277387,-52461,59217,17953,-51395,-22000,9699,-211745
2016-07-22,9960,10200,9940,10150,1317301,13370605150,1.5,-326572,65192,277367,337421,19245,-923,-67475,0,-10901,1000,-16987,0
2016-07-25,10250,10400,10200,10350,1835221,18994537350,1.9704,-466822,173006,343432,147872,-14586,175631,59837,21429,-15889,-12486,-37130,-30862
2016-07-26,10300,10500,10200,10450,1500010,15675104500,0.9662,-471514,228576,315799,186391,-11560,50958,9856,-1741,81895,-73007,146,0
2016-07-27,10450,10550,10350,10400,1638418,17039547200,-0.4785,-259923,276212,-13919,72544,-123324,-42671,-12049,0,123745,-5609,3239,-32164
2016-07-28,10400,10450,10100,10150,1455789,14776258350,-2.4038,-184026,108415,65477,105941,-84713,542,-53986,0,101465,-17657,27791,-3772
2016-07-29,10200,10650,10200,10400,2364827,24594200800,2.4631,-376238,161112,230852,82369,21779,-7566,132224,0,2046,-15526,-200,0
2016-08-01,10500,10650,10350,10650,2076790,22117813500,2.4038,-636586,24344,686482,-54957,622040,192862,73562,-50000,27290,-73350,-890,-124315
2016-08-02,10600,10600,10100,10200,2097121,21390634200,-4.2254,121584,-30333,-71870,-294146,83152,72707,92745,-56559,33783,7009,-26390,-3552
2016-08-03,10150,10250,9980,10100,1380526,13943312600,-0.9804,-88161,-40627,114377,-28937,67721,61832,103251,-39785,-49705,18284,-3873,0
2016-08-04,10150,10500,10150,10450,1467851,15339042950,3.4653,-390094,10117,409547,17677,216391,-4537,114312,0,65704,-26239,-3331,0
2016-08-05,10450,10700,10350,10650,1806510,19239331500,1.9139,-675899,-151494,831105,69508,612523,84963,123232,52610,-111731,-7043,3331,0
2016-08-08,10800,10850,10600,10650,1224253,13038294450,0.0,-31698,-37881,51339,25071,55814,15622,14277,-1648,-57797,17453,787,0
2016-08-09,10600,10700,10450,10700,1114137,11921265900,0.4695,-4378,-134467,139801,31805,26801,4382,15353,0,61460,-7,-949,0
2016-08-10,10700,10750,10550,10700,1435733,15362343100,0.0,-303634,-170516,520452,53304,529620,4306,-50832,-18532,2586,-47048,746,0
2016-08-11,10700,10750,10450,10500,1057490,11103645000,-1.8692,262769,-106248,-153257,-21150,63307,-74438,-22202,-3480,-95294,-5070,1806,0
2016-08-12,10600,10850,10350,10450,2361947,24682346150,-0.4762,395624,-339293,-66841,-64408,16085,-15659,36166,-92,-38933,13394,-2884,0
2016-08-16,10550,10650,10450,10500,1204271,12644845500,0.4785,-95279,114839,-12091,-5325,36054,7529,-4754,0,-45595,-7588,119,0
2016-08-17,10400,10450,10100,10350,1378395,14266388250,-1.4286,-58151,155444,-97974,-27647,76256,-55322,-24838,0,-66423,-21,702,0
2016-08-18,10250,10500,10150,10200,1355418,13825263600,-1.4493,365504,82606,-438495,-452930,1214,20636,22684,0,-30099,-9484,-131,0
2016-08-19,10250,10250,10050,10100,668133,6748143300,-0.9804,26850,36862,-73679,-27163,-10712,-18655,-14517,0,-2632,10047,-80,0
2016-08-22,10100,10100,9920,9940,911405,9059365700,-1.5842,65293,-18565,-50868,495,-73825,-8333,6253,0,24542,10965,-6825,0
2016-08-23,9940,10100,9900,10000,429616,4296160000,0.6036,-26164,-12431,38905,51337,9950,-8797,-11394,0,-2191,-10,-300,0
2016-08-24,10050,10100,9970,10050,440042,4422422100,0.5,35575,-91984,57167,29737,-414,2879,-6651,0,31616,22,-780,0
2016-08-25,10000,10200,9990,10150,683284,6935332600,0.995,-178131,-56351,193989,122184,-12562,15859,571,0,77092,39783,710,-9155
2016-08-26,10100,10100,9950,10050,622996,6261109800,-0.9852,170515,-122043,54259,36732,-1174,-47127,-992,0,66820,3126,-105857,0
2016-08-29,9980,10100,9910,10050,899471,9039683550,0.0,-120643,264006,-184916,-42301,-114971,14238,-61138,-10000,29256,40181,1372,0
2016-08-30,10100,10200,10000,10150,524121,5319828150,0.995,-101107,12633,88411,-11079,-58912,1367,35517,100000,30305,63,0,-8787
2016-08-31,10050,10100,9970,10100,801711,8097281100,-0.4926,-586,71061,-70104,63338,466,-73283,-48851,0,-10299,-271,-100,-1475
2016-09-01,10050,10150,9990,10100,576843,5826114300,0.0,34008,101705,-146123,-3303,-115622,408,-33779,0,6173,12366,-1956,0
2016-09-02,10100,10150,9980,10100,667319,6739921900,0.0,67125,-55317,-12300,46034,-32985,68,4625,0,-30042,4873,-4381,0
2016-09-05,10200,10350,10100,10300,992557,10223337100,1.9802,-317517,140656,143655,33417,27310,22235,925,28220,20762,-179,33385,10786
2016-09-06,10300,10350,10200,10300,472080,4862424000,0.0,-32433,37624,-11687,4053,-6136,-243,5935,-2535,-814,39921,-33425,-11947
2016-09-07,10300,10450,10250,10300,953092,9816847600,0.0,-144317,33029,101569,-21121,70771,54632,20071,0,-25545,9710,9,2761
2016-09-08,10300,10450,10250,10300,934211,9622373300,0.0,-71884,71032,-9605,68014,-112607,-56440,69713,5755,28090,9995,462,-12130
2016-09-09,10300,10300,10100,10300,843326,8686257800,0.0,-49345,86019,-20655,151693,-97965,2339,-1000,576,-76298,-15486,-533,0
2016-09-12,10050,10150,10000,10050,1059730,10650286500,-2.4272,130314,-55243,-79835,28661,-13844,-69453,-117755,-40733,165789,4729,35,-32500
2016-09-13,10150,10150,9830,9850,1158818,11414357300,-1.99,311716,-98951,-221848,6645,-19445,606,-16874,-29963,-162817,13648,-4565,0
2016-09-19,9760,9950,9710,9950,648831,6455868450,1.0152,29755,-28714,-1284,33414,-25396,-17491,-8915,861,16243,643,-400,0
2016-09-20,9880,9960,9830,9950,531296,5286395200,0.0,94324,29979,-118656,-20388,-4388,459,-31230,0,-63109,-897,-4750,0
2016-09-21,9940,9990,9860,9990,418632,4182133680,0.402,103794,6108,-110325,5950,-6311,996,-97722,0,-13238,423,0,0
2016-09-22,10100,10150,10000,10050,731582,7352399100,0.6006,72972,64753,-175647,-50825,9132,23897,-1886,0,-155965,-925,38847,0
2016-09-23,10100,10100,9990,10050,551073,5538283650,0.0,-78248,6413,71144,25793,-12617,11094,2748,0,44126,-9,700,0
2016-09-26,10000,10050,9960,9990,437309,4368716910,-0.597,-46455,9626,68434,872,40504,1,7319,0,19738,-31156,-449,0
2016-09-27,9960,10050,9890,10050,370950,3728047500,0.6006,16583,-35885,19297,-14001,2547,2496,-892,-912,30059,5,0,0
2016-09-28,10050,10050,9950,9950,630058,6269077100,-0.995,6068,-180179,174312,1786,63524,-2248,28074,0,91483,-201,0,-8307
2016-09-29,10050,10100,10000,10050,649527,6527746350,1.005,-187170,-88335,269831,83240,58618,10093,5478,5000,115525,5698,-24,-8123
2016-09-30,9970,10100,9930,9970,694382,6922988540,-0.796,179399,-191669,14275,1701,10884,1258,-41719,0,42151,-142,-1863,0
2016-10-04,10000,10050,9950,9960,532688,5305572480,-0.1003,214156,-102259,-126682,43410,-2006,-65381,-68,-42100,-53400,14985,-200,-7137
2016-10-05,9930,9970,9830,9840,659733,6491772720,-1.2048,390756,-144197,-252856,-34252,-35741,-4945,15311,-96116,-97113,6296,1,0
2016-10-06,9900,9900,9800,9800,712349,6981020200,-0.4065,182337,28483,-225922,-8863,-11559,-46439,-11881,627,-147807,14989,113,0
2016-10-07,9800,9940,9740,9920,772564,7663834880,1.2245,-249639,250709,-1043,29659,-66063,-10591,-1138,1519,45571,-12,-15,0
2016-10-10,9870,10050,9870,9980,606453,6052400940,0.6048,-147991,74816,74182,-44202,23277,3863,1422,0,89822,-1007,0,0
2016-10-11,10050,10050,9970,10050,527752,5303907600,0.7014,-190558,68560,154002,11205,32528,-6326,48839,0,67756,-32004,0,0
2016-10-12,10000,10100,9990,10100,696812,7037801200,0.4975,-245482,110976,96538,-11053,-4164,-595,23417,0,88933,37998,-30,0
2016-10-13,10100,10100,10000,10000,917544,9175440000,-0.9901,-193624,-5704,192509,43481,49410,-1874,-1119,0,102611,6819,0,0
2016-10-14,10000,10200,10000,10200,796398,8123259600,2.0,-213744,2964,210834,-3549,143638,-5778,17194,55000,4329,-54,0,0
2016-10-17,10250,10300,10150,10200,765585,7808967000,0.0,-115878,108771,5428,-32673,421,1645,6340,521,29174,1679,0,0
2016-10-18,10150,10300,10100,10300,800518,8245335400,0.9804,-103055,110664,46940,-81547,-30389,1503,21506,50000,85867,-16002,-38547,0
2016-10-19,10300,10300,10200,10250,871797,8935919250,-0.4854,27787,-63086,36514,-1672,-5891,17278,11775,0,15024,-691,-524,0
2016-10-20,10300,10400,10250,10400,1073105,11160292000,1.4634,-470475,300075,179995,66356,-16663,2019,74748,5000,48535,-10079,484,0
2016-10-21,10400,10450,10250,10450,1208306,12626797700,0.4808,-122428,-81998,96568,144307,-39889,-29335,-7702,0,29187,107858,0,0
2016-10-24,10450,10550,10400,10550,678231,7155337050,0.9569,-371463,196861,147399,109463,8115,-33150,-1661,0,64632,27213,-10,0
2016-10-25,10550,10550,10400,10450,599505,6264827250,-0.9479,-55928,-85579,141514,115927,2645,-4170,12953,-7795,21954,-7,0,0
2016-10-26,10350,10400,10150,10250,649596,6658359000,-1.9139,-80192,96226,-15344,67672,-62599,-20702,15002,0,-14717,-190,-500,0
2016-10-27,10350,10400,10250,10250,488290,5004972500,0.0,-171630,19063,152569,76892,12672,2389,80891,0,-20275,-2,0,0
2016-10-28,10300,10350,10150,10200,383618,3912903600,-0.4878,-55367,11412,42201,-23523,10259,13987,4708,0,36770,2654,-900,0
2016-10-31,10150,10200,10050,10100,450221,4547232100,-0.9804,-69545,54504,27711,8098,14345,482,4422,-30000,30364,-12560,-110,0
2016-11-01,10100,10300,10000,10150,757401,7687620150,0.495,-145863,71592,74270,-22288,4136,866,79826,11302,428,-4,5,0
2016-11-02,10050,10100,9820,9910,1189545,11788390950,-2.3645,409211,-67351,-350918,-339518,39389,-3900,58912,-15000,-140801,5397,3661,50000
2016-11-03,9900,10050,9850,10050,695498,6989754900,1.4127,-144656,-78273,222870,125491,3195,-11455,41394,0,64245,59,0,0
2016-11-04,10000,10100,9960,10100,571892,5776109200,0.4975,-11436,-56492,66914,71974,-11453,5308,-9855,-1626,12566,-4,1018,0
