date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,56195,56195,55104,55741,429,23912889,0.0,-733,362,512,577,-100,0,92,-2,-55,-141,0,0
2016-05-27,56285,58832,55558,58832,929,54654928,5.5453,-1152,575,822,849,-88,-169,243,0,-8,-245,0,-5
2016-05-30,58832,58832,58196,58742,548,32190616,-0.153,-479,224,344,933,-248,-384,120,-1,-72,-89,0,-4
2016-05-31,58377,58741,57286,57559,676,38909884,-2.0139,361,-831,505,249,126,0,160,0,-29,-35,0,-1
2016-06-01,57013,58196,56377,56923,793,45139939,-1.105,-17,431,-502,0,-705,0,-35,290,-52,99,-11,0
2016-06-02,56377,57468,54104,54377,1824,99183648,-4.4727,2196,224,-2366,605,-1404,-1464,133,-3,-233,-54,0,0
2016-06-03,54376,54376,52194,53013,1486,78777318,-2.5084,1145,637,-1782,1400,-1673,-861,-799,0,151,0,0,0
2016-06-07,53376,54011,52830,53649,1093,58638357,1.1997,-70,596,-528,1403,-1058,-110,-21,-3,-739,2,0,0
2016-06-08,53013,54013,51376,53104,1431,75991824,-1.0159,790,-383,-409,1895,-1062,-20,-1235,-13,26,2,0,0
2016-06-09,53285,53376,51739,51740,790,40874600,-2.5685,1502,-578,-931,-248,-175,-75,-20,-46,-294,7,0,-73
2016-06-10,51830,53467,50375,52831,1299,68627469,2.1086,-698,-156,752,228,71,-90,472,-1,72,102,0,0
2016-06-13,52467,52558,51376,51831,556,28818036,-1.8928,294,-718,422,-768,750,373,-5,0,72,2,0,0
2016-06-14,52194,53285,52103,53195,556,29576420,2.6316,-407,578,-173,-2,-849,583,-32,0,127,2,0,0
2016-06-15,53376,54922,53104,54468,789,42975252,2.3931,-549,-325,807,1013,362,-456,-6,0,-106,67,0,0
2016-06-16,54376,54830,53649,54377,309,16802493,-0.1671,-250,-177,394,331,-22,-18,-17,0,120,32,1,0
2016-06-17,54921,55286,54195,54650,270,14755500,0.5021,-338,318,100,230,-108,0,-23,0,1,-80,0,0
2016-06-20,54739,55649,53830,55559,351,19501209,1.6633,-1010,163,858,230,434,-1,119,-2,78,-11,0,0
2016-06-21,54831,56285,53648,56195,569,31974955,1.1447,-510,251,468,546,29,0,-45,-1,-61,-208,-1,0
2016-06-22,56195,56648,54831,55104,301,16586304,-1.9415,-180,435,-215,155,-150,0,-47,0,-173,-38,-2,0
2016-06-23,55195,55286,54013,54559,334,18222706,-0.989,-160,81,81,266,146,-210,-129,-5,13,-2,0,0
2016-06-24,54377,55377,51922,54650,690,37708500,0.1668,-1071,98,974,948,539,-4,-4,0,-505,-1,0,0
2016-06-27,53649,57105,53013,56105,857,48081985,2.6624,-1732,-89,1822,914,770,564,40,-25,-441,0,-1,0
2016-06-28,56013,56831,55740,56195,605,33997975,0.1604,-1545,382,1303,1616,3,0,-22,-1,-293,-140,0,0
2016-06-29,55922,56831,55649,56195,568,31918760,0.0,-241,-620,667,1823,-214,0,-26,0,-916,194,0,0
2016-06-30,56195,57286,55286,56741,730,41420930,0.9716,-1309,-204,1678,1959,-128,0,-117,-4,-27,-165,0,-5
2016-07-01,57286,57922,56468,56559,227,12838893,-0.3208,-260,283,-23,45,-25,0,-112,0,69,0,0,0
2016-07-04,57649,57649,55649,56195,196,11014220,-0.6436,20,31,-51,-30,0,0,-23,0,2,0,0,0
2016-07-05,56286,56740,54558,55104,511,28158144,-1.9415,657,-512,-145,-517,420,0,-47,0,-1,0,0,0
2016-07-06,54558,55104,53831,54377,369,20065113,-1.3193,-215,153,62,33,237,-100,-56,0,-52,0,0,0
2016-07-07,54103,54831,53649,53649,406,21781494,-1.3388,743,-220,-523,-420,268,0,-26,-1,-344,0,0,0
2016-07-08,53649,54013,51830,52740,868,45778320,-1.6943,1364,-448,-916,-1093,271,53,-65,0,48,0,0,-130
2016-07-11,52830,53649,52285,52649,436,22954964,-0.1725,596,-14,-569,-337,-51,0,-11,-1,-169,-13,0,0
2016-07-12,52285,53558,52012,53013,578,30641514,0.6914,-213,-102,383,-613,901,0,-5,66,34,-68,0,0
2016-07-13,53013,54013,52649,53013,900,47711700,0.0,435,293,-698,-706,136,-12,-136,-1,21,-30,0,0
2016-07-14,53557,53557,52740,53286,473,25204278,0.515,216,274,-491,-936,-3,568,-7,-39,-74,1,0,0
2016-07-15,52831,53285,52558,53104,715,37969360,-0.3416,251,511,-1459,-1038,-774,566,-223,-10,20,697,0,0
2016-07-18,53558,53558,51830,52467,534,28017378,-1.1995,520,-68,-453,-565,161,7,-6,-3,-47,1,0,0
2016-07-19,52467,52830,51194,52558,973,51138934,0.1734,-112,-541,1367,-1031,1532,1077,-64,0,-147,-714,0,0
2016-07-20,52376,52649,51467,51649,484,24998116,-1.7295,865,-476,-389,-703,-14,401,-65,-3,-5,0,0,0
2016-07-21,51466,53467,51102,52376,1238,64841488,1.4076,-925,-166,1120,-140,-303,-328,1676,-21,236,-26,-3,0
2016-07-22,53012,53012,51830,52376,468,24511968,0.0,283,530,-786,-522,53,-60,0,14,-271,-27,0,0
2016-07-25,52012,52830,51830,52740,416,21939840,0.695,3,-12,7,-452,101,171,-104,-4,295,2,0,0
2016-07-26,52376,52740,51921,52740,407,21465180,0.0,252,-21,-303,170,-412,-22,-20,0,-19,72,0,0
2016-07-27,52740,53285,52194,52740,608,32065920,0.0,-110,138,-30,-785,714,459,111,-71,-458,2,0,0
2016-07-28,53376,53376,52194,52376,262,13722512,-0.6902,46,-191,143,-300,286,201,-37,0,-7,2,0,0
2016-07-29,52285,52921,51467,51467,458,23571886,-1.7355,226,-178,-50,-192,-2,591,-188,-25,-234,2,0,0
2016-08-01,51739,53648,51011,52194,549,28654506,1.4126,791,-345,-416,-400,-18,17,-4,-11,0,-30,0,0
2016-08-02,52557,53740,52376,52467,912,47849904,0.523,397,-669,255,1108,-486,0,-25,0,-342,17,0,0
