date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-25,53500,55200,53200,55100,193785,10677553500,3.5714,-90820,56580,37131,11798,17054,16146,1811,-400,-6878,-2885,-6,-2400
2016-05-26,55100,55700,54400,55500,145110,8053605000,0.726,-38131,12217,27185,21127,-714,4092,18264,1591,-17354,-1309,38,179
2016-05-27,55700,57400,55300,56700,166062,9415715400,2.1622,-46556,27767,25126,27413,2773,1084,6104,822,-12987,-6258,-79,-83
2016-05-30,56200,56900,55700,56300,111271,6264557300,-0.7055,-6033,-284,8135,11168,-2509,395,-1748,0,846,-1818,0,-17
2016-05-31,56100,57300,55500,56800,135607,7702477600,0.8881,-23978,19507,12119,21937,-139,62,-3462,-115,-5617,-6600,-1048,-547
2016-06-01,56200,57800,56200,57500,103511,5951882500,1.2324,-7895,9946,1135,10587,174,5699,-2622,0,-12703,-3049,-137,0
2016-06-02,57300,58600,56800,57400,158282,9085386800,-0.1739,-22302,19195,6488,-5163,-2857,-2187,30010,0,-16128,-3505,124,2813
2016-06-03,57400,58300,56900,58100,114105,6629500500,1.2195,-26202,12937,19910,6407,119,2833,9763,0,-1236,-6668,23,2024
2016-06-07,57900,58500,57200,58100,134687,7825314700,0.0,-22324,-5773,29819,7945,559,-52,18195,0,2037,-1922,200,1135
2016-06-08,58000,59200,57600,59100,140529,8305263900,1.7212,-43506,47418,-1861,8287,-6826,226,-3775,0,69,-2051,0,158
2016-06-09,59000,59600,57200,57600,237900,13703040000,-2.5381,-4908,51287,-43908,-41758,-36352,3702,-10544,0,41391,-2351,-120,-347
2016-06-10,58100,59000,57100,57900,113973,6599036700,0.5208,-8033,46793,-37010,-12797,-4600,-1972,-5792,-79,-11443,-1922,172,-327
2016-06-13,57200,57900,56000,56800,88015,4999252000,-1.8998,-8526,15506,-8082,-2218,-242,-2763,-9231,0,6372,1102,0,0
2016-06-14,56300,58400,56300,56800,146624,8328243200,0.0,-8716,49393,-39343,1658,-43551,-1142,7725,0,-5149,-970,-364,1116
2016-06-15,56800,58400,56700,58000,105566,6122828000,2.1127,-28411,19287,9992,20518,-5856,12024,4733,-550,-20877,-1093,225,0
2016-06-16,57900,58900,56300,56500,92487,5225515500,-2.5862,-2056,7346,-5242,-3441,-10472,-1098,182,0,9587,-92,44,0
2016-06-17,57300,57500,55100,55900,101181,5656017900,-1.0619,-11375,23250,-11519,5898,-25679,-4329,-1078,0,13669,-176,-180,0
2016-06-20,56400,58700,56000,56700,155349,8808288300,1.4311,6854,19026,-27626,-32057,10233,11258,-12916,-57,-3927,1641,105,-160
2016-06-21,57300,57500,56200,57400,88220,5063828000,1.2346,551,28057,-25980,-8162,-26054,20876,-1070,200,-11770,-2578,-50,0
2016-06-22,57400,57900,57000,57200,78144,4469836800,-0.3484,-600,12603,-11458,-2611,-1092,4268,-15577,-55,3772,-559,14,-163
2016-06-23,56900,57200,56100,56700,75995,4308916500,-0.8741,-5864,5021,1686,-8697,-2365,172,-9131,5129,16578,-762,-81,0
2016-06-24,57200,58000,53900,55000,238036,13091980000,-2.9982,-41709,56451,-16000,-7061,-8262,-4800,-2774,1881,5338,1252,6,-322
2016-06-27,53100,55500,53000,54500,164575,8969337500,-0.9091,-13971,66364,-49978,9842,-10498,-48578,-735,-810,793,-2510,95,8
2016-06-28,53900,55900,53700,55400,84595,4686563000,1.6514,-22823,25871,2118,14368,696,1989,-3605,0,-11330,-5106,-60,0
2016-06-29,55600,57400,55200,56700,95015,5387350500,2.3466,-16837,17189,-2699,15306,-2664,-29,3031,0,-18343,2467,-120,0
2016-06-30,56900,57200,55900,56100,80634,4523567400,-1.0582,10834,-14852,4045,13130,-2670,-350,-1436,-77,-8837,-27,0,4285
2016-07-01,55800,57000,55800,56400,75486,4257410400,0.5348,-3147,20738,-16830,-7942,-1201,-659,-2388,0,-4640,-838,77,0
2016-07-04,56200,57500,56200,56800,66876,3798556800,0.7092,-16458,-13919,30553,14064,2696,-376,22131,-258,-7383,-166,-10,-321
2016-07-05,56500,57300,55700,56000,43209,2419704000,-1.4085,-261,-523,608,-476,1052,493,-610,0,149,163,13,0
2016-07-06,56200,56800,55000,55500,62790,3484845000,-0.8929,-10020,-447,9979,3909,3024,4941,2723,0,-4618,450,38,0
2016-07-07,55800,56700,55400,56700,60657,3439251900,2.1622,-14562,16802,-4770,-2780,2588,-3214,-863,0,-501,2011,519,0
2016-07-08,56400,57800,55900,57600,102977,5931475200,1.5873,-27803,-15293,43415,26059,10564,2630,3957,110,95,-319,0,0
2016-07-11,58400,58400,57400,57800,95156,5500016800,0.3472,1601,-12556,10745,-1675,12056,-52,416,0,3410,300,-90,-3410
