date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,173000,177000,173000,176500,25989,4587058500,1.7291,-7844,681,7207,4040,685,434,288,1500,923,-30,-14,-663
2016-05-27,178000,178500,175500,177000,20904,3700008000,0.2833,43,-5133,3389,-347,1894,303,293,0,1246,1581,120,0
2016-05-30,176000,180000,173500,180000,44890,8080200000,1.6949,-11777,3112,9187,5415,1313,2688,-1668,964,1010,120,-642,-535
2016-05-31,180000,183500,179000,182500,53642,9789665000,1.3889,-5995,315,4384,3764,-1612,359,3287,-278,-1066,1478,-182,-70
2016-06-01,181500,183500,181000,182500,32001,5840182500,0.0,-3545,1541,2133,4740,-283,-30,635,0,-2929,-197,68,0
2016-06-02,183000,184000,181500,182500,34187,6239127500,0.0,-1859,-2102,3251,3756,1973,-564,1256,0,-1985,522,188,-1185
2016-06-03,183000,189500,181000,188000,122658,23059704000,3.0137,-72046,26006,47894,19476,15581,190,4764,1942,5941,-1004,-850,0
2016-06-07,191500,208000,191000,206000,279374,57551044000,9.5745,-75068,45581,40188,27172,2265,-1618,12029,-220,3980,-9800,-901,-3420
2016-06-08,208000,209500,201500,206000,186076,38331656000,0.0,3236,-17904,9517,10492,-102,-214,933,-33,-1559,4887,264,0
2016-06-09,204000,207000,202000,203000,135035,27412105000,-1.4563,-9868,-11881,20407,16256,-3349,507,1958,0,2542,995,347,2493
2016-06-10,205500,206000,202000,205000,69675,14283375000,0.9852,-5458,6960,-1890,3299,-1057,-156,-5587,183,2057,374,14,-629
2016-06-13,202000,204500,197000,197000,86940,17127180000,-3.9024,2633,668,-3807,4417,-867,-2013,-1809,-21,-2692,500,6,-822
2016-06-14,195500,205500,195000,204000,125095,25519380000,3.5533,-6224,-3959,8717,7425,-325,2457,877,-3500,1697,1529,-63,86
2016-06-15,205000,207000,199000,201500,69213,13946419500,-1.2255,6499,-6137,305,5347,-3588,271,-1355,32,-652,-657,-10,250
2016-06-16,200000,202000,191000,193500,85129,16472461500,-3.9702,3609,-4081,813,2497,1701,286,-3433,29,-777,-638,297,510
2016-06-17,197000,202000,193500,195500,75941,14846465500,1.0336,5849,1168,-7068,2034,-1838,-1000,-3445,-2506,-313,49,2,0
2016-06-20,198500,199000,195000,198000,40643,8047314000,1.2788,728,-4648,2778,393,4,2695,-822,-13,521,1129,13,0
2016-06-21,198500,204500,198000,204000,89576,18273504000,3.0303,8668,-11055,5689,1427,-8,47,-464,3000,1598,-3236,-66,89
2016-06-22,205000,206500,201500,205000,76177,15616285000,0.4902,11482,-14150,2935,1263,638,0,-4449,1952,3531,-153,-114,0
2016-06-23,207000,209500,195000,195500,180377,35263703500,-4.6341,-16729,-4912,19760,16028,-3553,1384,1842,0,4059,1804,77,0
2016-06-24,198500,198500,179500,185000,205878,38087430000,-5.3708,-16337,17360,-3652,1148,2046,-390,-2268,130,-4593,2348,281,275
2016-06-27,180000,189500,178500,185000,76663,14182655000,0.0,-11484,14172,-1007,-573,314,1246,-3164,64,1281,-1631,-50,-175
2016-06-28,183000,189500,181500,188000,46290,8702520000,1.6216,3296,5009,-8305,224,-1703,-188,-4777,-1800,-61,20,-20,0
2016-06-29,190000,191000,186500,190000,58677,11148630000,1.0638,-2970,7265,-3305,1044,-571,-13,-1655,0,-2145,-1000,10,35
2016-06-30,191000,191500,187000,188000,46727,8784676000,-1.0526,9828,1769,-10870,-4876,-3589,-63,-437,0,-1940,-681,-46,35
2016-07-01,189000,190500,188500,188500,29586,5576961000,0.266,-1132,4956,-3661,-597,-110,684,-2501,-534,-638,-156,-7,35
2016-07-04,188000,191000,187500,188500,25348,4778098000,0.0,-3275,4695,-1549,-217,-372,642,-992,0,-610,129,0,0
2016-07-05,188000,188500,184500,187000,36707,6864209000,-0.7958,2944,1389,-3963,466,-1485,-611,-1557,0,-776,-385,15,0
2016-07-06,186500,187000,181000,182500,48900,8924250000,-2.4064,10462,-2600,-8957,-1242,-6334,-293,102,44,-1234,1075,20,0
2016-07-07,183000,185500,182000,184500,40499,7472065500,1.0959,628,9942,-10794,-14932,2328,-20,984,0,846,209,15,0
2016-07-08,185500,185500,182500,184500,28992,5349024000,0.0,-430,-2977,3399,2364,-71,117,-168,0,1157,-12,20,0
2016-07-11,185500,188500,184500,188500,38300,7219550000,2.168,-2497,3023,-672,3571,-2466,66,-3815,0,1943,141,5,29
2016-07-12,189000,189000,186500,187500,38367,7193812500,-0.5305,3161,4696,-7884,1915,-2994,217,-6844,-3,-175,-7,34,0
2016-07-13,187500,189500,186500,188500,60422,11389547000,0.5333,-4188,18825,-14731,-1928,-8323,-99,-2629,-12,-1413,76,18,-327
2016-07-14,188500,189000,182500,184500,58421,10778674500,-2.122,24407,-16209,-9334,-2063,-1046,139,-4640,-11,-719,1151,-15,-994
2016-07-15,184500,185000,179500,180500,51478,9291779000,-2.168,21414,-3384,-18803,-4286,-2949,-3807,-3911,0,-3602,763,10,-248
2016-07-18,179000,184000,179000,181500,26971,4895236500,0.554,770,5393,-5960,-4403,-339,-1,-1652,-4,439,-153,-50,0
2016-07-19,182500,183000,179000,180500,19064,3441052000,-0.551,5864,124,-6088,-1952,-3615,18,443,0,-982,99,1,0
2016-07-20,180500,182000,179500,181000,16526,2991206000,0.277,-2316,2747,102,2126,-1147,295,-540,0,-632,-503,-30,0
2016-07-21,182000,183000,181500,182500,26503,4836797500,0.8287,-4557,742,2525,2616,-132,61,-1833,-30,1843,1281,9,0
2016-07-22,181000,183500,181000,182000,22603,4113746000,-0.274,-8348,-804,9538,5838,-943,100,3234,-4,1313,-286,-100,0
2016-07-25,182000,183500,180500,181000,18117,3279177000,-0.5495,3645,-2001,-2287,-1050,-1268,102,-443,0,372,646,-3,0
2016-07-26,181000,182000,179500,181000,17673,3198813000,0.0,1521,-1573,308,-847,306,-115,-368,-3,1497,-259,3,-162
