date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,29450,29450,28550,28600,240414,6875840400,-2.0548,67467,-52557,-19269,-6963,-2303,6874,834,0,-17711,5100,-741,0
2016-05-27,28500,29300,28500,28600,315409,9020697400,0.0,75997,1492,-76578,-50317,-15950,22609,1485,-2595,-31810,-1111,200,0
2016-05-30,28750,29050,28500,28850,353886,10209611100,0.8741,-24090,23648,-6180,-12791,-9170,-4877,38545,-2000,-15887,5992,630,0
2016-05-31,28850,29650,28550,29600,425813,12604064800,2.5997,-136758,-7578,151332,82214,9449,21166,23452,-2000,17051,-10884,3888,0
2016-06-01,29400,30050,29300,29700,314484,9340174800,0.3378,-100316,27007,53184,8932,16887,10664,19145,-2824,380,20875,-750,0
2016-06-02,30000,30000,28850,28900,392885,11354376500,-2.6936,-18963,54745,-31761,-22023,2839,-9633,16607,-857,-18694,-3421,-600,0
2016-06-03,28950,29150,28150,28600,304479,8708099400,-1.0381,25213,-20132,-7331,-4493,8006,-3387,12391,-2034,-17814,2500,-250,0
2016-06-07,28550,29150,28550,28900,282827,8173700300,1.049,-31101,36672,-5623,-5150,14332,14619,-1088,-2417,-25919,100,-48,0
2016-06-08,28950,29050,28450,28800,240643,6930518400,-0.346,1495,13564,-12565,-5226,-24572,2269,11980,-3426,6410,35,-2529,0
2016-06-09,28700,30200,28700,29450,903333,26603156850,2.2569,-197345,58242,130236,35387,27684,32406,23471,0,31288,6369,2498,-20000
2016-06-10,29600,30200,29550,29800,347274,10348765200,1.1885,-122160,23758,100730,52888,-12029,13841,12819,0,31419,-2165,-163,1792
2016-06-13,29600,29650,28700,28850,323475,9332253750,-3.1879,100629,-18173,-77020,-45930,5413,0,5110,0,-36613,-5436,0,-5000
2016-06-14,28600,29000,27900,28150,525193,14784182950,-2.4263,123869,53274,-154086,-87188,-24590,540,-8631,0,-34217,-17255,-5802,0
2016-06-15,28150,28150,27250,27300,555280,15159144000,-3.0195,113727,62417,-175269,-11005,-58781,-34777,-22175,0,-46739,-875,0,-1792
2016-06-16,27450,27750,26550,27000,551650,14894550000,-1.0989,-20333,155918,-128689,-114031,-16478,-20992,-5557,0,28369,-8888,1992,0
