date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-25,106224,106714,104755,105735,209914,22195256790,0.9346,-5851,11789,-9909,-33845,1612,24372,175,-824,-1399,4007,-36,0
2016-05-26,106225,107204,105245,106225,103166,10958808350,0.4634,-9904,-9124,19665,4371,1154,3749,-1102,0,11493,-374,-263,0
2016-05-27,106224,106224,105245,105735,74433,7870173255,-0.4613,-7239,10209,-1359,-796,-1455,1508,-406,0,-129,-1544,-67,-81
2016-05-30,104756,105245,104266,104756,91584,9593973504,-0.9259,-8906,16225,-7233,-553,-3621,-278,25,200,-3006,-84,-2,0
2016-05-31,104756,112099,104756,110141,565372,62270637452,5.1405,-160788,114218,53157,-6410,28963,46167,1956,-300,-15678,-6443,-144,-1541
2016-06-01,110140,115525,109650,114546,545751,62513594046,3.9994,-186406,154374,31994,19818,29024,13225,-4269,-200,-24660,597,-559,-944
2016-06-02,114545,116993,114056,115525,411348,47520977700,0.8547,-169160,90372,79080,34190,-6378,16547,3458,540,30563,-856,564,160
2016-06-03,116015,116504,108672,109162,609309,66513389058,-5.5079,32207,18944,-53020,-36057,-9210,-25106,-3987,1500,19970,1578,291,-130
2016-06-07,116015,117973,113567,116015,699564,81159917460,6.2778,-100541,64895,37535,-3647,9755,16393,-2977,-2200,20211,-1190,-699,0
2016-06-08,116014,116014,104755,106714,1251575,133560574550,-8.0171,237603,-41014,-197547,-31578,-16058,-65359,-17947,6600,-72948,1922,-964,-257
2016-06-09,108671,111119,106224,109651,612808,67195010008,2.7522,-20147,-10277,30737,-5776,-39994,-23973,-7508,-1200,110233,-1021,708,-1045
2016-06-10,110141,110141,107693,108183,194869,21081513027,-1.3388,-22774,16288,-135,-3308,-8314,-512,-9645,1341,20479,6496,125,-176
2016-06-13,106713,111609,106224,110630,290360,32122526800,2.2619,-107567,103913,1089,11948,-3568,-62,-12581,0,5352,2603,-38,0
2016-06-14,110630,111120,108182,108183,196212,21226802796,-2.2119,40208,-28677,-10243,7763,-6391,-485,-4772,200,-6558,-1347,59,0
2016-06-15,107203,109651,106714,106714,157764,16835627496,-1.3579,-9613,13972,-5396,-8825,-1491,-258,-2216,2700,4346,653,384,348
2016-06-16,108182,108672,106714,106714,145828,15561889192,0.0,-16473,21387,-2945,7016,-1154,1801,-5003,-200,-5993,-1884,-85,588
2016-06-17,107203,108672,105734,106714,173441,18508582874,0.0,7366,40027,-46266,-9729,-3399,-31441,-5339,-100,3826,-1051,-76,-84
2016-06-20,108182,110630,107693,110141,170036,18727935076,3.2114,-59653,32302,27609,26947,1790,5099,-1920,-6200,1893,-244,-14,0
2016-06-21,105245,108672,102798,108183,417368,45152122344,-1.7777,-1362,43551,-34240,-65381,-3839,45040,-9736,200,-524,-8215,266,0
2016-06-22,108182,108182,105735,105735,312334,33024635490,-2.2628,15760,-43432,28849,-17452,-1337,30624,-2616,-185,19842,514,-1691,-27
2016-06-23,106224,108182,105734,107693,159341,17159910313,1.8518,-61535,33814,28690,1162,1231,20565,-1178,-163,7073,-785,-184,0
2016-06-24,109162,109162,101819,103288,494489,51074779832,-4.0903,-5760,-51940,58040,8999,-796,48219,-523,1100,482,-814,474,559
2016-06-27,99860,102798,99371,100840,293563,29602892920,-2.3701,2997,-28103,21510,-4315,6323,616,5263,0,13127,3775,-179,496
2016-06-28,99371,100350,97902,99371,240894,23937877674,-1.4568,22395,25906,-54881,-24028,-13522,-757,-9121,-125,-7513,6176,404,185
2016-06-29,101818,105245,100350,103777,287548,29840868796,4.4339,-13761,-17291,29980,-2546,2346,25751,265,0,3861,1547,-475,303
2016-06-30,105245,107203,104266,105735,257909,27270008115,1.8867,-65241,112687,-44985,-22002,-1925,-2,-573,200,-20597,-2250,-211,-86
2016-07-01,105245,106225,104756,106225,130595,13872453875,0.4634,-12893,18181,2340,-11392,-2417,4061,21730,100,-9742,-7803,175,0
2016-07-04,105734,108672,105734,108672,142494,15485107968,2.3036,-43687,41651,1999,406,259,586,9046,-300,-8360,118,-81,362
2016-07-05,108182,109162,107203,108183,145225,15710876175,-0.45,-16861,57163,-40335,-2155,-21530,-11912,-1976,-200,-2150,434,-401,-412
2016-07-06,108183,108183,103777,105246,212338,22347725148,-2.7148,19203,33539,-53688,-7916,-18740,-28330,-1660,0,2599,455,491,359
2016-07-07,106714,106714,105245,106714,79026,8433180564,1.3948,-7487,23338,-15122,36,-6483,-9028,-2232,0,2585,-710,-19,0
2016-07-08,106713,107692,101328,102308,300732,30767289456,-4.1288,91329,30109,-119716,-14799,-23165,-50296,-6790,5,-24580,-1996,274,-91
2016-07-11,102308,104756,101329,103777,314293,32616384661,1.4359,-30799,115075,-83966,-19772,-21702,-40183,-12969,-5,11923,-251,-59,-1258
2016-07-12,101329,103287,100350,102798,347905,35763938190,-0.9434,-42363,152573,-100564,-57744,-11104,-29538,-6633,0,4581,-4808,-4838,-126
2016-07-13,103777,104267,102798,103288,146623,15144396424,0.4767,13223,31740,-42115,-4772,-11561,-73,-6253,0,-19456,-2890,42,0
2016-07-14,102797,106224,102797,105735,239179,25289591565,2.3691,-74437,87054,-9012,461,-21128,3004,2460,0,6083,-3438,-167,108
2016-07-15,114057,114546,105245,106225,871692,92595482700,0.4634,104767,-30663,-80037,-49609,6633,-41327,-10748,5221,10317,5880,53,-524
2016-07-18,106714,108672,105245,105735,190943,20189358105,-0.4613,10592,18032,-29744,2216,-21981,-3638,-6623,0,282,1120,0,0
2016-07-19,106714,107204,104756,105246,158228,16652864088,-0.4625,-10154,39690,-29189,914,-12710,-3320,-1958,69,-12184,-449,102,0
2016-07-20,104756,104756,102798,102798,183174,18829920852,-2.326,24145,-9246,-13789,-1043,-3485,75,-419,-1100,-7817,-1442,332,0
2016-07-21,102798,105735,102798,105246,178754,18813143484,2.3814,-29355,5618,24268,153,-12938,19920,2808,-827,13990,-501,-30,1162
2016-07-22,105245,106224,104756,104756,96127,10069880012,-0.4656,-10404,-1517,12054,50,-280,1706,235,1100,9243,48,-181,0
2016-07-25,105245,105735,104266,104756,113028,11840361168,0.0,4771,6856,-12007,-10861,-5618,1465,1005,0,2002,474,-94,0
2016-07-26,104266,105735,104266,104756,103372,10828837232,0.0,920,-9873,8954,-3900,-2344,1911,-1446,0,14733,-11,10,0
2016-07-27,104756,105735,104756,105246,92754,9761987484,0.4678,-18855,16999,2153,44,-5329,2504,-2808,-2283,10873,-298,1,-848
