date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,223500,227500,221500,227000,27147,6162369000,2.4831,-9062,7992,1205,3088,-1234,220,807,-1600,-76,-150,15,0
2016-05-27,227000,237000,225500,232000,32568,7555776000,2.2026,-4692,967,3126,1030,-52,817,281,-867,1917,561,38,0
2016-05-30,234000,234500,226000,229000,28981,6636649000,-1.2931,1025,-2564,1702,11027,-2152,-5371,-1380,-100,-322,-163,0,0
2016-05-31,230000,230500,225500,226000,25569,5778594000,-1.31,5193,682,-5875,2765,-5735,53,-325,0,-2633,0,0,0
2016-06-01,225500,229500,218000,221000,39419,8711599000,-2.2124,605,7077,-7765,-557,-177,-68,-3360,0,-3603,115,-32,0
2016-06-02,221500,225500,218000,220000,23563,5183860000,-0.4525,-5673,7484,-1563,1862,-3213,894,-38,0,-1068,-257,9,0
2016-06-03,222000,223000,214500,215000,28260,6075900000,-2.2727,782,3525,-4334,-1213,-1525,-2921,196,0,1129,16,11,0
2016-06-07,214000,222500,214000,222500,27917,6211532500,3.4884,-8692,6957,1818,2307,70,113,168,4,-844,-83,0,0
2016-06-08,224000,230500,223500,228500,45419,10378241500,2.6966,-19347,-2189,8845,4582,690,1423,1579,0,571,12711,-20,0
2016-06-09,228500,237000,228500,236500,58106,13742069000,3.5011,-12224,-6134,17982,190,9910,3462,3729,540,1651,340,36,-1500
2016-06-10,235000,237000,229000,234000,23667,5538078000,-1.0571,1813,-4418,2699,3300,33,-2120,242,0,2244,-94,0,-1000
2016-06-13,232000,238500,229500,235000,28149,6615015000,0.4274,-46,-3029,3022,-1753,2889,328,663,51,844,53,0,0
2016-06-14,237000,237000,222000,228000,39361,8974308000,-2.9787,9802,-10511,1015,2402,1550,-1423,-456,0,-1058,-179,-127,0
2016-06-15,226500,234500,225500,233500,32477,7583379500,2.4123,-8534,202,7943,6428,670,994,-530,833,-830,413,-24,378
2016-06-16,233000,239000,225000,225500,44818,10106459000,-3.4261,6694,-5982,-1147,7055,-1481,-6083,-1204,1094,-528,478,-43,0
2016-06-17,227000,235000,224500,224500,31542,7081179000,-0.4435,-2783,257,3081,-3379,2461,795,1854,48,1302,-536,-19,0
