date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,7854,7863,7708,7708,827423,6377776484,-1.2554,36040,-138226,77826,28601,-8314,3687,-7041,12000,48893,25350,-990,0
2016-05-27,7776,7863,7728,7757,1276775,9903943675,0.6357,220225,-62338,-144712,47362,-8506,-2370,-5901,6000,-181297,-12831,-344,0
2016-05-30,7786,7796,7669,7669,941643,7221460167,-1.1345,171724,-102028,-89919,-162882,-651,315,-1971,0,75270,19200,1023,0
2016-05-31,7679,7776,7669,7718,974620,7522117160,0.6389,193,118,7070,-11311,746,724,20581,0,6202,-7431,50,-9872
2016-06-01,7698,7747,7669,7698,793823,6110849454,-0.2591,162042,-54639,-116591,-7869,505,1473,23741,0,-134441,6534,2654,0
2016-06-02,7718,7728,7649,7708,863247,6653907876,0.1299,99272,-2786,-101652,4330,-7572,-44,26182,0,-124548,4400,766,0
2016-06-03,7698,7747,7630,7649,723370,5533057130,-0.7654,139083,-204665,57264,1316,-3321,-5880,1023,0,64126,8299,19,0
2016-06-07,7728,7893,7640,7863,1860207,14626807641,2.7978,89451,-277837,224709,106970,-799,25695,20042,700,72101,-40737,4414,0
2016-06-08,7903,8107,7796,8087,2160763,17474090381,2.8488,-52571,-53423,81173,47719,40254,3058,74931,0,-84789,26647,-1826,0
2016-06-09,8107,8341,8049,8078,4070152,32878687856,-0.1113,-362233,155759,-119411,-133393,-40038,6525,15091,0,44879,325450,435,-12475
2016-06-10,8087,8205,8069,8117,1172113,9514041221,0.4828,21081,29753,38058,-42144,-25517,650,-5312,0,110381,-88892,0,0
2016-06-13,7942,8010,7786,7806,1843754,14392343724,-3.8315,293572,-421451,114419,-61811,-1023,-15,-1009,0,179084,12624,836,-807
2016-06-14,7776,7816,7659,7689,1877517,14436228213,-1.4988,811877,-824286,-24994,-198917,24547,48,-777,23000,127105,33512,3891,0
2016-06-15,7689,7728,7630,7689,955628,7347823692,0.0,270329,-279215,-7027,32451,3780,1707,-341,3000,-47624,13534,2379,0
2016-06-16,7698,7728,7523,7562,1374761,10395942682,-1.6517,301343,-176804,-125447,-9203,-1362,22336,-1650,7000,-142568,-8638,9546,0
2016-06-17,7640,7728,7533,7543,965927,7285987361,-0.2513,329873,-275408,-81076,-96630,1764,1093,126,13504,-933,26821,-210,0
2016-06-20,7640,7767,7602,7737,1068290,8265359730,2.5719,-17142,-40152,104849,-4492,204,-2776,-23,-5000,116936,-35755,-11800,0
2016-06-21,7747,7757,7669,7718,578125,4461968750,-0.2456,89136,-101972,2535,1850,11223,699,342,-5000,-6579,10301,0,0
2016-06-22,7728,7951,7698,7903,1832059,14478762277,2.397,-617706,134270,468453,216280,15601,107818,131419,-7969,981,15032,-49,4323
2016-06-23,7863,8078,7816,8069,2262885,18259219065,2.1005,-292229,342349,-17825,5859,22969,63177,17755,3000,-130585,-31801,-494,0
2016-06-24,8175,8205,7543,7572,5754044,43569621168,-6.1594,464448,-132397,-217533,-63212,7685,3809,162069,-7898,-317815,-114664,146,-2171
2016-06-27,7319,7523,7319,7474,2150291,16071274934,-1.2942,-1990,-162777,135209,-141109,5148,16218,-378,0,255330,27698,1860,0
2016-06-28,7386,7474,7339,7474,1896108,14171511192,0.0,613530,-639679,23231,-83083,6111,213,-246,-18000,118236,2717,201,0
2016-06-29,7592,7659,7504,7611,1583222,12049902642,1.833,164212,-51905,-104892,42186,1102,-28,1516,-1000,-148668,-7200,-215,0
2016-06-30,7737,7737,7553,7582,1003352,7607414864,-0.381,42327,-20212,-15806,13608,3728,-135,14079,0,-47086,-6409,100,0
2016-07-01,7649,7806,7630,7737,1512443,11701771491,2.0443,-254614,207701,26228,52018,6990,-56,4132,0,-36856,19990,695,0
2016-07-04,7776,7835,7689,7776,876757,6817662432,0.5041,-28966,44595,-17986,11625,-4960,-12687,-2664,0,-9300,2355,2,0
2016-07-05,7796,7816,7728,7786,700825,5456623450,0.1286,-73709,32355,28834,85168,-6762,-5,-936,0,-45631,12670,-150,-3000
2016-07-06,7747,7747,7572,7602,1238667,9416346534,-2.3632,311641,-135089,-117948,-114145,8080,18385,9857,3150,-43275,-57796,-808,0
2016-07-07,7649,7757,7620,7737,973550,7532356350,1.7758,-209460,44283,164872,164200,37279,1437,6017,0,-44061,0,305,0
2016-07-08,7728,7728,7582,7620,762888,5813206560,-1.5122,160051,-108480,-56879,-12963,5431,16444,8933,0,-74724,5457,-149,0
2016-07-11,7737,7932,7708,7932,2512151,19926381732,4.0945,-702277,302239,399711,170351,29212,5776,8627,0,185745,1600,-1273,0
2016-07-12,7961,8010,7844,7873,1601559,12609074007,-0.7438,3305,-265549,265546,-21176,67598,52764,15142,0,151218,-2249,-1053,0
2016-07-13,8010,8097,7981,8049,2349224,18908903976,2.2355,-559386,162491,383340,321445,58927,163944,-6509,-2102,-140167,15299,-1744,-12198
2016-07-14,8059,8175,8000,8107,1989237,16126744359,0.7206,-287489,196123,88530,100222,29647,133116,-3831,-4000,-166624,4004,-1168,0
2016-07-15,8224,8341,8126,8166,2816177,22996901382,0.7278,-317078,-45606,284784,-36746,95689,248965,11874,0,-34998,81128,-3228,0
2016-07-18,8263,8331,8205,8273,1997758,16527451934,1.3103,-124364,-114085,289877,-72766,57488,348796,-17466,0,-26175,-51253,-175,0
2016-07-19,8341,8350,8059,8166,1851448,15118924368,-1.2934,-54645,53964,52390,117,-710,-564,26277,0,27270,-50715,-994,0
2016-07-20,8117,8283,8117,8263,1863195,15395580285,1.1879,223214,-16075,-219995,-83565,80687,-3636,-1498,0,-211983,9637,3219,0
2016-07-21,8321,8380,8224,8273,1556578,12877569794,0.121,49816,-50580,12516,230,-4462,-4416,-4784,-1000,26948,-11265,-487,0
2016-07-22,8234,8603,8175,8574,3198302,27422241348,3.6383,-473528,275838,251043,175174,1467,76785,-18652,0,16269,-51534,-1819,0
2016-07-25,8691,8798,8594,8788,3485360,30629343680,2.4959,-271350,70850,180599,181804,33403,160879,-1312,0,-194175,12763,7138,0
2016-07-26,8711,8798,8662,8798,2293520,20178388960,0.1138,-56806,-321530,383686,355101,11375,3052,-49134,150,63142,6820,-12170,0
2016-07-27,8808,8954,8788,8876,2677530,23765756280,0.8866,-719149,127444,594271,404476,131746,114498,7692,0,-44141,-2546,-20,-20000
2016-07-28,8915,8945,8643,8672,2524278,21890538816,-2.2983,135555,-214044,127047,138916,27856,65487,2131,0,-104119,-53963,5405,-3224
2016-07-29,8623,8993,8623,8837,3678856,32510050472,1.9027,-222869,76925,148281,326276,98514,106589,-2000,-11000,-370098,-4900,2563,0
2016-08-01,8876,8925,8672,8847,2137215,18907941105,0.1132,122747,-246740,100840,92691,46752,-9885,11680,0,-40398,22619,534,0
2016-08-02,8788,8798,8419,8487,3351990,28448339130,-4.0692,160761,-383111,261638,236142,343,4530,-22982,-12504,88226,-45255,5967,-32117
2016-08-03,8419,8487,8293,8341,2797480,23333780680,-1.7203,362819,-287155,-35394,8935,-10142,-765,95226,0,-128648,-41572,1302,0
2016-08-04,8428,8497,8321,8438,1385017,11686773446,1.1629,64886,-96624,61758,36327,6623,-59653,12879,0,65582,-29053,-967,0
2016-08-05,8428,8584,8389,8584,1724738,14805150992,1.7303,71988,-255319,277881,106476,4271,12292,65081,0,89761,-97232,2682,0
2016-08-08,8721,8731,8526,8564,1519022,13008904408,-0.233,498681,-504725,-9977,-4215,12684,2346,-8710,0,-12082,15497,524,0
2016-08-09,8555,8574,8399,8535,1755989,14987366115,-0.3386,85763,-246945,114465,22713,29509,34378,5100,0,22765,37997,8720,0
2016-08-10,8535,8603,8438,8497,1223206,10393581382,-0.4452,25520,33552,-69553,-95954,13987,34827,-17525,0,-4888,9899,582,0
2016-08-11,8497,8526,8273,8273,2060716,17048303468,-2.6362,422924,-109639,-315493,-3887,-22665,-103973,7131,200,-192299,1972,236,0
2016-08-12,8380,8672,8331,8526,3334614,28430918964,3.0581,-466720,595879,-130061,80081,-79330,-37834,-73456,-200,-19322,1410,-508,0
2016-08-16,8603,8778,8555,8564,2291977,19628491028,0.4457,-164336,-8386,121170,116825,-4768,-10750,69162,0,-49299,54665,-3113,0
2016-08-17,8468,8487,8302,8331,1602647,13351652157,-2.7207,183233,-161041,-21426,-41106,6648,0,-20751,0,33783,-3110,2344,0
2016-08-18,8350,8409,8283,8311,1107638,9205579418,-0.2401,249557,-122255,-184937,-36690,-45207,-1165,-3162,300,-99013,56108,1527,0
2016-08-19,8341,8341,8156,8166,1414230,11548602180,-1.7447,397863,-47588,-312808,-76230,-1937,-24655,-51584,0,-158402,-37469,2,0
2016-08-22,8146,8156,8000,8039,1311459,10542818901,-1.5552,252641,10050,-253775,-3950,-18185,-4166,-286,8774,-235962,4698,-13614,0
2016-08-23,8039,8136,7971,7981,1199172,9570591732,-0.7215,503266,-43758,-475828,-350306,-16954,-26912,-16515,0,-65141,14999,1321,0
2016-08-24,8000,8069,7883,7932,1161491,9212946612,-0.614,319787,-73090,-235207,-4969,-59777,-1059,-3464,0,-165938,1029,-12519,0
2016-08-25,7932,8039,7932,7942,1025636,8145601112,0.1261,133696,-190501,45584,106182,-160191,-5600,-10554,0,115747,8435,2786,0
