date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,44902,44988,43534,44133,542980,23963336340,-2.0855,98677,-190690,89222,-5428,26711,8051,4039,-2483,58332,2882,-91,0
2016-05-27,44132,44388,43447,43619,587552,25628430688,-1.1647,95678,-109910,12990,246,10341,2008,3366,-1906,-846,1296,-54,-219
2016-05-30,43875,43875,42934,43448,515904,22414996992,-0.392,120821,-147915,25270,-8368,4868,5169,12651,0,10950,910,914,0
2016-05-31,43447,45586,43362,45244,785795,35552508980,4.1337,-25108,-112084,132456,16684,70953,22797,-5552,0,23223,4695,41,4351
2016-06-01,45244,46271,44902,45929,332215,15258302735,1.514,-10859,-74765,81831,37370,19371,4073,-1097,0,19876,3300,493,2238
2016-06-02,45843,46271,44646,45758,401239,18359894162,-0.3723,-30885,-106421,137323,50592,24630,9024,13625,557,38895,-35,18,0
2016-06-03,46185,46185,44902,45587,293960,13400754520,-0.3737,6545,-69207,61629,44055,-8011,4271,-3542,-31,24887,971,62,0
2016-06-07,45842,46783,45586,46356,325673,15096897588,1.6869,-49816,-49009,98956,38059,27595,-2749,-11289,0,47340,297,-428,0
2016-06-08,46271,46356,44731,45758,444669,20347164102,-1.29,36241,-33157,-1004,-53086,18350,-10534,4445,0,41260,-1304,-776,-1439
2016-06-09,45757,46185,44816,45672,468359,21390892248,-0.1879,41650,2817,-43071,1966,-32198,-808,-1808,0,-10223,-1451,55,0
2016-06-10,45330,46099,44645,44817,235218,10541765106,-1.872,54154,-50902,-4521,4672,-5204,6279,-23533,-12,13277,1249,20,0
2016-06-13,44474,44731,43619,43705,221531,9682012355,-2.4812,51713,-34220,-17361,6824,-17505,-8496,-197,0,2013,-135,3,0
2016-06-14,43704,44388,43533,43790,220382,9650527780,0.1945,18433,-16498,-1465,4393,-12139,-2191,-7389,0,15861,-132,-338,0
2016-06-15,43448,43875,42849,43277,211892,9170050084,-1.1715,44977,-34397,-11224,7273,-10381,-3955,-3991,0,-170,1236,-592,0
2016-06-16,43363,43961,42849,43192,173289,7484698488,-0.1964,22793,-41446,19990,27526,-6848,866,517,0,-2046,-1233,-104,-25
2016-06-17,43192,43876,43020,43192,167598,7238892816,0.0,7387,-29478,27585,4256,1913,274,4260,1244,15638,-5429,-65,0
2016-06-20,43961,44132,43362,43534,140515,6117180010,0.7918,18800,-21840,2914,4560,-5690,5259,-8234,0,7019,106,20,0
2016-06-21,43533,44218,43277,44047,131709,5801386323,1.1784,-12328,1317,10940,-4499,1259,-615,-969,6997,8767,-57,128,0
2016-06-22,44132,45158,44046,44902,212946,9561701292,1.9411,-28026,7021,16197,-3691,8477,6612,1105,950,2421,4818,-10,323
2016-06-23,44645,45500,44388,44902,234251,10518338402,0.0,-50491,15348,35191,-1312,9195,58,8032,-268,19486,-60,12,0
2016-06-24,45330,45415,42422,44133,571432,25219008456,-1.7126,-37855,24619,12584,13002,13437,-8558,-8555,1040,2218,-507,1159,0
2016-06-27,43105,44987,42934,44902,278964,12526041528,1.7425,-69089,18493,52952,-8815,34294,4009,6207,-16,15913,-1756,-600,1360
2016-06-28,44559,46441,44474,46185,355089,16399785465,2.8573,-93885,24208,68790,962,30378,4935,4927,8184,18791,1672,-785,613
2016-06-29,46612,47724,46270,47126,450590,21234504340,2.0375,-6651,94934,-88854,-48617,5616,-5534,-14774,527,-26362,477,94,290
2016-06-30,47297,47297,46356,46613,206764,9637890332,-1.0886,-8281,70447,-61123,-1725,-25893,-2075,622,-5142,-26910,-1053,10,0
2016-07-01,46441,47040,45329,45415,347390,15776716850,-2.5701,71006,59988,-128693,-33731,-43599,-10702,-33022,588,-8227,-2170,-131,0
2016-07-04,45330,45501,44303,44646,317257,14164256022,-1.6933,110443,36419,-142214,-31631,-45110,-3539,-50524,0,-11410,-4756,108,0
2016-07-05,44817,44902,43961,44646,369186,16482678156,0.0,107847,-28774,-79489,-4190,-4314,-56907,-9830,0,-4248,58,358,0
2016-07-06,44475,45073,43961,44475,277576,12345192600,-0.383,-12621,22604,-12060,-10414,-10133,11633,-10503,-390,8573,1555,522,-826
2016-07-07,44816,46099,44474,45843,289507,13271869401,3.0759,-65381,12259,49257,4011,27553,6421,2477,-41,8836,3678,187,0
2016-07-08,45842,46013,44901,45244,169242,7657185048,-1.3066,2696,7777,-10270,2723,-1933,1152,-2898,0,-11814,-315,112,2500
2016-07-11,45842,47553,45842,46185,368588,17023236780,2.0798,-28655,17435,11226,12974,-9102,603,336,0,2209,720,-726,4206
2016-07-12,46612,47297,46270,47126,374112,17630402112,2.0375,-62658,91163,-25688,-46812,13857,17250,-7129,-145,3385,-2905,88,-6094
2016-07-13,47211,47553,46698,47297,334480,15819900560,0.3629,-97017,102733,-20590,5660,-21066,7389,-5498,0,-7441,14977,-103,366
2016-07-14,47211,47382,46356,47297,210866,9973329202,0.0,-1128,33751,-32772,15792,-24314,13633,-11826,334,-26391,-114,263,0
2016-07-15,47553,47553,46270,46356,209785,9724793460,-1.9896,2808,26798,-28947,-3795,-26592,-1151,9233,356,-6838,-628,-31,-160
2016-07-18,45757,46869,45757,46356,149746,6941625576,0.0,24894,22824,-49899,-27339,-13019,283,-8042,-16,-1766,2158,23,0
2016-07-19,46441,46441,45842,46185,142663,6588890655,-0.3689,20731,31207,-50109,-13706,-29776,-3356,1818,0,-5089,-1831,2,0
2016-07-20,46014,46185,45329,45501,145465,6618802965,-1.481,38636,11581,-48384,-32687,2159,-2693,-4675,0,-9660,-1717,-116,-828
2016-07-21,45586,45928,44987,45501,176640,8037296640,0.0,35626,21726,-51156,-15661,-19193,-108,-12550,-900,-2744,-6166,-30,0
2016-07-22,45330,45501,44902,44988,136238,6129075144,-1.1274,40602,-3096,-37505,-23798,-4719,-1368,-11129,500,6005,-1,0,-2996
2016-07-25,44987,45757,44902,45159,204799,9248518041,0.3801,36873,-4565,-32369,-19361,-8808,738,-1958,0,-2980,0,61,0
2016-07-26,45158,45500,44816,45415,146033,6632088695,0.5669,9623,12768,-22168,-22571,-8781,-97,296,0,8985,-210,-13,0
2016-07-27,45586,46099,45329,46014,206597,9506354358,1.3189,-19039,26359,-10605,142,-7601,115,716,-848,-2749,3285,0,-380
2016-07-28,46099,46270,45073,45330,309660,14036887800,-1.4865,31189,65025,-95814,-59799,-4514,1764,-20367,0,-12783,-481,81,-115
2016-07-29,45244,45244,43106,43106,690994,29785987364,-4.9062,263909,-47579,-212110,-100379,-11786,-9029,-62474,1707,-29126,-4306,86,-1023
2016-08-01,43448,43619,41395,41481,686893,28493008533,-3.7698,278683,-63393,-217052,-101572,-31488,-22311,-13443,-803,-47435,829,933,0
2016-08-02,41353,42208,41353,42080,358732,15095442560,1.444,10274,1599,-3792,21233,1384,-620,-6326,-916,-18547,-7988,-93,0
2016-08-03,41908,43105,41823,42379,291467,12352079993,0.7106,42834,-264,-42743,-51507,-78,-2355,15490,415,-4708,51,122,0
2016-08-04,42378,42763,42335,42507,176215,7490371005,0.302,10596,-4904,-2952,-13528,17612,-28,-6775,100,-333,-2760,20,0
2016-08-05,42849,43105,41694,41994,298864,12550494816,-1.2069,49943,45291,-94608,-32398,-32158,-2476,-16632,-105,-10839,-1199,573,0
2016-08-08,42421,42464,41096,41481,417020,17298406620,-1.2216,95301,74830,-167169,-147820,-5536,-8543,683,0,-5953,-1767,-1195,0
2016-08-09,41267,42293,41181,42080,262753,11056646240,1.444,25516,28850,-49295,18393,-42098,-2866,-3541,-899,-8372,-5081,10,-9912
2016-08-10,42037,43363,41737,43363,286578,12426881814,3.049,-74984,56500,18335,4061,-3025,5373,15775,-4187,3004,68,81,-2666
2016-08-11,43363,43619,42593,42679,174441,7444967439,-1.5774,36811,-7237,-29857,-19051,-4826,-1914,-9946,-2469,8349,387,-104,0
2016-08-12,41908,43533,41438,43106,563303,24281739118,1.0005,-79533,110944,-28545,-55871,27997,30376,-49596,-8,19631,-2904,38,-1074
2016-08-16,43106,43363,42422,43021,255022,10971301462,-0.1972,-18248,-28149,46402,-1986,785,26623,-12228,0,34799,0,-5,-1591
2016-08-17,42636,42849,42208,42294,206674,8741070156,-1.6899,12513,-17340,4867,-6420,-8366,15615,-987,0,5025,-56,16,0
2016-08-18,42379,42507,41908,42080,141455,5952426400,-0.506,22513,6402,-29207,-11877,-7032,3621,-4455,0,-9464,240,52,0
2016-08-19,42251,43192,41994,42123,303035,12764743305,0.1022,-5604,100682,-95215,-48481,-27985,-2049,-742,0,-15591,137,0,-367
2016-08-22,42122,42122,40625,41053,373383,15328492299,-2.5402,126853,-75044,-47224,9498,-19310,-210,-12045,0,-25157,-4570,-15,0
2016-08-23,41310,41866,41053,41695,232482,9693336990,1.5638,-33085,92384,-50293,-18165,-7013,-2181,-2852,0,-20834,-9011,5,752
2016-08-24,41866,42037,41352,41695,164930,6876756350,0.0,12886,53258,-66070,-21153,-18630,-6273,-17649,-27,-2338,0,-74,0
2016-08-25,41994,41994,41181,41310,257004,10616835240,-0.9234,26515,5807,-32318,-10439,-12070,-7777,-10888,1025,7831,0,-4,0
2016-08-26,41309,42250,41224,41994,178477,7494963138,1.6558,-37446,44318,-6872,-2134,-15317,10998,401,0,-820,0,0,0
2016-08-29,41994,42593,41695,42422,221695,9404745290,1.0192,-55994,64552,-9833,2788,4601,2115,-4811,0,-14526,1275,0,0
2016-08-30,42378,42678,41609,41609,143307,5962860963,-1.9165,47862,-38389,-9604,2110,-22002,-3463,-574,0,9055,132,-1,5270
2016-08-31,41609,41609,40070,40284,502998,20262771432,-3.1844,196995,-31278,-167861,-52007,-39844,-37817,-8927,-1074,-22806,2136,8,-5386
2016-09-01,40326,41139,40326,40840,178186,7277116240,1.3802,-22834,56744,-33872,-6004,-4955,-11122,2151,0,-13942,-80,42,0
2016-09-02,41053,41053,40283,40455,189253,7656230115,-0.9427,65749,-27865,-37894,-5723,-3191,-9358,-26,300,-19896,10,0,0
