date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,8916,9175,8802,8803,73312,645365536,-2.3408,4000,-80,-4599,-3862,4883,343,-41,-4152,-1770,-29,708,0
2016-05-27,8818,9159,8640,9143,107337,981382191,3.8623,-10102,-4180,14478,0,16348,77,2467,0,-4414,-375,179,0
2016-05-30,9062,9143,8835,8884,63272,562108448,-2.8328,1606,1515,-3568,-3113,4819,344,-317,-1344,-3957,147,300,0
2016-05-31,8802,8818,8640,8754,122654,1073713116,-1.4633,869,10256,-11641,-1632,8663,-72,-3023,-2844,-12733,-984,1500,0
2016-06-01,8672,8705,8575,8624,71180,613856320,-1.485,-372,3439,-3740,-2797,4454,74,5767,-1470,-9768,-233,906,0
2016-06-02,8591,8899,8575,8819,73362,646979478,2.2611,-6122,2224,3631,-4468,6574,596,1812,1476,-2359,713,-446,0
2016-06-03,8883,9224,8851,9127,55897,510171919,3.4925,-6664,-1096,8401,-3077,2758,1190,4144,0,3386,-641,0,0
2016-06-07,8997,9143,8754,8868,93108,825681744,-2.8377,3588,-9060,5882,-648,6325,0,-4407,2285,2327,-410,0,0
2016-06-08,8786,9208,8640,9176,97227,892154952,3.4732,-8092,1826,6804,-2681,2599,4055,2,0,2829,-538,0,0
2016-06-09,9256,9402,9013,9143,167513,1531571359,-0.3596,-8694,14326,-3603,-7430,-1005,2460,-2339,-33,4744,-2023,-6,0
2016-06-10,9175,9239,8915,9159,88365,809335035,0.175,1050,-1543,1553,-9007,345,51,2490,2126,5548,-1059,-1,0
2016-06-13,9029,9159,8851,8916,50575,450926700,-2.6531,1907,1087,-3063,-8356,2568,996,635,0,1094,69,0,0
2016-06-14,8818,8981,8672,8819,63941,563895679,-1.0879,1017,1593,-4610,-1372,6979,-190,-7809,0,-2218,2000,0,0
2016-06-15,8705,8883,8672,8705,46571,405400555,-1.2927,-86,340,-906,-2497,3848,966,-88,0,-3135,652,0,0
2016-06-16,8656,8850,8542,8705,42272,367977760,0.0,1309,-2092,1310,-817,929,546,4359,-238,-3469,-307,-220,0
2016-06-17,8818,8834,8607,8770,34204,299969080,0.7467,-768,-1934,3110,-4849,2821,17,3974,-80,1227,-408,0,0
2016-06-20,8899,8915,8672,8851,46341,410164191,0.9236,-4216,-2138,6881,-1762,4762,2978,1214,0,-311,-527,0,0
2016-06-21,8754,8851,8365,8365,286783,2398939795,-5.4909,28626,5461,16106,-3116,19636,9,584,-164,-843,-50193,0,0
2016-06-22,8430,8592,8397,8430,291586,2458069980,0.777,-6151,8955,27093,-29615,53648,-1327,4778,0,-391,-29897,0,0
2016-06-23,8380,8575,8348,8559,55648,476291232,1.5302,-9034,2582,7060,-2742,2851,-330,5778,0,1503,-608,0,0
2016-06-24,8478,8640,8072,8381,100317,840756777,-2.0797,-81,-2044,3845,-538,6316,8,227,0,-2168,79,-1799,0
2016-06-27,8396,8396,8121,8316,81395,676880820,-0.7756,-7419,1954,5287,-5518,8023,1903,-3331,0,4210,178,0,0
2016-06-28,8235,8916,8219,8803,62233,547837099,5.8562,-4965,-1227,6032,342,4419,0,1113,0,158,160,0,0
2016-06-29,8656,8737,8526,8624,58943,508324432,-2.0334,3123,-5000,177,-1730,3082,-18,1129,-77,-2209,0,1700,0
2016-06-30,8656,8786,8575,8689,36296,315375944,0.7537,-1359,1581,1481,0,5813,0,-29,0,-4303,-1703,0,0
2016-07-01,8592,8754,8559,8657,26790,231921030,-0.3683,763,-2190,1427,0,2301,43,473,0,-1390,0,0,0
2016-07-04,8575,8948,8575,8770,26316,230791320,1.3053,-2804,-2249,5250,242,1348,1295,2633,377,-645,-197,0,0
2016-07-05,8688,8883,8656,8835,23844,210661740,0.7412,91,-1672,1404,435,2373,0,-284,0,-1120,177,0,0
2016-07-06,8835,9143,8738,9111,64864,590975904,3.1239,-8185,-1798,10633,-117,6004,3361,-83,0,1468,-650,0,0
2016-07-07,9078,9321,8948,9062,43930,398093660,-0.5378,1027,-3109,2619,0,1841,0,-44,0,822,-521,-16,0
2016-07-08,8964,9029,8818,8916,52198,465397368,-1.6111,2829,364,-3238,-2582,1862,-1682,-73,0,-763,45,0,0
2016-07-11,8997,9078,8851,8884,35897,318908948,-0.3589,-1758,106,2026,-352,-525,466,-38,-116,2591,-374,0,0
2016-07-12,8851,8867,8673,8803,56816,500151248,-0.9118,535,5738,-6353,38,-5622,28,235,0,-1032,80,0,0
2016-07-13,8673,8770,8543,8657,112509,973990413,-1.6585,2786,8051,-10756,0,-15185,6045,-385,672,-1903,-81,0,0
2016-07-14,8640,8818,8591,8608,24743,212987744,-0.566,-2117,1800,267,0,1711,68,-937,0,-575,50,0,0
2016-07-15,8608,8689,8429,8592,109913,944372496,-0.1859,6958,9809,-16798,-13,-7270,-159,-8358,0,-998,30,1,0
2016-07-18,8510,8721,8510,8543,31663,270497009,-0.5703,2263,2606,-4734,0,827,0,-5834,-37,310,-135,0,0
2016-07-19,8543,8624,8381,8381,77086,646057766,-1.8963,3625,1594,-5042,-5541,9328,-29,-6853,-106,-1841,-142,-35,0
2016-07-20,8364,8461,8283,8397,57175,480098475,0.1909,5139,3340,-8479,-10926,3452,280,-60,0,-1225,0,0,0
2016-07-21,8445,8445,8348,8397,50111,420782067,0.0,2139,2057,-4456,-8515,1120,-908,1630,0,2217,260,0,0
2016-07-22,8348,8526,8348,8462,34284,290111208,0.7741,-1556,-47,4274,0,2370,920,2,0,982,-2271,-400,0
2016-07-25,8381,8543,8332,8365,42991,359619715,-1.1463,3047,4,-2657,0,-2800,-50,-102,0,295,-394,0,0
2016-07-26,8316,8673,8316,8576,47065,403629440,2.5224,-5785,292,5804,3430,2215,870,-3845,0,3134,-311,0,0
2016-07-27,8559,8673,8494,8495,35922,305157390,-0.9445,1275,-538,-737,177,1106,0,-4151,0,2131,0,0,0
2016-07-28,8478,8575,8413,8511,36091,307170501,0.1883,-851,-1218,2069,0,2962,2157,-3536,-87,573,0,0,0
2016-07-29,8429,8543,8283,8527,110088,938720376,0.188,3261,1601,-4862,1014,5556,1433,-16648,0,3783,0,0,0
2016-08-01,8462,8462,8251,8414,101835,856839690,-1.3252,7248,-112,-7033,630,4053,-55,-13918,-35,2292,-103,0,0
2016-08-02,8283,8429,8153,8397,171283,1438263351,-0.202,5155,3925,-8976,324,16107,185,-25476,1406,-1522,-104,0,0
2016-08-03,8267,8397,8267,8300,32202,267276600,-1.1552,732,-1446,1585,0,3651,180,-364,0,-1882,-873,2,0
2016-08-04,8381,8397,8170,8219,69727,573086213,-0.9759,-886,616,514,50,3430,239,-8553,2475,2873,-244,0,0
2016-08-05,8202,8461,8202,8235,41394,340879590,0.1947,-1232,-440,1625,51,-1053,143,2785,0,-301,47,0,0
2016-08-08,8283,8705,8154,8430,187484,1580490120,2.3679,-8085,854,7860,-10112,27187,60,-7802,0,-1473,-629,0,0
2016-08-09,8429,8591,8348,8543,66252,565990836,1.3405,-1787,1696,460,-853,3660,-114,-4398,0,2165,-369,0,0
2016-08-10,8543,8592,8413,8430,71479,602567970,-1.3227,-1422,2110,-746,5790,2200,160,534,-21,-9409,58,0,0
2016-08-11,8429,8673,8348,8673,47200,409365600,2.8826,-5901,521,5517,-849,5826,-2785,-15,-128,3468,-137,0,0
2016-08-12,8592,8819,8559,8722,54624,476430528,0.565,1433,-2039,2002,504,1559,-2601,48,-728,3220,-1396,0,0
2016-08-16,8721,8754,8494,8495,51893,440831035,-2.6026,2215,1332,-3489,-1624,-119,-21,-3412,-175,1862,-58,0,0
2016-08-17,8413,8624,8413,8576,33196,284688896,0.9535,-922,-6475,7262,2735,2510,0,1086,-250,1181,150,-15,0
2016-08-18,8511,8575,8349,8349,36765,306950985,-2.6469,4451,-1748,-2108,22,-257,1555,-47,-32,-3349,-595,0,0
2016-08-19,8349,8430,8300,8349,282824,2361297576,0.0,5250,-25160,20554,-13617,-26531,2,65435,-43,-4692,-644,0,0
2016-08-22,8267,8429,8186,8300,52118,432579400,-0.5869,-2916,2629,1102,-204,401,28,2969,-161,-1931,-15,-800,0
2016-08-23,8267,8348,8154,8154,65239,531958806,-1.759,-4925,4696,1832,0,3010,18,-120,0,-1076,-1603,0,0
2016-08-24,8153,8332,8105,8316,173425,1442202300,1.9868,293,-2009,2608,-3473,4056,982,222,-39,860,-910,18,0
2016-08-25,8348,8381,8170,8203,69732,572011596,-1.3588,1274,1161,-2950,-9699,2547,392,940,-241,3111,515,0,0
2016-08-26,8202,8284,7943,8268,75778,626532504,0.7924,-4971,4734,1157,-1441,-660,-589,2848,-313,1312,-920,0,0
2016-08-29,8316,8332,7976,8106,99998,810583788,-1.9594,961,-2382,1057,-5590,3311,-2026,3876,0,1486,364,0,0
2016-08-30,8073,8105,8040,8057,80931,652061067,-0.6045,-317,1332,22,-6401,3275,0,1541,0,1607,-1025,-12,0
2016-08-31,8040,8105,8007,8089,62303,503968967,0.3972,-793,534,586,-7760,-650,0,8716,486,-206,-327,0,0
2016-09-01,8057,8203,7943,8106,204599,1658479494,0.2102,-12574,-732,18044,-4240,29893,-17300,7249,-52,2608,-4673,-65,-114
2016-09-02,8040,8138,7975,8057,61629,496544853,-0.6045,2570,518,-2943,-4166,-4019,432,8462,0,-3652,-136,-9,0
2016-09-05,8057,8219,8041,8106,83008,672862848,0.6082,-710,3179,-1255,-3531,3248,-3027,129,0,1985,-1191,-23,-59
2016-09-06,8105,8186,8024,8089,129999,1051561911,-0.2097,-7346,745,-1800,-498,7665,-3000,-2539,-31,-3319,8539,-138,-78
2016-09-07,8057,8170,8057,8106,52058,421982148,0.2102,-5759,691,6115,1407,5074,2630,-2375,-70,-551,-1047,0,0
2016-09-08,8106,8235,8073,8106,103582,839635692,0.0,-8959,1595,7851,-73,13901,-3907,486,-214,-2342,-331,-156,0
2016-09-09,8089,8462,7976,8106,333814,2705896284,0.0,-22050,-1108,13534,-12,43038,-3889,-30283,7811,-2974,9973,-349,-157
2016-09-12,8040,8430,8024,8430,171552,1446183360,3.997,-7811,-3115,11311,-122,34576,532,-15926,0,-7749,1415,-1800,0
2016-09-13,8299,8413,8105,8219,107851,886427369,-2.503,7165,-6214,-3771,0,8113,224,-3894,0,-8214,2820,0,0
2016-09-19,8154,8202,8056,8154,63396,516930984,-0.7909,3685,1726,-5023,-1834,4456,153,-1601,-325,-5872,-390,2,0
2016-09-20,8072,8137,8007,8089,57240,463014360,-0.7972,1868,-1857,879,0,6047,28,-31,0,-5165,-390,-500,0
2016-09-21,8040,8235,7992,8187,65229,534029823,1.2115,-1226,2706,560,0,2353,45,-1792,1500,-1546,-240,-1800,0
2016-09-22,8186,8283,8138,8203,48084,394433052,0.1954,-3349,-1514,6198,7360,-2521,-16,1772,0,-397,230,-1565,0
2016-09-23,8251,8316,8202,8219,69862,574195778,0.1951,2352,10084,-12157,0,-7777,952,-3307,0,-2025,0,-279,0
2016-09-26,8219,8235,8057,8057,64400,518870800,-1.971,6560,3605,-10111,-180,3264,1,-12981,0,-215,-65,11,0
2016-09-27,8056,8218,8007,8154,78764,642241656,1.2039,3175,4380,-7505,-9,2985,529,-11443,-365,798,0,-50,0
2016-09-28,8154,8219,8089,8187,16440,134594280,0.4047,323,1037,-989,-1250,191,215,-176,-131,162,0,-371,0
2016-09-29,8187,8267,8138,8187,40690,333129030,0.0,-821,1759,-1411,-1006,-2336,63,1409,0,459,2389,-1916,0
2016-09-30,8186,8267,8072,8089,27364,221347396,-1.197,2489,-678,-1742,-1501,-1498,346,792,-713,832,-80,11,0
2016-10-04,8089,8105,7959,8089,100102,809725078,0.0,13739,5427,-18041,-4082,-13090,-641,-1313,2476,-1391,20,-1145,0
2016-10-05,8040,8040,7958,8024,48523,389348552,-0.8036,917,-1124,-337,-1803,1442,1001,-584,-39,-354,600,-56,0
2016-10-06,7992,8008,7927,7960,54110,430715600,-0.7976,3273,12,-3195,-1061,2924,1012,-2968,0,-3102,-130,40,0
2016-10-07,7911,8040,7862,8041,48388,389087908,1.0176,1348,-2280,932,-1543,4366,-95,-1010,-165,-621,0,0,0
2016-10-10,8088,8186,8007,8024,39317,315479608,-0.2114,-1677,242,1405,-1286,-37,-146,-2122,-127,5123,30,0,0
2016-10-11,8121,8251,7862,7992,106019,847303848,-0.3988,9548,-8451,-1143,-9967,647,1397,-214,-114,7108,46,0,0
2016-10-12,8024,8105,7943,8041,35263,283549783,0.6131,-3669,1181,2640,-1375,-535,-334,-1296,0,6180,-52,-100,0
2016-10-13,7975,8057,7894,7895,53551,422785145,-1.8157,5682,-369,-6313,-333,2274,-467,-2136,1436,-7087,1000,0,0
2016-10-14,7894,8040,7862,7927,36216,287084232,0.4053,-451,1918,-1467,-334,1242,-558,-1485,0,-332,0,0,0
2016-10-17,7927,7975,7748,7749,74036,573704964,-2.2455,8599,1896,-10565,-1199,-8132,131,2287,-53,-3599,70,0,0
2016-10-18,7749,7911,7733,7798,25392,198006816,0.6323,-1518,1169,-449,-1200,2365,92,-1764,0,58,798,0,0
2016-10-19,7781,7894,7748,7781,32457,252547917,-0.218,1085,-5,-999,0,4676,1,-3007,-127,-2542,-81,0,0
2016-10-20,7748,7862,7748,7830,16460,128881800,0.6297,-1430,1769,-422,0,-25,1000,-1775,-65,443,83,0,0
2016-10-21,7699,7861,7699,7716,31753,245006148,-1.4559,-2654,-829,3483,0,3060,36,-55,0,442,0,0,0
2016-10-24,7699,7829,7667,7781,25432,197886392,0.8424,855,-1296,730,-1555,-4,84,-1022,1627,1600,-289,0,0
2016-10-25,7781,7845,7699,7781,17294,134564614,0.0,31,-578,548,-1128,806,62,-967,0,1775,-1,0,0
2016-10-26,7765,7765,7651,7733,20614,159408062,-0.6169,1181,-593,-810,-722,1900,134,-260,-29,-1833,222,0,0
2016-10-27,7749,7781,7667,7733,25886,200176438,0.0,1522,-1464,325,97,2556,120,-1250,0,-1198,-383,0,0
2016-10-28,7667,7829,7651,7781,16795,130681895,0.6207,-712,-139,853,51,1151,480,-8,0,-821,-2,0,0
2016-10-31,7732,7846,7684,7814,24384,190536576,0.4241,-151,-1646,1789,-576,2050,276,-1252,0,1291,8,0,0
2016-11-01,7829,7845,7699,7700,26670,205359000,-1.4589,650,829,-1591,-1004,-397,445,-1300,-28,693,112,0,0
2016-11-02,7699,7764,7537,7635,53371,407487585,-0.8442,-868,-811,3162,-3644,2797,2458,22,0,1529,-1483,0,0
2016-11-03,7765,7814,7684,7814,23959,187215626,2.3445,-1988,-645,2151,7,242,-172,-400,-48,2522,482,0,0
2016-11-04,7846,7895,7700,7814,29931,233880834,0.0,-1093,-426,1339,563,2193,354,-2900,0,1129,180,0,0
2016-11-07,7911,7911,7667,7668,42507,325943676,-1.8684,3584,-406,-2656,-2562,3002,-189,-6615,0,3708,-522,0,0
2016-11-08,7716,7732,7619,7619,25357,193194983,-0.639,2229,726,-2775,-292,1243,54,-2764,-55,-961,-180,0,0
2016-11-09,7683,8105,7359,7943,81969,651079767,4.2525,-1719,1052,1181,-2739,1335,4391,-3408,990,612,-514,0,0
2016-11-10,7976,7992,7700,7798,52417,408747766,-1.8255,761,-2973,1920,-1808,3629,1964,-5456,0,3591,292,0,0
2016-11-11,7813,7942,7764,7943,41868,332557524,1.8595,-6317,1849,4410,4,-32,873,1014,-383,2934,58,0,0
2016-11-14,7943,7959,7781,7846,37075,290890450,-1.2212,3162,-6115,2733,1497,618,477,-3146,0,3287,220,0,0
2016-11-15,7894,7911,7732,7911,34354,271774494,0.8284,-188,-5889,6077,1471,2164,612,16,0,1814,0,0,0
2016-11-16,7911,7911,7748,7749,51074,395772426,-2.0478,5270,-6106,834,1498,-961,1713,-26,0,-1390,2,0,0
2016-11-17,7732,7797,7634,7700,36141,278285700,-0.6323,2178,-752,-1400,0,2740,0,-674,0,-3466,-26,0,0
2016-11-18,7651,7862,7618,7862,46676,366966712,2.1039,-2204,-97,2566,3585,1353,1137,-2,-253,-3254,-265,0,0
2016-11-21,7878,7878,7781,7781,12546,97620426,-1.0303,358,-950,634,0,947,-434,901,-216,-564,-42,0,0
2016-11-22,7895,7895,7716,7798,11323,88296754,0.2185,-200,-113,313,0,-332,54,-58,0,649,0,0,0
2016-11-23,7780,7813,7699,7716,14633,112908228,-1.0516,2511,-1216,-1186,-16,893,0,-2,0,-2061,-109,0,0
2016-11-24,7748,7781,7699,7765,19601,152201765,0.635,-1468,-970,3824,863,1132,48,139,0,1642,-1386,0,0
2016-11-25,7780,7845,7683,7700,29157,224508900,-0.8371,-516,-4124,4870,15,996,15,2460,0,1384,-230,0,0
2016-11-28,7700,7748,7603,7603,22506,171113118,-1.2597,3225,-1296,-1601,0,1793,0,-108,-164,-3122,-328,0,0
2016-11-29,7602,7911,7570,7911,26296,208027656,4.051,-5751,1782,3724,2092,661,1,-11,0,981,245,0,0
