date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,66400,67000,65000,65100,421915,27466666500,-1.81,102520,-4072,-101400,-38779,-17182,-42766,3325,-2359,-3639,2510,442,0
2016-05-27,64900,65700,64600,65300,309912,20237253600,0.3072,69212,-15525,-71853,-42063,5376,-690,-721,-1128,-32627,18570,-404,0
2016-05-30,65400,65700,64500,64700,339965,21995735500,-0.9188,96601,-37732,-63139,-43534,11433,-19202,-6107,0,-5695,4208,62,-34
2016-05-31,64600,66200,64600,65900,387135,25512196500,1.8547,-53393,90809,-31033,-27796,10270,3211,-2668,1000,-14626,-6352,-31,-424
2016-06-01,66100,66200,65100,65700,253743,16670915100,-0.3035,35077,23991,-59271,-36831,6447,-1221,-17397,0,-10269,15,188,0
2016-06-02,65800,66100,65100,65500,193494,12673857000,-0.3044,28773,5810,-27552,-24265,9039,-819,-1777,0,-8467,-7000,-31,-1263
2016-06-03,65300,66600,65100,66000,281782,18597612000,0.7634,-21565,-9647,30274,-314,-1776,3603,-375,0,29136,999,-61,0
2016-06-07,65800,66000,65000,65500,313699,20547284500,-0.7576,58431,-49173,5137,-17994,-4324,0,-495,-2276,31406,-14122,-273,-1180
2016-06-08,65400,66100,65300,65700,264568,17382117600,0.3053,20360,18479,-40911,-29719,1583,-1925,-9201,-3415,1766,1972,100,0
2016-06-09,65500,66000,65000,65300,333557,21781272100,-0.6088,16809,50968,-72122,-45422,9077,-12530,-9876,0,-13371,4110,235,0
2016-06-10,65500,65600,65100,65600,189283,12416964800,0.4594,22255,9499,-31328,-21642,-15060,-1889,-5956,0,13219,352,-778,0
2016-06-13,66500,68400,66100,66300,887621,58849272300,1.0671,-57822,41292,7280,20183,-1704,16963,-4252,0,-23910,7864,1386,0
2016-06-14,66800,66800,65000,65600,443236,29076281600,-1.0558,55272,-44254,-17464,-15858,18555,764,-661,0,-20264,6419,27,0
